vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,load_estimation,engine_hours,active_driver,driver_ids
1532377823644221440,1789205823000-642689989225816064-1532377823644221440,1789205823000,1789238176000,1,334.751,67.983,4.924039833487783,642689989225816064,1789205823000,1532377823644221440,MP09BJ9733,32353000,1789238176000,179.4760055311341,334.751,67.98333542845988,4.924015538370644,22.265894930713664,1789205823000-642689989225816064-1532377823644221440,,"{'confidence': 60.5, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 21691.00165047377, 'std': 4198.8324163642155, 'timestamp': 1789238316748}",0.0,,
1590315702751854592,1789204925000-642689989225816064-1590315702751854592,1789204925000,1789234144000,1,333.46,69.842,4.77449099395779,642689989225816064,1789204925000,1590315702751854592,MP09BV7337,29219000,1789234144000,184.38263900827747,333.46,69.84190871525661,4.774497234311085,48.9979588888889,1789204925000-642689989225816064-1590315702751854592,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789234240768}",4.80373333333332,,
1515667522240643072,1789215227000-642689989225816064-1515667522240643072,1789215227000,1789248128000,1,331.919,71.879,4.617746490630086,642689989225816064,1789215227000,1515667522240643072,MP09BJ5830,32901000,1789248128000,189.7593231557706,331.919,71.87853149839795,4.617776588930422,58.59151365267269,1789215227000-642689989225816064-1515667522240643072,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789249248912}",5.702312500001523,,
588522082246086656,1789204487000-642689989225816064-588522082246086656,1789204487000,1789233482000,1,328.006,73.488,4.463395384280426,642689989225816064,1789204487000,588522082246086656,MP09BP1475,28995000,1789233482000,194.00794897582026,328.006,73.48785946053798,4.463403920155478,62.451317419101954,1789204487000-642689989225816064-588522082246086656,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789233507779}",4.940999999999998,,
1425525382987120640,1789243058000-642689989225816064-1425525382987120640,1789243058000,1789262815000,2,327.20000000000005,89.978,3.6364444642023614,642689989225816064,1789243058000,1425525382987120640,MP09AM6115,19757000,1789262815000,237.59799509020337,315.661,89.99924056447097,3.5073740402717757,89.99924056447097,1789243058000-642689989225816064-1425525382987120640,328.19999999998254,"{'confidence': 83.9, 'count': 39, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 16988.738479621377, 'std': 3412.107775651149, 'timestamp': 1789262825233}",5.300000000000182,,
739922158402142208,1789243949000-642689989225816064-739922158402142208,1789243949000,1789266370000,1,308.723,80.333,3.8430408424931226,642689989225816064,1789243949000,739922158402142208,MP13P8145,22421000,1789266370000,212.07858333563442,308.723,80.33279671804334,3.8430505672991035,80.33279671804334,1789243949000-642689989225816064-739922158402142208,,"{'confidence': 78.3, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 22131.131580509547, 'std': 3034.283499823318, 'timestamp': 1789266376154}",6.199999999999818,,
566306626101870592,1789198733000-642689989225816064-566306626101870592,1789198733000,1789226673000,1,306.42,79.971,3.8316389691263084,642689989225816064,1789198733000,566306626101870592,MP09AF5472,27940000,1789226673000,211.12347409954677,306.42,79.97101291649498,3.8316383502602505,79.97101291649498,1789198733000-642689989225816064-566306626101870592,302.39586912980303,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789227840174}",7.735833333335904,,
566304215165603840,1789197325000-642689989225816064-566304215165603840,1789197325000,1789229267000,1,303.609,71.71,4.233844652070841,642689989225816064,1789197325000,566304215165603840,MP09BV9682,31942000,1789229267000,189.31332679598395,303.609,71.70959348332725,4.233868653440215,59.548800177439496,1789197325000-642689989225816064-566304215165603840,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789229340375}",5.45215277777777,,
566304909352275968,1789206879000-642689989225816064-566304909352275968,1789206879000,1789231196000,1,293.395,75.101,3.9066723479048213,642689989225816064,1789206879000,566304909352275968,MP09AF2781,24317000,1789231196000,198.26580664306297,293.395,75.10068433449355,3.906688768550201,75.10068433449355,1789206879000-642689989225816064-566304909352275968,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789231201380}",6.678055555559695,,
1533069815709696000,1789196156000-642689989225816064-1533069815709696000,1789196156000,1789225595000,3,292.63,122.985,2.3793958612838964,642689989225816064,1789196156000,1533069815709696000,MP09BP2984,29439000,1789225595000,324.9667100229221,361.064,123.09345076625836,2.9332511011136,123.09345076625836,1789196156000-642689989225816064-1533069815709696000,,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789225608837}",8.139999999999873,,
