vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation,engine_hours
1262017810280742912,1786408144000-1205841794575630336-1262017810280742912,1786408144000,1786429460000,1,159.421,27.023,5.899456018946823,1205841794575630336,1786408144000,1262017810280742912,OD31L8572,21316000,1786429460000,71.34058850798444,159.421,27.022950192418346,5.899466892579616,166.10000000000582,27.022950192418346,1786408144000-1205841794575630336-1262017810280742912,,0.0
1262220397747634176,1786406916000-1205841794575630336-1262220397747634176,1786406916000,1786425791000,3,155.125,33.639,4.611462885341418,1205841794575630336,1786406916000,1262220397747634176,OD21R1629,18875000,1786425791000,88.80827551948869,147.116,33.63949830283662,4.373311357844911,158.875,33.63949830283662,1786406916000-1205841794575630336-1262220397747634176,"{'confidence': 0, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 6113.264631869878, 'std': 2977.1753356564127, 'timestamp': 1786575178671}",5.199999999999818
1262019157017231360,1786438879000-1205841794575630336-1262019157017231360,1786438879000,1786455720000,1,151.008,21.718,6.95312643889861,1205841794575630336,1786438879000,1262019157017231360,OD15Y6390,16841000,1786455720000,57.33561640689026,151.008,21.718036517761462,6.953114747574097,157.89999999999418,21.718036517761462,1786438879000-1205841794575630336-1262019157017231360,"{'confidence': 55.5, 'count': 12, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 7561.547772083914, 'std': 2333.4958041976033, 'timestamp': 1786587865775}",0.0
1207322272113623040,1786418768000-1205841794575630336-1207322272113623040,1786418768000,1786439028000,1,150.535,30.146,4.9935314801300335,1205841794575630336,1786418768000,1207322272113623040,OD10X1817,20260000,1786439028000,79.58516280206825,150.535,30.145895000783426,4.993548872776473,155.0,30.14589500078343,1786418768000-1205841794575630336-1207322272113623040,"{'confidence': None, 'count': None, 'error_code': 'RANSAC_TOO_FEW_POCKETS', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786494954522}",0.0
1361357521440210944,1786430070000-1205841794575630336-1361357521440210944,1786430070000,1786438820000,1,145.98,7.709,18.936308211181736,1205841794575630336,1786430070000,1361357521440210944,GJ27EF1638,8750000,1786438820000,20.350895711937586,145.98,7.708672618158176,18.937112422719387,,5.034331363437118,1786430070000-1205841794575630336-1361357521440210944,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786530880874}",0.0
1207324802503671808,1786438646000-1205841794575630336-1207324802503671808,1786438646000,1786453793000,1,145.0,26.953,5.379735094423626,1205841794575630336,1786438646000,1207324802503671808,OD30F1965,15147000,1786453793000,71.15566337136514,145.0,26.95290279218376,5.3797544968718345,145.0,26.95290279218376,1786438646000-1205841794575630336-1207324802503671808,"{'confidence': 0, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 2557.43282340084, 'std': 3358.9299286086452, 'timestamp': 1786585738988}",0.0
1262220397747634176,1786431865000-1205841794575630336-1262220397747634176,1786431865000,1786450717000,1,141.201,33.716,4.1879523075097875,1205841794575630336,1786431865000,1262220397747634176,OD21R1629,18852000,1786450717000,89.00965789265703,141.201,33.71577950479433,4.187979695973556,152.5,33.71577950479433,1786431865000-1205841794575630336-1262220397747634176,,5.200000000000728
1207345693178462208,1786434248000-1205841794575630336-1207345693178462208,1786434248000,1786455329000,1,139.617,25.985,5.372984414085049,1205841794575630336,1786434248000,1207345693178462208,OD24J9586,21081000,1786455329000,68.60045802488965,139.617,25.985021979124863,5.37297986940945,144.0,25.985021979124863,1786434248000-1205841794575630336-1207345693178462208,,0.0
1262052865707343872,1786416964000-1205841794575630336-1262052865707343872,1786416964000,1786436146000,1,139.164,21.982,6.330816122281867,1205841794575630336,1786416964000,1262052865707343872,OD26G3693,19182000,1786436146000,58.03289400765485,139.164,21.982156821081382,6.33077095813176,144.09999999997672,21.982156821081382,1786416964000-1205841794575630336-1262052865707343872,"{'confidence': 56, 'count': 26, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5136.778918576374, 'std': 2303.234316405434, 'timestamp': 1786491548499}",0.0
1207353920964263936,1786413789000-1205841794575630336-1207353920964263936,1786413789000,1786431675000,1,135.705,34.736,3.9067538000921243,1205841794575630336,1786413789000,1207353920964263936,OD10Y3942,17886000,1786431675000,91.70306249905366,135.705,34.736008522368806,3.9067528415825503,139.89999999999418,34.736008522368806,1786413789000-1205841794575630336-1207353920964263936,,0.0
