vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,driver_ids,load_estimation,vehicle_device_type,active_driver,adblue_consumed
1471165126924042240,1782790885000-632578958264631296-1471165126924042240,1782790885000,1782805190000,1,174.012,65.677,2.6495120057249872,632578958264631296,1782790885000,1471165126924042240,NL01AK2621,14305000,1782805190000,173.38813455907567,3.9500000000000455,65.67732369661957,2.649498947365854,184.125,65.67732369661957,1782790885000-632578958264631296-1471165126924042240,174.012,,,,,
947091862986948608,1782812185000-632578958264631296-947091862986948608,1782812185000,1782826011000,1,171.686,55.786,3.0775821890796973,632578958264631296,1782812185000,947091862986948608,RJ47GA3376,13826000,1782826011000,147.2755026823886,3.8000000000010914,55.786175258480526,3.077572520512608,183.875,55.786175258480526,1782812185000-632578958264631296-947091862986948608,171.686,,,,,
1079796452147855360,1782782437000-632578958264631296-1079796452147855360,1782782437000,1782796873000,1,171.055,34.514,4.956104769079214,632578958264631296,1782782437000,1079796452147855360,RJ47GA3909,14436000,1782796873000,91.1175405985408,4.0,34.514219923689694,4.956073188911685,174.875,22.39880084129817,1782782437000-632578958264631296-1079796452147855360,171.055,,,,,
938815406225752064,1782796973000-632578958264631296-938815406225752064,1782796973000,1782813575000,1,170.765,65.236,2.6176497639340237,632578958264631296,1782796973000,938815406225752064,RJ47GA3910,16602000,1782813575000,172.22241972832134,4.599999999998545,65.23576504860657,2.617659191591676,172.375,65.23576504860657,1782796973000-632578958264631296-938815406225752064,170.765,,,,,
1536014688339361792,1782775984000-632578958264631296-1536014688339361792,1782775984000,1782790756000,1,169.89,59.191,2.870199861465425,632578958264631296,1782775984000,1536014688339361792,RJ47GA8902,14772000,1782790756000,156.26342267080767,4.049999999999983,59.19069040560897,2.87021487392384,,59.190690405608976,1782775984000-632578958264631296-1536014688339361792,169.89,,,,,
1536014563953082368,1782800708000-632578958264631296-1536014563953082368,1782800708000,1782815385000,1,169.552,59.541,2.847651198333921,632578958264631296,1782800708000,1536014563953082368,NL01AK9204,14677000,1782815385000,157.1871772235884,4.050000000000011,59.540597433177425,2.8476704519179314,173.39999999999964,59.540597433177425,1782800708000-632578958264631296-1536014563953082368,169.552,,,,,
1525526061327056896,1782791910000-632578958264631296-1525526061327056896,1782791910000,1782806419000,1,168.904,54.816,3.081290134267367,632578958264631296,1782791910000,1525526061327056896,NL01AK6559,14509000,1782806419000,144.71433391830615,3.9500000000000455,54.81603557511597,3.0812881345376764,177.125,54.816035575115976,1782791910000-632578958264631296-1525526061327056896,168.904,,,,,
870575606247456768,1782823514000-632578958264631296-870575606247456768,1782823514000,1782837134000,1,168.705,45.458,3.711227946676053,632578958264631296,1782823514000,870575606247456768,RJ47GA4668,13620000,1782837134000,120.0081753260172,3.6999999999989086,45.4576421689459,3.7112571605231595,176.10000000003492,45.4576421689459,1782823514000-632578958264631296-870575606247456768,168.705,,,,,1.9927162389361726
1132636490090676224,1782775951000-632578958264631296-1132636490090676224,1782775951000,1782789723000,1,168.028,42.739,3.931491143920073,632578958264631296,1782775951000,1132636490090676224,RJ47GA5322,13772000,1782789723000,112.83204581887581,3.800000000000182,42.73941129502872,3.9314533099229743,174.89999999999418,42.73941129502872,1782775951000-632578958264631296-1132636490090676224,168.028,,,,,
786246735176400896,1782816550000-632578958264631296-786246735176400896,1782816550000,1782831703000,1,167.079,48.514,3.4439337098569482,632578958264631296,1782816550000,786246735176400896,RJ47GA3340,15153000,1782831703000,128.0780498140881,4.149999999999636,48.51441280836671,3.4439044054798056,186.47999999998137,48.51441280836671,1782816550000-632578958264631296-786246735176400896,167.079,['900758004226326541'],,,900758004226326541,
965194336809517056,1782816483000-632578958264631296-965194336809517056,1782816483000,1782831848000,1,166.799,57.265,2.91275648301755,632578958264631296,1782816483000,965194336809517056,RJ14GN1584,15365000,1782831848000,151.1792561860091,0.0,57.26486976742769,2.9127631072493143,,57.2648697674277,1782816483000-632578958264631296-965194336809517056,166.799,,,,,
1385588586753032192,1782805932000-632578958264631296-1385588586753032192,1782805932000,1782820616000,1,166.765,28.263,5.900470579910129,632578958264631296,1782805932000,1385588586753032192,NL01AJ5698,14684000,1782820616000,74.61305415952562,4.0,28.262520514971825,5.900570683766781,176.75,28.262520514971825,1782805932000-632578958264631296-1385588586753032192,166.765,,,,,
925753337108758528,1782819574000-632578958264631296-925753337108758528,1782819574000,1782834958000,1,166.763,45.236,3.686510743655496,632578958264631296,1782819574000,925753337108758528,RJ47GA2620,15384000,1782834958000,119.42240253326408,4.200000000000728,45.2357585353273,3.686530421939644,205.0,45.2357585353273,1782819574000-632578958264631296-925753337108758528,166.763,,,,,
915980150607183872,1782778913000-632578958264631296-915980150607183872,1782778913000,1782794199000,1,166.025,45.998,3.6093960606982916,632578958264631296,1782778913000,915980150607183872,RJ47GA2138,15286000,1782794199000,121.4357827427582,4.200000000000728,45.99840255407508,3.6093644731428083,161.875,45.99840255407508,1782778913000-632578958264631296-915980150607183872,166.025,,,,,
944587945103327232,1782825621000-632578958264631296-944587945103327232,1782825621000,1782839931000,1,165.124,58.336,2.8305677454744926,632578958264631296,1782825621000,944587945103327232,RJ47GA3791,14310000,1782839931000,154.00784797130692,3.900000000001455,58.336306049737466,2.8305528954681405,160.0,58.336306049737466,1782825621000-632578958264631296-944587945103327232,165.124,,,,,
