vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,driver_ids,active_driver,adblue_consumed
1064532839803912192,1775463773000-632578958264631296-1064532839803912192,1775463773000,1775477610000,1,172.156,55.489,3.1025248247400388,632578958264631296,1775463773000,1064532839803912192,RJ47GA3903,13837000,1775477610000,146.48997401064784,3.7999999999992724,55.48862651918479,3.102545707100505,175.75,55.48862651918479,1775463773000-632578958264631296-1064532839803912192,172.156,,,
1083727289243402240,1775450331000-632578958264631296-1083727289243402240,1775450331000,1775466938000,1,171.785,58.957,2.913733738148142,632578958264631296,1775450331000,1083727289243402240,RJ47GA6320,16607000,1775466938000,155.64693519537698,4.599999999999454,58.95717242249128,2.913725216823095,182.79999999998836,58.957172422491276,1775450331000-632578958264631296-1083727289243402240,171.785,,,
1083019060351860736,1775433847000-632578958264631296-1083019060351860736,1775433847000,1775448638000,1,170.666,65.96,2.5874166161309886,632578958264631296,1775433847000,1083019060351860736,RJ47GA5912,14791000,1775448638000,174.13476743606444,4.050000000000182,65.96013918032743,2.5874111565080056,180.60000000000582,65.96013918032743,1775433847000-632578958264631296-1083019060351860736,170.666,,,
1422205318414204928,1775436869000-632578958264631296-1422205318414204928,1775436869000,1775451522000,1,169.021,50.0,3.3804199999999995,632578958264631296,1775436869000,1422205318414204928,NL01AJ9002,14653000,1775451522000,132.0,4.049999999999727,50.0,3.3804199999999995,173.125,50.0,1775436869000-632578958264631296-1422205318414204928,169.021,,,
1504876024033181696,1775458116000-632578958264631296-1504876024033181696,1775458116000,1775471869000,1,168.571,58.971,2.858540638618982,632578958264631296,1775458116000,1504876024033181696,RJ47GA8531,13753000,1775471869000,155.68363922811892,3.75,58.97107546519656,2.858536980548827,177.4399999999987,58.97107546519656,1775458116000-632578958264631296-1504876024033181696,168.571,,,
1094226815196594176,1775437491000-632578958264631296-1094226815196594176,1775437491000,1775451977000,1,168.295,47.484,3.544246483025861,632578958264631296,1775437491000,1094226815196594176,RJ14GP9552,14486000,1775451977000,125.35847722460107,4.0,47.484271675985255,3.5442262050133473,173.10000000000582,47.484271675985255,1775437491000-632578958264631296-1094226815196594176,168.295,,,
927153603469115392,1775430020000-632578958264631296-927153603469115392,1775430020000,1775445258000,1,166.643,75.344,2.2117620513909535,632578958264631296,1775430020000,927153603469115392,RJ47GA3885,15238000,1775445258000,198.90815999995453,4.200000000000728,75.34399999998277,2.2117620513914593,169.875,75.34399999998277,1775430020000-632578958264631296-927153603469115392,166.643,,,
1499777554695847936,1775430760000-632578958264631296-1499777554695847936,1775430760000,1775446257000,1,166.102,69.655,2.384638575838059,632578958264631296,1775430760000,1499777554695847936,NL01AK3108,15497000,1775446257000,183.88979523475732,4.25,69.6552254677111,2.384630856977085,174.5,69.6552254677111,1775430760000-632578958264631296-1499777554695847936,166.102,,,
1082007973238145024,1775453339000-632578958264631296-1082007973238145024,1775453339000,1775466121000,1,161.85,50.645,3.195774508836015,632578958264631296,1775453339000,1082007973238145024,RJ47GA5734,12782000,1775466121000,133.70235051763694,3.5,50.64482974152914,3.195785252433809,172.30000000001746,50.64482974152914,1775453339000-632578958264631296-1082007973238145024,161.85,,,
1061980520671346688,1775473630000-632578958264631296-1061980520671346688,1775473630000,1775488659000,1,161.5,50.122,3.2221379833206973,632578958264631296,1775473630000,1061980520671346688,RJ47GA3390,15029000,1775488659000,132.32107005110518,4.149999999999636,50.12161744360045,3.222162576491641,161.5,50.12161744360045,1775473630000-632578958264631296-1061980520671346688,161.5,,,
