tags,id,start_time,end_time,account_id,vehicle_id,driver_id,driver_type,trip_id,driver_session_id,distance,mileage,loss,idling_alert_fuel_consumed,ready,alert_breath_test_duration,alert_breath_test_count,alert_camera_tampered_duration,alert_camera_tampered_count,alert_distracted_driving_duration,alert_distracted_driving_count,alert_drowsiness_duration,alert_drowsiness_count,alert_emergency_recording_duration,alert_emergency_recording_count,alert_eyes_closed_duration,alert_eyes_closed_count,alert_fcw_duration,alert_fcw_count,alert_lane_departure_warning_duration,alert_lane_departure_warning_count,alert_mobile_phone_duration,alert_mobile_phone_count,alert_pcw_duration,alert_pcw_count,alert_sd_card_tampered_duration,alert_sd_card_tampered_count,alert_seatbelt_violation_duration,alert_seatbelt_violation_count,alert_tailgating_duration,alert_tailgating_count,alert_smoking_duration,alert_smoking_count,alert_idling_duration,alert_idling_count,alert_over_speed_duration,alert_over_speed_count,alert_speeding_duration,alert_speeding_count,alert_freerun_duration,alert_freerun_count,alert_over_acc_duration,alert_over_acc_count,alert_hard_brake_duration,alert_hard_brake_count,alert_unscheduled_driving_duration,alert_unscheduled_driving_count,alert_slow_running_duration,alert_slow_running_count,alert_continuous_driving_duration,alert_continuous_driving_count,alert_fuel_chori_amount,alert_fuel_chori_count,alert_def_chori_amount,alert_def_chori_count,accident_count,unresolved_alerts_count,day_driving_duration,night_driving_duration,driver_idle_duration_before_trip,vehicle_idle_duration_before_trip,total_alerts_count,gear_utilization,peak_torque_range,fuel_smart_mode,terrain,uphill_slope,engine_load,engine_hours,fuel_consumed,adblue_consumed,avg_speed,last_gear_utilization,last_two_gear_utilization,below_ptr_duration,between_ptr_duration,above_ptr_duration,alert_stoppage_duration,alert_stoppage_count,last_gear_utilization_duration,last_two_gear_utilization_duration,total_gear_utilization_duration,first_gear_pickup_count,second_gear_pickup_count,third_and_higher_gear_pickup_count
[],1268893773056704512-1786319874000,1786319874000,1786335478000,649034868264558592,1268893773056704512,1409885433533300736,verified_drivers,1786298280000-649034868264558592-1268893773056704512,,186.72,2.493,,0.0,True,0,0,0,0,11.574,1,0.0,0,0,0,359.22,1,18.746,9,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1650,21,0,0,0,0,0,0,45,8,0,0,0,0,0,0,0,0,0,0,0,50,10078.0,5526.0,0.0,1,50,,,,,,44.62,4.305278,74.909,,43.078186,,,,,,3578,10,,,,,,
[],1552709327888842752-1786318958000,1786318958000,1786330770000,649034868264558592,1552709327888842752,1581540407043424256,unverified_drivers,1786290794000-649034868264558592-1552709327888842752,,144.875,3.13,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,51.527,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,70,3,0,0,0,0,25,6,345,56,0,0,0,0,0,0,0,0,0,0,0,73,5370.0,6442.0,0.0,1,73,,,"{'MODE_HEAVY': 2.44189824556331, 'MODE_LIGHT': 0.40617357866638715, 'MODE_TURBO': 97.15192817577031}",,,49.65,3.25,46.289,,44.15425,,,,,,1090,6,,,,,,
[],933044705925529600-1786318635000,1786318635000,1786326342000,649034868264558592,933044705925529600,,,1786318635000-649034868264558592-933044705925529600,,83.868,2.881,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,942.0,6765.0,,0,10,"{'fifth_gear_duration': 28.232168804656926, 'first_gear_duration': 2.194745803506958, 'sixth_gear_duration': 25.863590575608193, 'third_gear_duration': 12.12013157777441, 'fourth_gear_duration': 25.92153471745545, 'second_gear_duration': 5.667828520998065}",,,"{'up': 0, 'down': 0, 'plane': 100}",,48.29,,29.109,,39.1754,25.86359,54.09576,1146500.0,2369500.0,1072900.0,3293,6,1450.65,3034.15,5608.85,11.0,4.0,0.0
[],1537489451758911488-1786318422000,1786318422000,1786330342000,649034868264558592,1537489451758911488,1409895611272003584,verified_drivers,1786287372000-649034868264558592-1537489451758911488,,140.815,3.119,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,54.832,1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,55,11,268,40,0,0,0,0,0,0,0,0,0,0,0,60,4942.0,6978.0,0.0,0,60,,,,,,51.68,3.2898943,45.151,,42.52802,,,,,,31649,8,,,,,,
[],933044705925529600-1786318412000,1786318412000,1786318581000,649034868264558592,933044705925529600,,,1786318412000-649034868264558592-933044705925529600,,3.153,2.967,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,169.0,,77,0,,,,,,,,1.063,,67.1645,,,,,,0,0,,,,,,
[],1518565483060658176-1786318309000,1786318309000,1786320294000,649034868264558592,1518565483060658176,1410708308137869312,verified_drivers,1786318309000-649034868264558592-1518565483060658176,,18.7,3.694,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,470,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1985.0,0.0,0,4,,,,,,29.83,0.55,5.062,,33.914356,,,,,,1090,2,,,,,,
[],1268894231850647552-1786318260000,1786318260000,1786324952000,649034868264558592,1268894231850647552,,,1786318260000-649034868264558592-1268894231850647552,,82.07,3.596,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,6,0.0,6692.0,,0,6,"{'fifth_gear_duration': 16.054161495320127, 'first_gear_duration': 0.7344089734138353, 'sixth_gear_duration': 69.97263722602231, 'third_gear_duration': 3.895073767508702, 'fourth_gear_duration': 6.620339696552124, 'second_gear_duration': 2.723378841182893}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}","{'up': 12.409331503626737, 'down': 37.2998758413383, 'plane': 50.29079265503498}",0.5771163,40.6,1.8,22.825,,44.15003,69.97264,86.0268,496834.0,808996.0,2049081.0,1300,5,3374.252,4148.423,4822.245,1.0,3.0,1.0
[],1537489465788858368-1786318192000,1786318192000,1786324340000,649034868264558592,1537489465788858368,1410612257598996480,verified_drivers,1786287086000-649034868264558592-1537489465788858368,,82.125,3.269,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,6.005,1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,8,2,127,20,0,0,0,0,0,0,0,0,0,0,0,23,0.0,6148.0,0.0,1,23,,,,,,59.38,1.7025712,25.122,,48.08881,,,,,,0,0,,,,,,
[],1406271868830220288-1786318072000,1786318072000,1786335155000,649034868264558592,1406271868830220288,1583246587369357312,unverified_drivers,1786297657000-649034868264558592-1406271868830220288,,183.8,2.547,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,10.225,5,0,0,6.386,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,310,9,0,0,0,0,0,0,66,14,0,0,0,0,0,0,0,0,0,0,0,38,9755.0,7328.0,0.0,0,38,,,,,,42.0,4.6769443,72.166,,38.733242,,,,,,2572,9,,,,,,
[],933044705925529600-1786318044000,1786318044000,1786318335000,649034868264558592,933044705925529600,,,1786318044000-649034868264558592-933044705925529600,,6.066,4.625,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,291.0,,20,0,,,,"{'up': 0, 'down': 0, 'plane': 100}",,,,1.311,,75.0433,,,,,,0,0,,,,,,
