trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1787573068000-649034868264558592-1536322320262496256,1536322320262496256,1787573068000,1787583483000,25.87,16.846
1787573068000-649034868264558592-1536322320262496256,1536322320262496256,1787583484000,1787583986000,1.78,1.463
1787573068000-649034868264558592-1536322320262496256,1536322320262496256,1787583987000,1787588965000,37.03,16.989
1787573068000-649034868264558592-1536322320262496256,1536322320262496256,1787588966000,1787589354000,4.47,3.257
1787573068000-649034868264558592-1536322320262496256,1536322320262496256,1787589355000,1787589690000,0.0,0.127
1787574462000-649034868264558592-1268893877926887424,1268893877926887424,1787574462000,1787594110000,66.8,31.648
1787574462000-649034868264558592-1268893877926887424,1268893877926887424,1787594111000,1787595277000,10.4,4.137
1787580251000-649034868264558592-1474013563159838720,1474013563159838720,1787580251000,1787583029000,2.23,2.705
1787580251000-649034868264558592-1474013563159838720,1474013563159838720,1787583030000,1787590011000,81.63,24.843
1787583190000-649034868264558592-1284476928488636416,1284476928488636416,1787583190000,1787616009000,528.05,170.944
1787583190000-649034868264558592-1284476928488636416,1284476928488636416,1787616010000,1787628456000,205.945,65.536
1787586469000-649034868264558592-1192134793974775808,1192134793974775808,1787586469000,1787601901000,247.645,88.827
1787586469000-649034868264558592-1192134793974775808,1192134793974775808,1787601902000,1787625138000,322.915,98.915
1787588992000-649034868264558592-1140330395766620160,1140330395766620160,1787588992000,1787612332000,438.32,117.207
1787588992000-649034868264558592-1140330395766620160,1140330395766620160,1787612333000,1787624467000,0.0,59.644
1787591292000-649034868264558592-1474013563159838720,1474013563159838720,1787591292000,1787616469000,349.675,126.222
1787591292000-649034868264558592-1474013563159838720,1474013563159838720,1787616470000,1787632856000,172.44,53.796
1787595812000-649034868264558592-1192134718468915200,1192134718468915200,1787595812000,1787614591000,311.38,94.877
1787595812000-649034868264558592-1192134718468915200,1192134718468915200,1787614592000,1787621930000,125.025,36.368
1787597503000-649034868264558592-1147228695027515392,1147228695027515392,1787597503000,1787620512000,363.595,120.593
1787597503000-649034868264558592-1147228695027515392,1147228695027515392,1787620513000,1787625596000,71.255,26.945
1787599402000-649034868264558592-1474013287929610240,1474013287929610240,1787599402000,1787617008000,229.93,82.828
1787599402000-649034868264558592-1474013287929610240,1474013287929610240,1787617009000,1787626727000,145.55,53.197
