account_id,start_time,vehicle_id,vehicle_plate,duration,end_time,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,driver_ids,vehicle_device_type,active_driver,adblue_consumed
632578958264631296,1775301776000,1500848886552461312,NL01AK3124,7463000,1775309239000,,,,,,,1775301776000-632578958264631296-1500848886552461312,87648.0,,c,,
632578958264631296,1775300923000,1500848886552461312,NL01AK3124,482000,1775301405000,,,,,,,1775300923000-632578958264631296-1500848886552461312,5497.0,,c,,
632578958264631296,1775296859000,1500848886552461312,NL01AK3124,1375000,1775298234000,,,,,,,1775296859000-632578958264631296-1500848886552461312,13704.0,,c,,
632578958264631296,1775293907000,1500848886552461312,NL01AK3124,1891000,1775295798000,,,,,,,1775293907000-632578958264631296-1500848886552461312,19733.0,,c,,
632578958264631296,1775276613000,1500848886552461312,NL01AK3124,15177000,1775291790000,,,,,,,1775276613000-632578958264631296-1500848886552461312,170965.0,,c,,
632578958264631296,1775265363000,1500848886552461312,NL01AK3124,4572000,1775269935000,,,,,,,1775265363000-632578958264631296-1500848886552461312,53947.0,,c,,
632578958264631296,1775262241000,1500848886552461312,NL01AK3124,1776000,1775264017000,,,,,,,1775262241000-632578958264631296-1500848886552461312,20761.0,,c,,
632578958264631296,1775321604000,1505944797024616448,RJ47GA8532,4140000,1775325744000,,,,,,,1775321604000-632578958264631296-1505944797024616448,,,,,
632578958264631296,1775320276000,1505944797024616448,RJ47GA8532,155000,1775320431000,,,,,,,1775320276000-632578958264631296-1505944797024616448,,,,,
632578958264631296,1775314988000,1505944797024616448,RJ47GA8532,819000,1775315807000,,,,,,,1775314988000-632578958264631296-1505944797024616448,,,,,
632578958264631296,1775309429000,1505944797024616448,RJ47GA8532,218000,1775309647000,,,,,,,1775309429000-632578958264631296-1505944797024616448,,,,,
632578958264631296,1775291392000,1505944797024616448,RJ47GA8532,145000,1775291537000,,,,,,,1775291392000-632578958264631296-1505944797024616448,,,,,
632578958264631296,1775264246000,1505944797024616448,RJ47GA8532,172000,1775264418000,,,,,,,1775264246000-632578958264631296-1505944797024616448,,,,,
632578958264631296,1775258372000,1505944797024616448,RJ47GA8532,5585000,1775263957000,,,,,,,1775258372000-632578958264631296-1505944797024616448,,,,,
632578958264631296,1775276506000,1540361729291059200,NL01AK8391,316000,1775276822000,,,,,,,1775276506000-632578958264631296-1540361729291059200,,,,,
632578958264631296,1775294508000,1540361830973571072,NL01AK8390,156000,1775294664000,,,,,,,1775294508000-632578958264631296-1540361830973571072,,,,,
632578958264631296,1775276871000,1540361934212169728,NL01AK8389,502000,1775277373000,,,,,,,1775276871000-632578958264631296-1540361934212169728,,,,,
1194637793272266752,1775310577000,874238000127541248,RJ47GA4754,7494000,1775318071000,98.78145971058588,2.0,37.41721958734313,1.7469229600937684,66.79999999998836,37.41721958734313,1775310577000-1194637793272266752-874238000127541248,65365.0,,,,0.0
1194637793272266752,1775309212000,874238000127541248,RJ47GA4754,297000,1775309509000,1.2820485655053764,0.07107166666666667,0.4856244566308244,3.142345858334885,1.6000000000058208,0.4856244566308244,1775309212000-1194637793272266752-874238000127541248,1526.0,,,,
1194637793272266752,1775298741000,874238000127541248,RJ47GA4754,9888000,1775308629000,117.5349692237682,2.699999999999818,44.52082167566977,2.0395176140610616,93.19999999998254,44.520821675669765,1775298741000-1194637793272266752-874238000127541248,90801.0,,,,0.0
1194637793272266752,1775287734000,874238000127541248,RJ47GA4754,5116000,1775292850000,91.78372372324048,1.3999999999996362,34.76656201637897,1.4179141433880067,50.70000000001164,34.76656201637897,1775287734000-1194637793272266752-874238000127541248,49296.0,,,,0.0
1194637793272266752,1775281470000,874238000127541248,RJ47GA4754,5219000,1775286689000,71.83842048300124,1.4000000000005457,27.211522910227742,2.1319644692945436,59.39999999999418,27.211522910227742,1775281470000-1194637793272266752-874238000127541248,58014.0,,,,0.0
1194637793272266752,1775279078000,874238000127541248,RJ47GA4754,1746000,1775280824000,27.76984982626313,0.4000000000005457,10.518882509948154,2.111726219871001,22.29999999998836,10.518882509948154,1775279078000-1194637793272266752-874238000127541248,22213.0,,,,0.0
1194637793272266752,1775270642000,874238000127541248,RJ47GA4754,8116000,1775278758000,108.29200759670944,2.199999999999818,41.01969984723842,2.2713720565235334,95.60000000000582,41.01969984723843,1775270642000-1194637793272266752-874238000127541248,93171.0,,,,0.0
1194637793272266752,1775270520000,874238000127541248,RJ47GA4754,113000,1775270633000,0.35392225000000005,0.030000000000000002,0.13406145833333336,,0.0,0.13406145833333336,1775270520000-1194637793272266752-874238000127541248,,,,,
