vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,driver_ids,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation,vehicle_device_type,active_driver,adblue_consumed
1050036987500691456,1786261814000-632578958264631296-1050036987500691456,1786261814000,1786276432000,1,171.988,59.359,2.8974207786519313,632578958264631296,1786261814000,1050036987500691456,RJ47GA6281,,14618000,1786276432000,156.7075989332467,171.988,4.050000000000182,59.35893898986617,2.897423756670617,183.10000000003492,59.35893898986617,1786261814000-632578958264631296-1050036987500691456,"{'confidence': 47, 'count': 12, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 2}, 'load_class': 'LOW', 'mean': 32162.738281737365, 'std': 11816.38442478453, 'timestamp': 1786300589398}",,,
1050036509840769024,1786261940000-632578958264631296-1050036509840769024,1786261940000,1786276455000,1,171.968,60.943,2.8217842902384196,632578958264631296,1786261940000,1050036509840769024,RJ47GA6390,,14515000,1786276455000,160.89010094518062,171.968,4.0,60.94322005499266,2.8217741012835083,182.0,60.94322005499266,1786261940000-632578958264631296-1050036509840769024,"{'confidence': 71.9, 'count': 8, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 29078.52959001655, 'std': 4626.216552700759, 'timestamp': 1786287498811}",,,
944589217739046912,1786237372000-632578958264631296-944589217739046912,1786237372000,1786251413000,1,170.728,36.66,4.657064920894709,632578958264631296,1786237372000,944589217739046912,RJ47GA2631,,14041000,1786251413000,96.78245387542714,170.728,3.899999999999636,36.660020407358765,4.657062328468584,186.25,24.37839813324451,1786237372000-632578958264631296-944589217739046912,"{'confidence': 72.3, 'count': 26, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 17102.9055238761, 'std': 4833.95248204424, 'timestamp': 1786262201865}",,,
1094226778622263296,1786281900000-632578958264631296-1094226778622263296,1786281900000,1786296175000,1,170.701,51.541,3.3119458295337694,632578958264631296,1786281900000,1094226778622263296,RJ47GA6284,,14275000,1786296175000,136.06711500262423,170.701,3.949999999999818,51.54057386463039,3.3119732125672585,181.39999999999418,51.54057386463039,1786281900000-632578958264631296-1094226778622263296,,,,
1422205727123963904,1786290929000-632578958264631296-1422205727123963904,1786290929000,1786318390000,1,169.762,72.449,2.343193142762495,632578958264631296,1786290929000,1422205727123963904,NL01AJ9006,,27461000,1786318390000,191.26660728302983,169.762,7.599999999999909,72.44947245569311,2.3431778623898043,172.875,72.44947245569311,1786290929000-632578958264631296-1422205727123963904,,,,
1428064485414797312,1786256787000-632578958264631296-1428064485414797312,1786256787000,1786271339000,1,169.378,65.004,2.6056550366131312,632578958264631296,1786256787000,1428064485414797312,NL01AJ9496,,14552000,1786271339000,171.61012395002757,169.378,4.0,65.0038348295559,2.605661657410207,176.0,65.0038348295559,1786256787000-632578958264631296-1428064485414797312,,,,
959434235414839296,1786243052000-632578958264631296-959434235414839296,1786243052000,1786256197000,1,168.312,56.442,2.9820346550441164,632578958264631296,1786243052000,959434235414839296,RJ47GA4862,,13145000,1786256197000,149.00710959529775,168.312,3.600000000000364,56.44208696791581,2.982030060222189,174.5,56.44208696791581,1786243052000-632578958264631296-959434235414839296,"{'confidence': 61.3, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 29451.542191312008, 'std': 8528.20623018993, 'timestamp': 1786278985940}",,,
1088168906306093056,1786237842000-632578958264631296-1088168906306093056,1786237842000,1786252734000,1,167.874,56.226,2.9857005655746454,632578958264631296,1786237842000,1088168906306093056,RJ47GA5908,,14892000,1786252734000,148.43695488658759,167.874,4.100000000000364,56.226119275222565,2.9856942318617006,175.70000000001164,56.226119275222565,1786237842000-632578958264631296-1088168906306093056,,,,
966383863687282688,1786269422000-632578958264631296-966383863687282688,1786269422000,1786284198000,1,167.104,49.801,3.3554346298267106,632578958264631296,1786269422000,966383863687282688,RJ47GA4672,,14776000,1786284198000,131.4745930214197,167.104,4.100000000000364,49.80098220508322,3.3554358287926216,172.20000000001164,49.80098220508322,1786269422000-632578958264631296-966383863687282688,"{'confidence': 41.1, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 32974.557310107, 'std': 7773.190871127817, 'timestamp': 1786406905309}",,,
1083727207982956544,1786243808000-632578958264631296-1083727207982956544,1786243808000,1786257575000,1,166.585,69.64,2.392087880528432,632578958264631296,1786243808000,1083727207982956544,RJ47GA6322,,13767000,1786257575000,183.8488873618832,166.585,3.800000000000182,69.63973006131938,2.392097152779284,177.60000000000582,69.63973006131938,1786243808000-632578958264631296-1083727207982956544,"{'confidence': 20.9, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 102830.39024161421, 'std': 36382.15956890416, 'timestamp': 1786383308409}",,,
1504892206538817536,1786243821000-632578958264631296-1504892206538817536,1786243821000,1786257264000,1,166.507,62.961,2.6446053906386493,632578958264631296,1786243821000,1504892206538817536,RJ47GA8528,,13443000,1786257264000,166.21724190541573,166.507,3.7000000000000455,62.961076479324134,2.644602178215289,175.9100000000035,62.96107647932413,1786243821000-632578958264631296-1504892206538817536,"{'confidence': 59.1, 'count': 9, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 66136.41766598474, 'std': 16223.481699009502, 'timestamp': 1786348853184}",,,
836966844580495360,1786315757000-632578958264631296-836966844580495360,1786315757000,1786329955000,1,165.89,65.284,2.5410514061638376,632578958264631296,1786315757000,836966844580495360,RJ47GA2578,['900758004192772103'],14198000,1786329955000,172.34976455090734,165.89,3.899999999999636,65.28400172382854,2.5410513390672014,186.0,65.28400172382854,1786315757000-632578958264631296-836966844580495360,,,900758004192772103,
1545824860603678720,1786261070000-632578958264631296-1545824860603678720,1786261070000,1786275614000,1,165.535,45.612,3.6291984565465225,632578958264631296,1786261070000,1545824860603678720,NL01AK8994,,14544000,1786275614000,120.4156891312715,165.535,4.0,45.61200345881496,3.6291981813398895,172.15000000000146,45.61200345881496,1786261070000-632578958264631296-1545824860603678720,,,,
947105297703370752,1786259155000-632578958264631296-947105297703370752,1786259155000,1786276157000,1,164.343,63.256,2.598061843935753,632578958264631296,1786259155000,947105297703370752,RJ47GA3607,,17002000,1786276157000,166.9953209563374,164.343,4.700000000000728,63.25580339255204,2.5980699190574237,,63.25580339255204,1786259155000-632578958264631296-947105297703370752,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 87055.98343314262, 'std': 20223.540304008984, 'timestamp': 1786287500824}",,,
