account_id,start_time,vehicle_id,vehicle_plate,duration,end_time,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,driver_ids,vehicle_device_type,active_driver,adblue_consumed
632578958264631296,1776772682000,1505944797024616448,RJ47GA8532,197000,1776772879000,,,,,,,,1776772682000-632578958264631296-1505944797024616448,,,,
632578958264631296,1776760987000,1505944797024616448,RJ47GA8532,8734000,1776769721000,,,,,,,,1776760987000-632578958264631296-1505944797024616448,,,,
632578958264631296,1776745205000,1505944797024616448,RJ47GA8532,13818000,1776759023000,,,,,,,,1776745205000-632578958264631296-1505944797024616448,,,,
632578958264631296,1776730806000,1505944797024616448,RJ47GA8532,1866000,1776732672000,,,,,,,,1776730806000-632578958264631296-1505944797024616448,,,,
632578958264631296,1776729841000,1505944797024616448,RJ47GA8532,172000,1776730013000,,,,,,,,1776729841000-632578958264631296-1505944797024616448,,,,
632578958264631296,1776727477000,1505944797024616448,RJ47GA8532,217000,1776727694000,,,,,,,,1776727477000-632578958264631296-1505944797024616448,,,,
632578958264631296,1776722016000,1505944797024616448,RJ47GA8532,1054000,1776723070000,,,,,,,,1776722016000-632578958264631296-1505944797024616448,,,,
632578958264631296,1776719872000,1505944797024616448,RJ47GA8532,217000,1776720089000,,,,,,,,1776719872000-632578958264631296-1505944797024616448,,,,
632578958264631296,1776719425000,1505944797024616448,RJ47GA8532,189000,1776719614000,,,,,,,,1776719425000-632578958264631296-1505944797024616448,,,,
1194637793272266752,1776758392000,874238000127541248,RJ47GA4754,8879000,1776767271000,142.17110372472106,44671.0,2.4000000000005457,53.852690804818586,0.8295035834310245,45.79999999998836,53.852690804818586,1776758392000-1194637793272266752-874238000127541248,,,,0.0
1194637793272266752,1776755905000,874238000127541248,RJ47GA4754,2481000,1776758386000,31.631609576890824,16537.0,0.6999999999998181,11.981670294276826,1.3801915420673088,16.60000000000582,11.981670294276826,1776755905000-1194637793272266752-874238000127541248,,,,0.0
1194637793272266752,1776752062000,874238000127541248,RJ47GA4754,3399000,1776755461000,39.51071803859404,23200.0,0.8999999999996362,14.966181075225016,1.5501616533562612,23.599999999976717,14.966181075225016,1776752062000-1194637793272266752-874238000127541248,,,,0.0
1194637793272266752,1776749734000,874238000127541248,RJ47GA4754,1708000,1776751442000,16.932974109729358,9917.0,0.3999999999996362,6.414005344594453,1.5461477605967033,10.0,6.414005344594453,1776749734000-1194637793272266752-874238000127541248,,,,0.0
1194637793272266752,1776748764000,874238000127541248,RJ47GA4754,876000,1776749640000,5.192923836660971,2588.0,0.1999999999998181,1.9670166047958224,1.3156980951203694,2.7000000000116415,1.9670166047958224,1776748764000-1194637793272266752-874238000127541248,,,,0.0
1194637793272266752,1776741568000,874238000127541248,RJ47GA4754,316000,1776741884000,0.907743929324597,19.0,0.07666666666666666,0.34384239747143824,0.05525787436256537,0.10000000000582077,0.34384239747143824,1776741568000-1194637793272266752-874238000127541248,,,,
1194637793272266752,1776740899000,874238000127541248,RJ47GA4754,171000,1776741070000,0.5616266117647061,12.0,0.033944444444444444,0.21273735294117654,0.05640758350188784,,0.21273735294117654,1776740899000-1194637793272266752-874238000127541248,,,,
1194637793272266752,1776738090000,874238000127541248,RJ47GA4754,2251000,1776740341000,27.713558505491033,23853.0,0.5999999999994543,10.497560039958724,2.2722423028974443,24.60000000000582,10.497560039958724,1776738090000-1194637793272266752-874238000127541248,,,,0.0
1194637793272266752,1776732312000,874238000127541248,RJ47GA4754,4022000,1776736334000,45.10132124905041,35494.0,1.1000000000003638,17.083833806458486,2.0776366945563245,36.60000000000582,17.083833806458486,1776732312000-1194637793272266752-874238000127541248,,,,0.0
1194637793272266752,1776730794000,874238000127541248,RJ47GA4754,211000,1776731005000,0.6819934752631579,42.0,0.04379666666666667,0.25833086184210524,0.1625822005954166,,0.25833086184210524,1776730794000-1194637793272266752-874238000127541248,,,,
1194637793272266752,1776729482000,874238000127541248,RJ47GA4754,331000,1776729813000,2.569833307526455,1708.0,0.08166666666666668,0.9734217073963845,1.7546352079700334,1.6999999999825377,0.9734217073963845,1776729482000-1194637793272266752-874238000127541248,,,,
1194637793272266752,1776723976000,874238000127541248,RJ47GA4754,5173000,1776729149000,50.085089545881296,33554.0,1.4000000000005457,18.971624827985337,1.7686413422272602,34.20000000001164,18.971624827985337,1776723976000-1194637793272266752-874238000127541248,,,,0.5520000000000013
632578958264631296,1776750920000,876044057397166080,RJ14GN1573,6319000,1776757239000,53.47809609222284,69405.0,1.7000000000007276,20.25685458038744,3.4262476301329374,72.5,20.25685458038744,1776750920000-632578958264631296-876044057397166080,,,,0.7359999999999974
