vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,load_estimation,driver_ids,vehicle_device_type,active_driver,adblue_consumed
1536022277991170048,1785654156000-632578958264631296-1536022277991170048,1785654156000,1785656363000,1,26.176,6.749,3.8785005185953474,632578958264631296,1785654156000,1536022277991170048,NL01AK7897,2207000,1785656363000,17.816880288948564,0.6000000000000227,6.8086231455198565,3.8445364709638943,27.165000000000873,6.8086231455198565,1785654156000-632578958264631296-1536022277991170048,26.176,,,,,
1540361729291059200,1785631672000-632578958264631296-1540361729291059200,1785631672000,1785633583000,1,23.291,5.562,4.18752247393024,632578958264631296,1785631672000,1540361729291059200,NL01AK8391,1911000,1785633583000,14.684961782832218,0.5,5.557634510549575,4.190811748377609,24.099999999998545,5.557634510549574,1785631672000-632578958264631296-1540361729291059200,23.291,,,,,
1540361293100220416,1785636357000-632578958264631296-1540361293100220416,1785636357000,1785637761000,1,7.62,2.897,2.6303072143596826,632578958264631296,1785636357000,1540361293100220416,NL01AK8392,1404000,1785637761000,7.648846596608426,0.35000000000002274,2.9106796008798863,2.542705146166795,7.620000000002619,2.9106796008798863,1785636357000-632578958264631296-1540361293100220416,7.401,,,,,
1535704124731949056,1785680880000-632578958264631296-1535704124731949056,1785680880000,1785681367000,1,2.18,1.036,2.1042471042471043,632578958264631296,1785680880000,1535704124731949056,NL01AK7898,487000,1785681367000,2.7361943809574485,0.11916666666666667,1.0613654016780047,2.053958039854832,2.180000000000291,1.0613654016780047,1785680880000-632578958264631296-1535704124731949056,2.180000000000291,,,,,
1535704124731949056,1785639666000-632578958264631296-1535704124731949056,1785639666000,1785640137000,1,1.438,0.534,2.692883895131086,632578958264631296,1785639666000,1535704124731949056,NL01AK7898,471000,1785640137000,1.4087011524822695,0.1170636111111111,0.5807601465691016,2.4760652198590556,1.4700000000011642,0.5807601465691016,1785639666000-632578958264631296-1535704124731949056,1.438,,,,,
1540361293100220416,1785667244000-632578958264631296-1540361293100220416,1785667244000,1785667883000,1,1.259,0.966,1.3033126293995858,632578958264631296,1785667244000,1540361293100220416,NL01AK8392,639000,1785667883000,2.5500898439625175,0.14999999999997726,0.9915471585956547,1.2697328504104064,1.2549999999973807,0.9915471585956547,1785667244000-632578958264631296-1540361293100220416,1.259,,,,,
1540361293100220416,1785668120000-632578958264631296-1540361293100220416,1785668120000,1785668629000,1,1.164,0.583,1.9965694682675814,632578958264631296,1785668120000,1540361293100220416,NL01AK8392,509000,1785668629000,1.5384454108097936,0.10000000000002274,0.6184633916120315,1.8820839127858828,1.195000000003347,0.6184633916120315,1785668120000-632578958264631296-1540361293100220416,1.164,,,,,
1500848886552461312,1785674765000-632578958264631296-1500848886552461312,1785674765000,1785676293000,1,0.0,0.0,0.0,632578958264631296,1785674765000,1500848886552461312,NL01AK3124,1528000,1785676293000,,0.0,0.0,0.0,,,1785674765000-632578958264631296-1500848886552461312,14.406,,,c,,
1500848886552461312,1785678096000-632578958264631296-1500848886552461312,1785678096000,1785681234000,1,0.0,0.0,0.0,632578958264631296,1785678096000,1500848886552461312,NL01AK3124,3138000,1785681234000,,0.0,0.0,0.0,,,1785678096000-632578958264631296-1500848886552461312,33.374,,,c,,
1500848886552461312,1785681907000-632578958264631296-1500848886552461312,1785681907000,1785683470000,1,0.0,0.0,0.0,632578958264631296,1785681907000,1500848886552461312,NL01AK3124,1563000,1785683470000,,0.0,0.0,0.0,,,1785681907000-632578958264631296-1500848886552461312,18.163,,,c,,
