vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation,driver_ids,engine_hours
1262198895564292096,1788864247000-1205841794575630336-1262198895564292096,1788864247000,1788871756000,2,37.125,6.267,5.923887027285782,1205841794575630336,1788864247000,1262198895564292096,OD29N3011,7509000,1788871756000,16.560474511234574,35.094,6.272907011831277,5.5945353460221074,37.75,6.272907011831277,1788864247000-1205841794575630336-1262198895564292096,"{'confidence': 66.9, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 8342.013297204145, 'std': 1234.5187070406755, 'timestamp': 1788871804468}",,2.050000000000182
1262125582469038080,1788868165000-1205841794575630336-1262125582469038080,1788868165000,1788874107000,3,33.75,9.736,3.466516023007395,1205841794575630336,1788868165000,1262125582469038080,OD04U4729,5942000,1788874107000,25.56811089773273,32.615,9.684890491565428,3.3676168076866135,34.375,9.684890491565428,1788868165000-1205841794575630336-1262125582469038080,,,1.550000000000182
1207322174759632896,1788859823000-1205841794575630336-1207322174759632896,1788859823000,1788867454000,3,28.0,6.513,4.299094119453401,1205841794575630336,1788859823000,1207322174759632896,OD10X1844,7631000,1788867454000,17.24295063070313,28.934,6.531420693448156,4.429970347649552,29.0,6.531420693448155,1788859823000-1205841794575630336-1207322174759632896,"{'confidence': None, 'count': None, 'error_code': 'TORQUE_FILTER_FAILED', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788867558077}",,0.0
1207349271276290048,1788832495000-1205841794575630336-1207349271276290048,1788832495000,1788838097000,3,27.0,8.078,3.3424114879920777,1205841794575630336,1788832495000,1207349271276290048,OD24J9552,5602000,1788838097000,21.384374814699356,28.769,8.100141975264908,3.551666142130692,29.0,8.100141975264908,1788832495000-1205841794575630336-1207349271276290048,,,0.0
1262211680859848704,1788831655000-1205841794575630336-1262211680859848704,1788831655000,1788837893000,4,26.875,6.26,4.293130990415335,1205841794575630336,1788831655000,1262211680859848704,OD06M9118,6238000,1788837893000,16.57125300763808,29.168,6.276989775620485,4.646813367975691,31.25,6.276989775620485,1788831655000-1205841794575630336-1262211680859848704,,,1.6500000000005457
1262198552675745792,1788833592000-1205841794575630336-1262198552675745792,1788833592000,1788839263000,2,26.0,6.6659999999999995,3.900390039003901,1205841794575630336,1788833592000,1262198552675745792,OD29N3066,5671000,1788839263000,17.614645425064825,24.858,6.672214176160919,3.725599829935747,26.75,6.672214176160919,1788833592000-1205841794575630336-1262198552675745792,,,1.550000000000182
1207322943986597888,1788827211000-1205841794575630336-1207322943986597888,1788827211000,1788830231000,2,23.0,3.63,6.336088154269973,1205841794575630336,1788827211000,1207322943986597888,OD10X1885,3020000,1788830231000,9.847287388095461,24.245,3.730033101551311,6.499942316843399,25.0,3.730033101551311,1788827211000-1205841794575630336-1207322943986597888,,,0.0
1262068928729841664,1788833045000-1205841794575630336-1262068928729841664,1788833045000,1788836946000,2,21.5,5.316000000000001,4.044394281414597,1205841794575630336,1788833045000,1262068928729841664,OD17AB5476,3901000,1788836946000,14.04348517954133,22.667,5.3195019619474735,4.261113194834051,22.89999999999418,5.3195019619474735,1788833045000-1205841794575630336-1262068928729841664,,,0.0
1262124186470449152,1788832210000-1205841794575630336-1262124186470449152,1788832210000,1788836103000,3,20.25,5.542,3.653915553951642,1205841794575630336,1788832210000,1262124186470449152,OD29N3052,3893000,1788836103000,14.675368416831951,22.303,5.558851673042406,4.0121595811160375,23.0,5.558851673042405,1788832210000-1205841794575630336-1262124186470449152,,,1.050000000000182
1262206023901380608,1788836461000-1205841794575630336-1262206023901380608,1788836461000,1788839709000,3,18.625,2.689,6.926366679062848,1205841794575630336,1788836461000,1262206023901380608,OD05BU0556,3248000,1788839709000,7.125152565858907,19.346,2.698921426461707,7.168048617614873,20.5,2.698921426461707,1788836461000-1205841794575630336-1262206023901380608,,,0.8499999999994543
1262201721384337408,1788851975000-1205841794575630336-1262201721384337408,1788851975000,1788855057000,2,17.375,4.186,4.150740563784042,1205841794575630336,1788851975000,1262201721384337408,OD06N1337,3082000,1788855057000,11.065858715500763,16.633,4.191613149810895,3.968161995281077,18.0,4.191613149810895,1788851975000-1205841794575630336-1262201721384337408,,,0.8000000000001819
1262447988672823296,1788853855000-1205841794575630336-1262447988672823296,1788853855000,1788855633000,2,16.0,2.415,6.625258799171842,1205841794575630336,1788853855000,1262447988672823296,OD11AE3205,1778000,1788855633000,6.37543351739412,14.92,2.4149369384068633,6.1782151586296665,16.0,2.4149369384068633,1788853855000-1205841794575630336-1262447988672823296,,,0.4499999999998181
1207336970854858752,1788861859000-1205841794575630336-1207336970854858752,1788861859000,1788865759000,2,15.0,3.568,4.2040358744394615,1205841794575630336,1788861859000,1207336970854858752,OD30F2058,3900000,1788865759000,13.094805890466978,24.453,4.960153746389007,4.929887509596208,15.0,4.960153746389007,1788861859000-1205841794575630336-1207336970854858752,,,0.0
1207336970854858752,1788860211000-1205841794575630336-1207336970854858752,1788860211000,1788861792000,2,3.0,2.15,1.3953488372093024,1205841794575630336,1788860211000,1207336970854858752,OD30F2058,1581000,1788861792000,10.56,8.144,4.0,2.036,,4.0,1788860211000-1205841794575630336-1207336970854858752,,,0.0
1207298620362063872,1788840814000-1205841794575630336-1207298620362063872,1788840814000,1788861041000,4,0.0,35.311,0.0,1205841794575630336,1788840814000,1207298620362063872,OD18M3203,20227000,1788861041000,93.29568607263617,136.877,35.3392750275137,3.873226032323335,,35.3392750275137,1788840814000-1205841794575630336-1207298620362063872,"{'confidence': 17.5, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 13594.656012032978, 'std': 3884.745478751983, 'timestamp': 1788861051158}",,0.0
