vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,mileage,distance,load_estimation,engine_hours,active_driver,driver_ids
589017381083291648,1785501289000-642689989225816064-589017381083291648,1785501289000,1785529942000,1,332.668,70.684,4.70641163488201,642689989225816064,1785501289000,589017381083291648,MP09BP1514,28653000,1785529942000,186.60706593745832,70.68449467327966,,54.20764416666665,1785501289000-642689989225816064-589017381083291648,4.706378697869591,332.668,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785534812126}",4.727631944444446,,
1514683047356661760,1785499542000-642689989225816064-1514683047356661760,1785499542000,1785528839000,1,329.176,76.744,4.2892734285416445,642689989225816064,1785499542000,1514683047356661760,MP09BJ5826,29297000,1785528839000,202.6051103660434,76.74435998713764,,64.73099889835245,1785499542000-642689989225816064-1514683047356661760,4.289253308714411,329.176,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785580558884}",5.834930555555696,,
1425523015684194304,1785528005000-642689989225816064-1425523015684194304,1785528005000,1785547294000,1,318.482,86.757,3.6709660315594133,642689989225816064,1785528005000,1425523015684194304,MP09AM6184,19289000,1785547294000,229.0392697391423,86.7572991436145,329.1000000000058,86.7572991436145,1785528005000-642689989225816064-1425523015684194304,3.670953373880368,318.482,"{'confidence': 77.5, 'count': 24, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14642.687018666644, 'std': 3233.6827669904906, 'timestamp': 1785612336890}",5.199999999999818,,
614868863032492032,1785482373000-642689989225816064-614868863032492032,1785482373000,1785515843000,1,307.504,73.196,4.201103885458222,642689989225816064,1785482373000,614868863032492032,MP09AF3672,33470000,1785515843000,193.2369622618952,73.19581903859667,,59.88813454377147,1785482373000-642689989225816064-614868863032492032,4.201114271811768,307.504,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785605923666}",6.414784722222876,,
1530989903863611392,1785475169000-642689989225816064-1530989903863611392,1785475169000,1785489455000,1,301.657,60.67,4.97209493983847,642689989225816064,1785475169000,1530989903863611392,MP09BL8795,14286000,1785489455000,160.1690834685209,60.67010737443973,193.47000000000116,60.67010737443974,1785475169000-642689989225816064-1530989903863611392,4.972086140185205,301.657,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785562227397}",3.912499999999909,,
566306901520842752,1785457420000-642689989225816064-566306901520842752,1785457420000,1785480761000,1,294.106,65.181,4.51214310918826,642689989225816064,1785457420000,566306901520842752,MP09AF2718,23341000,1785480761000,172.07789568157295,65.1810210915049,,55.293298171064784,1785457420000-642689989225816064-566306901520842752,4.512141649133064,294.106,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785559385926}",4.025722222222234,,
1530989903863611392,1785509005000-642689989225816064-1530989903863611392,1785509005000,1785524492000,1,288.819,63.707,4.533552042946615,642689989225816064,1785509005000,1530989903863611392,MP09BL8795,15487000,1785524492000,168.18678651788963,63.70711610526122,189.35000000000582,63.70711610526122,1785509005000-642689989225816064-1530989903863611392,4.533543780616182,288.819,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785578937636}",4.24944444444418,,
1530989903863611392,1785490861000-642689989225816064-1530989903863611392,1785490861000,1785506734000,1,288.458,52.131,5.533329496844488,642689989225816064,1785490861000,1530989903863611392,MP09BL8795,15873000,1785506734000,137.6256636135126,52.13093318693659,194.08000000000175,54.1268523209745,1785490861000-642689989225816064-1530989903863611392,5.533336588578167,288.458,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785570222254}",4.331111111111113,,
1533593777682251776,1785494278000-642689989225816064-1533593777682251776,1785494278000,1785508785000,1,284.512,57.672,4.933277847135526,642689989225816064,1785494278000,1533593777682251776,MP09BL8707,14507000,1785508785000,152.2540563941121,57.67199105837579,191.8399999999965,57.67199105837579,1785494278000-642689989225816064-1533593777682251776,4.933278612004499,284.512,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785571399117}",3.999166666666497,,
1533593777682251776,1785472975000-642689989225816064-1533593777682251776,1785472975000,1785487305000,1,242.509,62.547,3.8772283243001264,642689989225816064,1785472975000,1533593777682251776,MP09BL8707,14330000,1785487305000,165.12442307537196,62.5471299527924,,62.5471299527924,1785472975000-642689989225816064-1533593777682251776,3.8772202686683506,242.509,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785561520994}",3.9433333333336122,,
