vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,driver_ids,vehicle_device_type,active_driver,adblue_consumed
1064527564812320768,1775975389000-632578958264631296-1064527564812320768,1775975389000,1775990194000,1,180.536,60.344,2.991780458703434,632578958264631296,1775975389000,1064527564812320768,RJ47GA3509,14805000,1775990194000,159.3070621596878,180.536,4.049999999999272,60.3435841513969,2.991801076101986,60.3435841513969,1775975389000-632578958264631296-1064527564812320768,192.75,,,,
1153273376152748032,1775955219000-632578958264631296-1153273376152748032,1775955219000,1775969130000,1,175.879,56.787,3.0971701269656786,632578958264631296,1775955219000,1153273376152748032,RJ47GA6313,13911000,1775969130000,149.91750620002117,175.879,3.850000000000364,56.786934166674676,3.09717371752769,56.786934166674676,1775955219000-632578958264631296-1153273376152748032,186.39999999999418,,,,
1505916014645215232,1775965692000-632578958264631296-1505916014645215232,1775965692000,1775979029000,1,174.644,59.131,2.9535100032132044,632578958264631296,1775965692000,1505916014645215232,RJ47GA8530,13337000,1775979029000,156.10508193281254,174.644,3.6499999999999773,59.130712853338075,2.9535243458533906,59.130712853338075,1775965692000-632578958264631296-1505916014645215232,184.11499999999796,,,,
1125482414773108736,1775986636000-632578958264631296-1125482414773108736,1775986636000,1776003726000,1,172.475,34.383,5.016287118634208,632578958264631296,1775986636000,1125482414773108736,RJ47GA3886,17090000,1776003726000,90.77212669329097,172.475,4.699999999998909,34.38338132321628,5.016231486329757,34.38338132321628,1775986636000-632578958264631296-1125482414773108736,174.375,,,,
938815406225752064,1775986544000-632578958264631296-938815406225752064,1775986544000,1775999851000,1,170.479,60.283,2.8279780369258334,632578958264631296,1775986544000,938815406225752064,RJ47GA3910,13307000,1775999851000,159.14704873275997,170.479,3.649999999999636,60.28297300483332,2.8279793033155727,60.28297300483332,1775986544000-632578958264631296-938815406225752064,172.875,,,,
938815406225752064,1775955998000-632578958264631296-938815406225752064,1775955998000,1775969812000,1,166.594,55.22,3.0169141615356754,632578958264631296,1775955998000,938815406225752064,RJ47GA3910,13814000,1775969812000,145.78091118561747,166.594,3.7999999999992724,55.22004211576419,3.0169118605659455,55.22004211576418,1775955998000-632578958264631296-938815406225752064,168.125,,,,
1093087738300727296,1775986243000-632578958264631296-1093087738300727296,1775986243000,1775998918000,1,166.578,49.798,3.34507409936142,632578958264631296,1775986243000,1093087738300727296,RJ47GA5977,12675000,1775998918000,131.46610378680072,166.578,3.5,49.797766585909365,3.3450897785270244,49.797766585909365,1775986243000-632578958264631296-1093087738300727296,172.17999999999302,,,,
873101078441230336,1775954244000-632578958264631296-873101078441230336,1775954244000,1775966200000,1,166.285,51.612,3.221828256994497,632578958264631296,1775954244000,873101078441230336,RJ14GN0769,11956000,1775966200000,136.25605351245412,166.285,3.2999999999992724,51.61214148199019,3.2218194251448438,51.61214148199019,1775954244000-632578958264631296-873101078441230336,172.5,,,,2.87821010855143
786545248472924160,1775985211000-632578958264631296-786545248472924160,1775985211000,1775998393000,1,165.963,46.396,3.5770971635485815,632578958264631296,1775985211000,786545248472924160,RJ47GA3116,13182000,1775998393000,122.48602977888508,165.963,3.600000000000364,46.39622340109283,3.577079939573074,46.39622340109283,1775985211000-632578958264631296-786545248472924160,187.84999999997672,['900758004209549323'],,900758004209549323,
1047650330055016448,1775955451000-632578958264631296-1047650330055016448,1775955451000,1775968894000,1,165.322,45.992,3.5945816663767616,632578958264631296,1775955451000,1047650330055016448,RJ47GA3445,13443000,1775968894000,121.41764696363491,165.322,3.7000000000007276,45.991532940770796,3.5946181705425295,45.991532940770796,1775955451000-632578958264631296-1047650330055016448,168.375,,,,
873109579045535744,1775995022000-632578958264631296-873109579045535744,1775995022000,1776008855000,1,164.801,44.566,3.697908719651752,632578958264631296,1775995022000,873109579045535744,RJ14GN1568,13833000,1776008855000,117.65507113562968,164.801,3.800000000000182,44.56631482410215,3.6978825969894435,44.56631482410215,1775995022000-632578958264631296-873109579045535744,172.0,,,,3.81548438889114
1067775974323519488,1775980936000-632578958264631296-1067775974323519488,1775980936000,1775994683000,1,164.142,45.495,3.6079129574678537,632578958264631296,1775980936000,1067775974323519488,RJ14GP9560,13747000,1775994683000,120.1065675135905,164.142,3.7999999999992724,45.4949119369661,3.6079199411886163,45.4949119369661,1775980936000-632578958264631296-1067775974323519488,171.0,,,,
1067767710965825536,1775985704000-632578958264631296-1067767710965825536,1775985704000,1775999141000,1,163.104,63.375,2.5736331360946747,632578958264631296,1775985704000,1067767710965825536,RJ47GA6291,13437000,1775999141000,167.31,163.104,3.699999999999818,63.375,2.5736331360946747,63.375,1775985704000-632578958264631296-1067767710965825536,172.70000000001164,,,,
1073663431535493120,1775985690000-632578958264631296-1073663431535493120,1775985690000,1775999098000,1,162.911,60.366,2.6987211344134114,632578958264631296,1775985690000,1073663431535493120,RJ47GA5728,13408000,1775999098000,159.3657962844838,162.911,3.699999999999818,60.365831925940824,2.698728648349709,60.365831925940824,1775985690000-632578958264631296-1073663431535493120,173.79999999998836,,,,
1083728919393206272,1775947856000-632578958264631296-1083728919393206272,1775947856000,1775961784000,1,162.906,58.682,2.7760812514910875,632578958264631296,1775947856000,1083728919393206272,RJ47GA6305,13928000,1775961784000,154.92017204736055,162.906,3.850000000000364,58.68188335127294,2.7760867698269984,58.68188335127294,1775947856000-632578958264631296-1083728919393206272,173.5,,,,
943883409392926720,1775951538000-632578958264631296-943883409392926720,1775951538000,1775966418000,1,162.233,49.866,3.253379055869731,632578958264631296,1775951538000,943883409392926720,RJ47GA2626,14880000,1775966418000,131.64543875707082,162.233,4.049999999999272,49.865696498890465,3.2533988571403945,49.865696498890465,1775951538000-632578958264631296-943883409392926720,225.75,,,,
1064532839803912192,1775970385000-632578958264631296-1064532839803912192,1775970385000,1775983021000,1,161.84,47.021,3.4418664001190957,632578958264631296,1775970385000,1064532839803912192,RJ47GA3903,12636000,1775983021000,124.13614322708514,161.84,3.4499999999989086,47.021266373895884,3.441846902061455,47.021266373895884,1775970385000-632578958264631296-1064532839803912192,165.25,,,,
939547417898909696,1775985724000-632578958264631296-939547417898909696,1775985724000,1775998550000,1,161.161,53.086,3.0358474927476173,632578958264631296,1775985724000,939547417898909696,RJ14GN1565,12826000,1775998550000,140.14620191035286,161.161,3.5,53.085682541800324,3.035865647448346,53.085682541800324,1775985724000-632578958264631296-939547417898909696,165.29999999998836,,,,
1389243774684626944,1775953942000-632578958264631296-1389243774684626944,1775953942000,1775968120000,1,159.143,48.322,3.2933860353462188,632578958264631296,1775953942000,1389243774684626944,NL01AJ6143,14178000,1775968120000,127.56951968744798,159.143,3.900000000000091,48.32178776039696,3.293400500600449,48.32178776039696,1775953942000-632578958264631296-1389243774684626944,165.0,,,,
951557843473924096,1775988380000-632578958264631296-951557843473924096,1775988380000,1776002121000,1,157.858,54.226,2.911112750341165,632578958264631296,1775988380000,951557843473924096,RJ47GA3365,13741000,1776002121000,143.1577450988672,157.858,3.8000000000010914,54.22641859805576,2.911090278155671,54.22641859805576,1775988380000-632578958264631296-951557843473924096,157.75,,,,
871764525957775360,1775951569000-632578958264631296-871764525957775360,1775951569000,1775964659000,1,157.704,36.268,4.348296018528731,632578958264631296,1775951569000,871764525957775360,RJ47GA4671,13090000,1775964659000,95.7483030525631,157.704,3.600000000000364,36.268296610819355,4.348260457122065,36.268296610819355,1775951569000-632578958264631296-871764525957775360,164.90000000002328,,,,1.984963167826645
1462138214197231616,1775966658000-632578958264631296-1462138214197231616,1775966658000,1775979804000,1,157.178,42.595,3.6900575184880853,632578958264631296,1775966658000,1462138214197231616,RJ47GA5984,13146000,1775979804000,112.45174648055158,157.178,3.5999999999994543,42.595358515360445,3.6900264601205213,42.595358515360445,1775966658000-632578958264631296-1462138214197231616,161.5,,,,
1153273602804547584,1775985144000-632578958264631296-1153273602804547584,1775985144000,1775998532000,1,154.471,43.322,3.5656479386916575,632578958264631296,1775985144000,1153273602804547584,RJ47GA6314,13388000,1775998532000,114.36889812957071,154.471,3.649999999999636,43.32155232180708,3.5656847855436338,43.32155232180708,1775985144000-632578958264631296-1153273602804547584,162.79999999998836,,,,
780059706918961152,1775937956000-632578958264631296-780059706918961152,1775937956000,1775958376000,1,153.916,58.992,2.609099538920532,632578958264631296,1775937956000,780059706918961152,RJ47GA3183,20420000,1775958376000,155.73872687125532,153.916,5.599999999998545,58.991941996687615,2.609102104294894,58.991941996687615,1775937956000-632578958264631296-780059706918961152,172.20000000001164,['900758004217937931'],,900758004217937931,
1050036904705130496,1775975711000-632578958264631296-1050036904705130496,1775975711000,1775989955000,1,153.167,50.66,3.0234307145677066,632578958264631296,1775975711000,1050036904705130496,RJ47GA6244,14244000,1775989955000,133.74122276810525,153.167,3.899999999999636,50.659554078827746,3.023457327746464,50.659554078827746,1775975711000-632578958264631296-1050036904705130496,157.90000000002328,,,,
