trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1773932124000-649034868264558592-1146409880471470080,1146409880471470080,1773932124000,1773946033000,74.099,35.427
1773932124000-649034868264558592-1146409880471470080,1146409880471470080,1773946034000,1773965942000,331.679,104.603
1773932124000-649034868264558592-1146409880471470080,1146409880471470080,1773965943000,1773973863000,104.778,35.391
1773932124000-649034868264558592-1146409880471470080,1146409880471470080,1773973864000,1773989777000,104.778,35.391
