vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,load_estimation,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,driver_ids,vehicle_device_type,active_driver,adblue_consumed
1536393085787832320,1788577676000-632578958264631296-1536393085787832320,1788577676000,1788591789000,1,180.508,39.554,4.563583961167012,632578958264631296,1788577676000,1536393085787832320,NL01AK8055,14113000,1788591789000,"{'confidence': 44.8, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 33720.76060329599, 'std': 9122.606813841809, 'timestamp': 1788591797828}",104.42291167221934,180.508,3.8999999999999773,39.55413320917399,4.563568592071533,185.6800000000003,0.001,1788577676000-632578958264631296-1536393085787832320,,,,
794219272623620096,1788574836000-632578958264631296-794219272623620096,1788574836000,1788589520000,1,180.15,60.643,2.970664380060353,632578958264631296,1788574836000,794219272623620096,RJ47GA3338,14684000,1788589520000,"{'confidence': 50, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 68727.68507189926, 'std': 15368.675964156346, 'timestamp': 1788589606756}",160.09790422282293,180.15,4.0,60.643145538948076,2.9706572506912363,204.29999999998836,60.643145538948076,1788574836000-632578958264631296-794219272623620096,['900758004226326537'],,900758004226326537,
1082007973238145024,1788577708000-632578958264631296-1082007973238145024,1788577708000,1788592158000,1,178.369,60.304,2.957830326346511,632578958264631296,1788577708000,1082007973238145024,RJ47GA5734,14450000,1788592158000,"{'confidence': 29.9, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 36725.61015043533, 'std': 10300.118246329572, 'timestamp': 1788592175601}",159.20214548721484,178.369,4.0,60.30384298758137,2.9578380276151273,190.5,60.30384298758137,1788577708000-632578958264631296-1082007973238145024,,,,
1081223436249858048,1788589376000-632578958264631296-1081223436249858048,1788589376000,1788604130000,1,177.264,46.555,3.807625389324455,632578958264631296,1788589376000,1081223436249858048,RJ47GA5875,14754000,1788604130000,"{'confidence': 80.2, 'count': 22, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 35821.46488633593, 'std': 6643.8868956324, 'timestamp': 1788604150982}",122.90413422974878,177.264,4.050000000000182,46.55459629914726,3.8076584073664694,184.39999999996508,46.55459629914726,1788589376000-632578958264631296-1081223436249858048,,,,
1536014556927623168,1788588146000-632578958264631296-1536014556927623168,1788588146000,1788601824000,1,174.452,51.699,3.374378614673398,632578958264631296,1788588146000,1536014556927623168,NL01AK9196,13678000,1788601824000,"{'confidence': 68.1, 'count': 21, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 70794.76236001209, 'std': 20707.526653523975, 'timestamp': 1788601828115}",136.48564473948767,174.452,3.75,51.69910785586654,3.3743715749672094,179.74499999999898,51.69910785586654,1788588146000-632578958264631296-1536014556927623168,,,,
1545824186436419584,1788570618000-632578958264631296-1545824186436419584,1788570618000,1788584319000,1,169.58,52.01,3.2605268217650454,632578958264631296,1788570618000,1545824186436419584,NL01AK8995,13701000,1788584319000,"{'confidence': 70.1, 'count': 24, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 51053.64722343125, 'std': 14972.709647535428, 'timestamp': 1788584322134}",137.3071669166566,169.58,3.75,52.01029049873355,3.2605086103898855,176.98500000000058,52.01029049873355,1788570618000-632578958264631296-1545824186436419584,,,,
1109804807901675520,1788575543000-632578958264631296-1109804807901675520,1788575543000,1788589570000,1,167.931,64.967,2.584866162821125,632578958264631296,1788575543000,1109804807901675520,RJ47GA5831,14027000,1788589570000,"{'confidence': 57.5, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 80086.25532825588, 'std': 15208.617302009307, 'timestamp': 1788589587678}",171.51390095769096,167.931,0.0,64.96738672639809,2.5848507760858555,176.60000000000582,64.96738672639809,1788575543000-632578958264631296-1109804807901675520,,,,
1545824860603678720,1788571330000-632578958264631296-1545824860603678720,1788571330000,1788585719000,1,167.172,44.988,3.715924246465724,632578958264631296,1788571330000,1545824860603678720,NL01AK8994,14389000,1788585719000,"{'confidence': 80.5, 'count': 28, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 46047.374625781384, 'std': 9509.43693014559, 'timestamp': 1788585748106}",118.76922790080832,167.172,3.949999999999932,44.98834390182133,3.7158958410387743,173.97999999999956,44.98834390182133,1788571330000-632578958264631296-1545824860603678720,,,,
1536014505966829568,1788569147000-632578958264631296-1536014505966829568,1788569147000,1788585022000,1,166.961,62.21,2.683828966404115,632578958264631296,1788569147000,1536014505966829568,NL01AK8408,15875000,1788585022000,"{'confidence': 74.3, 'count': 26, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 73549.75400329017, 'std': 19271.746693761383, 'timestamp': 1788585826378}",164.23439999999772,166.961,4.400000000000091,62.209999999999134,2.683828966404153,171.72500000000218,62.20999999999913,1788569147000-632578958264631296-1536014505966829568,,,,
1505944797024616448,1788607060000-632578958264631296-1505944797024616448,1788607060000,1788621183000,1,165.015,53.731,3.0711321211218845,632578958264631296,1788607060000,1505944797024616448,RJ47GA8532,14123000,1788621183000,"{'confidence': 2.1, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 68963.78228857579, 'std': 23377.428127709547, 'timestamp': 1788621227910}",141.8488245695914,165.015,3.5,53.730615367269465,3.071154105942373,174.38500000000204,53.730615367269465,1788607060000-632578958264631296-1505944797024616448,,,,
