trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1787277927000-649034868264558592-1474013221449891840,1474013221449891840,1787277927000,1787281684000,53.325,17.9
1787277927000-649034868264558592-1474013221449891840,1474013221449891840,1787281685000,1787291438000,79.34,33.494
1787283679000-649034868264558592-1494312472553717760,1494312472553717760,1787283679000,1787292458000,75.4,28.129
1787283679000-649034868264558592-1494312472553717760,1494312472553717760,1787292459000,1787295999000,0.0,6.989
1787285770000-649034868264558592-1334833282986016768,1334833282986016768,1787285770000,1787287240000,7.275,3.789
1787285770000-649034868264558592-1334833282986016768,1334833282986016768,1787287241000,1787291155000,50.755,14.269
1787299521000-649034868264558592-1284476928488636416,1284476928488636416,1787299521000,1787307114000,132.54,40.489
1787299521000-649034868264558592-1284476928488636416,1284476928488636416,1787307115000,1787312017000,63.265,22.25
1787305297000-649034868264558592-1268893955106275328,1268893955106275328,1787305297000,1787314827000,62.96,32.182
1787305297000-649034868264558592-1268893955106275328,1268893955106275328,1787314828000,1787317277000,13.2,7.825
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787307792000,1787320367000,127.715,42.527
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787320368000,1787320706000,4.02,2.09
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787320707000,1787322211000,23.82,8.021
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787322212000,1787322567000,4.195,1.855
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787322568000,1787324173000,25.9,8.579
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787324174000,1787325652000,22.76,7.736
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787325653000,1787326007000,5.59,2.099
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787326008000,1787326347000,4.09,1.849
1787307792000-649034868264558592-933044705925529600,933044705925529600,1787326348000,1787326457000,0.0,0.018
1787314555000-649034868264558592-1192134718468915200,1192134718468915200,1787314555000,1787318100000,10.19,5.967
1787314555000-649034868264558592-1192134718468915200,1192134718468915200,1787318101000,1787323995000,85.64,24.568
1787317208000-649034868264558592-1561408897250492416,1561408897250492416,1787317208000,1787324153000,28.26,15.712
1787317208000-649034868264558592-1561408897250492416,1561408897250492416,1787324154000,1787328520000,56.96,19.105
1787317278000-649034868264558592-1268893955106275328,1268893955106275328,1787317278000,1787320080000,47.04,20.398
1787317278000-649034868264558592-1268893955106275328,1268893955106275328,1787320081000,1787331984000,146.32,60.575
1787317278000-649034868264558592-1268893955106275328,1268893955106275328,1787331985000,1787332240000,1.04,0.943
1787320135000-649034868264558592-1334832234422599680,1334832234422599680,1787320135000,1787326336000,39.84,21.064
1787320135000-649034868264558592-1334832234422599680,1334832234422599680,1787326337000,1787327152000,4.04,1.889
1787323251000-649034868264558592-1406272050288394240,1406272050288394240,1787323251000,1787341923000,338.28,92.71
1787323251000-649034868264558592-1406272050288394240,1406272050288394240,1787341924000,1787357823000,288.56,61.728
1787323251000-649034868264558592-1406272050288394240,1406272050288394240,1787357824000,1787380901000,24.588,8.09
1787324728000-649034868264558592-1192134718468915200,1192134718468915200,1787324728000,1787341803000,177.18,56.368
1787324728000-649034868264558592-1192134718468915200,1192134718468915200,1787341804000,1787358546000,262.435,94.466
1787324728000-649034868264558592-1192134718468915200,1192134718468915200,1787358547000,1787369190000,117.725,37.706
1787326276000-649034868264558592-1140330319757443072,1140330319757443072,1787326276000,1787351044000,344.0,133.681
1787326276000-649034868264558592-1140330319757443072,1140330319757443072,1787351045000,1787369034000,0.424,0.001
1787326809000-649034868264558592-1268893877926887424,1268893877926887424,1787326809000,1787333880000,45.64,19.991
1787326809000-649034868264558592-1268893877926887424,1268893877926887424,1787333881000,1787335144000,21.12,5.382
1787328081000-649034868264558592-933044705925529600,933044705925529600,1787328081000,1787343979000,210.75,67.083
1787328081000-649034868264558592-933044705925529600,933044705925529600,1787343980000,1787345002000,10.84,3.72
1787328081000-649034868264558592-933044705925529600,933044705925529600,1787345003000,1787359014000,192.265,64.203
1787328081000-649034868264558592-933044705925529600,933044705925529600,1787359015000,1787359807000,4.22,2.516
1787328081000-649034868264558592-933044705925529600,933044705925529600,1787359808000,1787363435000,44.635,15.568
1787332242000-649034868264558592-1268893955106275328,1268893955106275328,1787332242000,1787332646000,1.28,1.303
1787332242000-649034868264558592-1268893955106275328,1268893955106275328,1787332647000,1787341485000,88.88,33.008
1787332242000-649034868264558592-1268893955106275328,1268893955106275328,1787341486000,1787342998000,29.68,11.439
1787332242000-649034868264558592-1268893955106275328,1268893955106275328,1787342999000,1787353296000,137.36,55.052
1787334776000-649034868264558592-1192134793974775808,1192134793974775808,1787334776000,1787356981000,360.925,117.358
1787334776000-649034868264558592-1192134793974775808,1192134793974775808,1787356982000,1787362042000,72.54,24.718
1787340231000-649034868264558592-1474013563159838720,1474013563159838720,1787340231000,1787369473000,383.785,142.242
1787340231000-649034868264558592-1474013563159838720,1474013563159838720,1787369474000,1787383279000,144.735,50.152
1787344247000-649034868264558592-1334833384924381184,1334833384924381184,1787344247000,1787352398000,115.33,29.72
1787344247000-649034868264558592-1334833384924381184,1334833384924381184,1787352399000,1787369134000,211.9,61.557
