account_id,start_time,vehicle_id,vehicle_plate,duration,end_time,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,carbon_emission,driver_ids,vehicle_device_type,active_driver,adblue_consumed
632578958264631296,1773853570000,1079444806125486080,RJ47GA6401,107000,1773853677000,,,0.001,,,0.001,1773853570000-632578958264631296-1079444806125486080,,,,,
902855557075959808,1773843585000,1152270135390633984,RJ47GA6196,268000,1773843853000,,0.045671666666666666,0.0992320920817369,0.18139293067784462,0.10000000000582077,0.09923209208173692,1773843585000-902855557075959808-1152270135390633984,,,,,
902855557075959808,1773832881000,1152270135390633984,RJ47GA6196,7962000,1773840843000,81489.0,2.199999999999818,21.41949995719642,3.804430549865461,84.29999999998836,21.41949995719642,1773832881000-902855557075959808-1152270135390633984,,,,,
902855557075959808,1773831844000,1152270135390633984,RJ47GA6196,191000,1773832035000,,0.0347825,0.09760523015873016,0.4098141045817949,0.0,0.09760523015873016,1773831844000-902855557075959808-1152270135390633984,,,,,
902855557075959808,1773831448000,1152270135390633984,RJ47GA6196,271000,1773831719000,,0.06282499999999999,0.12705232080026452,0.4328925253279237,0.10000000000582077,0.12705232080026452,1773831448000-902855557075959808-1152270135390633984,,,,,
902855557075959808,1773828411000,1152270135390633984,RJ47GA6196,2494000,1773830905000,28218.0,0.6499999999996362,7.547306382014285,3.738817343793715,29.10000000000582,7.547306382014285,1773828411000-902855557075959808-1152270135390633984,,,,,
902855557075959808,1773811251000,1152270135390633984,RJ47GA6196,14863000,1773826114000,166722.0,4.100000000000364,46.17376987428853,3.6107513086740126,172.5,46.17376987428853,1773811251000-902855557075959808-1152270135390633984,,,,,
902855557075959808,1773792788000,1152270135390633984,RJ47GA6196,16739000,1773809527000,169147.0,4.599999999999454,46.52641700350539,3.635504534708876,175.20000000001164,46.52641700350539,1773792788000-902855557075959808-1152270135390633984,,,,,
901025643674730496,1773849735000,1291421127226163200,NL01AG9585,7310000,1773857045000,58732.0,1.949999999999818,28.001095648172598,2.097489353200826,59.80000000001746,28.001095648172594,1773849735000-901025643674730496-1291421127226163200,,,,,
901025643674730496,1773838696000,1291421127226163200,NL01AG9585,8117000,1773846813000,68173.0,2.199999999999818,41.22274181246346,1.6537716076757487,69.5,41.22274181246346,1773838696000-901025643674730496-1291421127226163200,,,,,
901025643674730496,1773820260000,1291421127226163200,NL01AG9585,14755000,1773835015000,66112.0,4.049999999999272,37.17287191658214,1.7785012723353408,66.79999999998836,37.17287191658214,1773820260000-901025643674730496-1291421127226163200,,,,,
901025643674730496,1773812957000,1291421127226163200,NL01AG9585,5617000,1773818574000,55419.0,1.550000000000182,19.754890266225843,2.8053306929650565,56.39999999999418,19.754890266225843,1773812957000-901025643674730496-1291421127226163200,,,,,
