vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,carbon_emission,driver_ids,vehicle_device_type,active_driver,adblue_consumed
866686265431425024,1773842010000-632578958264631296-866686265431425024,1773842010000,1773844235000,1,4.789,3.586,1.3354712771890687,632578958264631296,1773842010000,866686265431425024,RJ47GA4451,2225000,1773844235000,4.789,0.5,3.5856862482130563,1.3355881325050736,5.099999999976717,3.5856862482130563,1773842010000-632578958264631296-866686265431425024,,['900758004234715152'],,900758004234715152,0.0
1406586435233906688,1773812974000-632578958264631296-1406586435233906688,1773812974000,1773814749000,1,4.752,3.288,1.4452554744525548,632578958264631296,1773812974000,1406586435233906688,NL01AJ7417,1775000,1773814749000,4.752,0.4499999999998181,3.2878216129923357,1.4453338895339507,4.9799999999959255,3.287821612992335,1773812974000-632578958264631296-1406586435233906688,,,,,
1064494636166283264,1773805492000-632578958264631296-1064494636166283264,1773805492000,1773806468000,1,4.75,1.315,3.612167300380228,632578958264631296,1773805492000,1064494636166283264,RJ47GA2650,976000,1773806468000,4.75,0.25,1.315362351274683,3.6111722335650707,5.0,1.315362351274683,1773805492000-632578958264631296-1064494636166283264,,,,,
1070334753032372224,1773811336000-632578958264631296-1070334753032372224,1773811336000,1773811907000,1,4.75,1.246,3.812199036918138,632578958264631296,1773811336000,1070334753032372224,RJ47GA4000,571000,1773811907000,4.75,0.1000000000003638,1.2461555022496917,3.8117233294117767,4.75,1.2461555022496917,1773811336000-632578958264631296-1070334753032372224,,['1096406669480427549'],,,
1088492376734826496,1773842161000-632578958264631296-1088492376734826496,1773842161000,1773844223000,1,4.727,2.894,1.633379405666897,632578958264631296,1773842161000,1088492376734826496,RJ47GA5700,2062000,1773844223000,4.727,0.0,2.8935628210436426,1.63362618762674,4.899999999994179,2.8935628210436426,1773842161000-632578958264631296-1088492376734826496,,,,,
1067765189559975936,1773772726000-632578958264631296-1067765189559975936,1773772726000,1773776466000,1,4.722,3.595,1.313490959666203,632578958264631296,1773772726000,1067765189559975936,RJ47GA6285,3740000,1773776466000,4.722,1.0,3.5951156657149603,1.3134487007001308,5.2999999999883585,3.5951156657149603,1773772726000-632578958264631296-1067765189559975936,,,,,
961239466377216000,1773835438000-632578958264631296-961239466377216000,1773835438000,1773836280000,1,4.701,0.919,5.115342763873775,632578958264631296,1773835438000,961239466377216000,RJ47GA2691,842000,1773836280000,4.701,0.2000000000007276,0.9194288776301552,5.112956656437541,4.875,0.7866579975100565,1773835438000-632578958264631296-961239466377216000,,,,,
1046442514266980352,1773848519000-632578958264631296-1046442514266980352,1773848519000,1773848999000,1,4.664,1.986,2.348439073514602,632578958264631296,1773848519000,1046442514266980352,RJ47GA3809,480000,1773848999000,4.664,0.0,1.9857757818627446,2.34870424073002,4.375,1.9857757818627446,1773848519000-632578958264631296-1046442514266980352,,,,,
1067764585097854976,1773816837000-632578958264631296-1067764585097854976,1773816837000,1773818215000,1,4.622,1.821,2.5381658429434375,632578958264631296,1773816837000,1067764585097854976,RJ47GA6231,1378000,1773818215000,4.622,0.3500000000003638,1.8214729251056119,2.537506836524627,4.899999999994179,1.8214729251056119,1773816837000-632578958264631296-1067764585097854976,,,,,
1373358446576926720,1773812847000-632578958264631296-1373358446576926720,1773812847000,1773813843000,1,4.607,0.351,13.125356125356127,632578958264631296,1773812847000,1373358446576926720,HR26EQ4539,996000,1773813843000,4.607,0.2711111111102582,0.3514615109690475,13.108120964078282,4.570000000006985,0.3514615109690475,1773812847000-632578958264631296-1373358446576926720,,,,,
