vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,engine_hours,active_driver,driver_ids,vehicle_device_type
1531026470644744192,1783497361000-642689989225816064-1531026470644744192,1783497361000,1783511140000,1,342.317,62.504,5.4767214898246515,642689989225816064,1783497361000,1531026470644744192,MP09BM0987,13779000,1783511140000,165.01090173467452,62.50412944495246,5.476710147630796,,62.50412944495246,1783497361000-642689989225816064-1531026470644744192,342.317,3.7902777777776464,,,
1515667522240643072,1783478424000-642689989225816064-1515667522240643072,1783478424000,1783511004000,1,338.44,81.704,4.1422696563203765,642689989225816064,1783478424000,1515667522240643072,MP09BJ5830,32580000,1783511004000,215.6983129461851,81.7039064190095,4.142274400740984,,71.4121064206731,1783478424000-642689989225816064-1515667522240643072,338.44,5.678597222222213,,,
1530989903863611392,1783515362000-642689989225816064-1530989903863611392,1783515362000,1783528703000,1,336.726,57.895,5.816149926591242,642689989225816064,1783515362000,1530989903863611392,MP09BL8795,13341000,1783528703000,152.84297240612776,57.895065305351416,5.81614336600248,,48.05369223183682,1783515362000-642689989225816064-1530989903863611392,336.726,3.6680555555558385,,,
739451124913799168,1783534969000-642689989225816064-739451124913799168,1783534969000,1783559385000,1,335.764,83.982,3.998047200590603,642689989225816064,1783534969000,739451124913799168,MP13P2781,24416000,1783559385000,221.71187866450344,83.98177222140282,3.998058044248205,,83.98177222140282,1783534969000-642689989225816064-739451124913799168,335.764,0.0,,,
589017381083291648,1783473329000-642689989225816064-589017381083291648,1783473329000,1783501353000,1,335.001,70.627,4.743242669234146,642689989225816064,1783473329000,589017381083291648,MP09BP1514,28024000,1783501353000,186.4563681397833,70.62741217416034,4.7432149881680505,,57.86606771298392,1783473329000-642689989225816064-589017381083291648,335.001,4.75220138888889,,,
1527036626096619520,1783502278000-642689989225816064-1527036626096619520,1783502278000,1783531032000,1,333.439,77.899,4.280401545591086,642689989225816064,1783502278000,1527036626096619520,MP09BJ9703,28754000,1783531032000,205.65211781973989,77.8985294771742,4.280427400079539,,77.89852947717418,1783502278000-642689989225816064-1527036626096619520,333.439,7.950833333333321,,,
1514683047356661760,1783478670000-642689989225816064-1514683047356661760,1783478670000,1783510290000,1,332.508,71.517,4.649356097151726,642689989225816064,1783478670000,1514683047356661760,MP09BJ5826,31620000,1783510290000,188.8048812485962,71.5170004729531,4.649356066404807,,50.43307981637315,1783478670000-642689989225816064-1514683047356661760,332.508,5.0941805555555515,,,
1514683047356661760,1783512291000-642689989225816064-1514683047356661760,1783512291000,1783541842000,1,330.506,74.509,4.4357862808519775,642689989225816064,1783512291000,1514683047356661760,MP09BJ5826,29551000,1783541842000,196.70359331485767,74.50893686168851,4.4357900397038375,,65.3046323044663,1783512291000-642689989225816064-1514683047356661760,330.506,6.631138888889353,,,
1425525382987120640,1783541591000-642689989225816064-1425525382987120640,1783541591000,1783562169000,2,325.245,84.168,3.864235814086113,642689989225816064,1783541591000,1425525382987120640,MP09AM6115,20578000,1783562169000,222.25068697469607,84.18586627829396,3.863475122116321,337.1000000000058,84.18586627829396,1783541591000-642689989225816064-1425525382987120640,325.25,5.600000000000364,,,
1531014613364113408,1783518373000-642689989225816064-1531014613364113408,1783518373000,1783535411000,1,307.269,55.301,5.556300971049348,642689989225816064,1783518373000,1531014613364113408,MP09BM0929,17038000,1783535411000,145.99578516591083,55.30143377496622,5.5562573883770465,190.91999999999825,55.30143377496622,1783518373000-642689989225816064-1531014613364113408,307.269,4.676666666666733,,,
