vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,driver_ids
1494313280225673216,1784202913000-649034868264558592-1494313280225673216,1784202913000,1784260548000,2,627.66,234.101,2.681150443611945,649034868264558592,1784202913000,1494313280225673216,MP09BL9990,57635000,1784260548000,618.1127231575686,633.301,15.985000000000127,234.13360725665473,2.7048701270201776,629.1199999999953,234.13360725665473,1784202913000-649034868264558592-1494313280225673216,
1561408916011614208,1784231310000-649034868264558592-1561408916011614208,1784231310000,1784267897000,2,616.465,198.518,3.105335536324162,649034868264558592,1784231310000,1561408916011614208,MP09BP0999,36587000,1784267897000,524.17610860981,625.313,10.130833333333271,198.55155629159466,3.149373450801159,618.4900000000016,198.55155629159466,1784231310000-649034868264558592-1561408916011614208,
1474013563159838720,1784214632000-649034868264558592-1474013563159838720,1784214632000,1784266416000,1,616.292,241.984,2.5468295424490877,649034868264558592,1784214632000,1474013563159838720,MP09AM9990,51784000,1784266416000,638.8377600000107,616.292,14.350000000000364,241.98400000000402,2.5468295424490455,607.1049999999814,241.98400000000402,1784214632000-649034868264558592-1474013563159838720,
1494312585351135232,1784209408000-649034868264558592-1494312585351135232,1784209408000,1784258374000,4,605.72,216.773,2.794259432678424,649034868264558592,1784209408000,1494312585351135232,MP09AZ0009,48966000,1784258374000,571.4114633013855,615.862,13.538611111111095,216.44373609900967,2.845367628094726,609.179999999993,216.44373609900967,1784209408000-649034868264558592-1494312585351135232,
1474016264899788800,1784190593000-649034868264558592-1474016264899788800,1784190593000,1784233060000,3,586.61,180.347,3.252674011766206,649034868264558592,1784190593000,1474016264899788800,MP09BK9990,42467000,1784233060000,474.2506166809382,590.649,11.768611111111113,179.64038510641598,3.2879522032315247,586.6000000000058,179.64038510641598,1784190593000-649034868264558592-1474016264899788800,
1552709347677569024,1784227663000-649034868264558592-1552709347677569024,1784227663000,1784269061000,3,583.2,174.411,3.3438257908044795,649034868264558592,1784227663000,1552709347677569024,MP09BN9990,41398000,1784269061000,460.69357556469413,571.057,11.450000000000045,174.50514225935382,3.2724365173794197,584.0650000000023,174.50514225935382,1784227663000-649034868264558592-1552709347677569024,
1268893773056704512,1784198610000-649034868264558592-1268893773056704512,1784198610000,1784256217000,4,571.88,235.499,2.428375492040306,649034868264558592,1784198610000,1268893773056704512,MP09DG0009,57607000,1784256217000,620.8069517356322,577.842,15.974444444444089,235.15414838470917,2.4572902667005385,575.359999999986,235.15414838470915,1784198610000-649034868264558592-1268893773056704512,
1537489451758911488,1784214231000-649034868264558592-1537489451758911488,1784214231000,1784260430000,4,571.035,181.344,3.1489048438327156,649034868264558592,1784214231000,1537489451758911488,MP09BG9990,46199000,1784260430000,478.81344655794567,559.203,0.0,181.3687297567976,3.083238222762275,579.625,181.3687297567976,1784214231000-649034868264558592-1537489451758911488,
1537489465788858368,1784215516000-649034868264558592-1537489465788858368,1784215516000,1784254863000,1,571.034,161.561,3.5344792369445592,649034868264558592,1784215516000,1537489465788858368,MP09BJ9990,39347000,1784254863000,426.5210723495966,571.034,0.0,161.56101225363506,3.534478968871105,588.7450000000026,161.56101225363506,1784215516000-649034868264558592-1537489465788858368,
1552709327888842752,1784217436000-649034868264558592-1552709327888842752,1784217436000,1784257932000,4,566.69,193.208,2.9330566022110887,649034868264558592,1784217436000,1552709327888842752,MP09BP9990,40496000,1784257932000,511.71648000000096,559.26,11.200000000000045,193.83200000000036,2.885282099962849,571.75,193.83200000000036,1784217436000-649034868264558592-1552709327888842752,
1220369221305761792,1784225712000-649034868264558592-1220369221305761792,1784225712000,1784272467000,2,564.16,219.239,2.573264793216535,649034868264558592,1784225712000,1220369221305761792,MP09ZY9990,46755000,1784272467000,578.8309148804518,562.29,12.95833333333212,219.25413442441356,2.564558253262247,566.3200000000652,219.25413442441356,1784225712000-649034868264558592-1220369221305761792,
1537489458834702336,1784209559000-649034868264558592-1537489458834702336,1784209559000,1784250082000,1,540.003,163.743,3.297869221890402,649034868264558592,1784209559000,1537489458834702336,MP09BF9990,40523000,1784250082000,432.28198781128856,540.003,0.0,163.74317720124566,3.2978656529689716,558.6050000000032,163.74317720124566,1784209559000-649034868264558592-1537489458834702336,
1147228695027515392,1784217584000-649034868264558592-1147228695027515392,1784217584000,1784257774000,1,535.734,182.381,2.937444141659493,649034868264558592,1784217584000,1147228695027515392,MP09ZF9990,40190000,1784257774000,481.4857826743993,535.734,11.099999999998545,182.3809782857573,2.9374444913910036,574.8149999999441,182.3809782857573,1784217584000-649034868264558592-1147228695027515392,
1268893877926887424,1784223945000-649034868264558592-1268893877926887424,1784223945000,1784264091000,3,526.64,192.72299999999998,2.732626619552415,649034868264558592,1784223945000,1268893877926887424,MP09DH0009,40146000,1784264091000,508.57392753237957,535.827,11.104444444443288,192.64163921681043,2.7814703102528537,528.8399999999674,192.64163921681043,1784223945000-649034868264558592-1268893877926887424,
1536322320262496256,1784217506000-649034868264558592-1536322320262496256,1784217506000,1784257483000,3,524.99,216.858,2.4208929345470307,649034868264558592,1784217506000,1536322320262496256,MP09BL9000,39977000,1784257483000,572.7198069337064,558.885,11.07055555555553,216.9393208082221,2.57622729672904,,216.9393208082221,1784217506000-649034868264558592-1536322320262496256,
1474013287929610240,1784221535000-649034868264558592-1474013287929610240,1784221535000,1784265004000,2,517.26,183.72,2.8154800783801437,649034868264558592,1784221535000,1474013287929610240,MP09AM9909,43469000,1784265004000,483.45888185792825,533.517,12.0,183.12836434012434,2.913349889420182,519.3399999999965,183.12836434012434,1784221535000-649034868264558592-1474013287929610240,
682178685842751488,1784216147000-649034868264558592-682178685842751488,1784216147000,1784253053000,1,514.646,164.288,3.1325842423061934,649034868264558592,1784216147000,682178685842751488,MP30P2220,36906000,1784253053000,433.7197475472972,514.646,0.0,164.28778316185497,3.132588376903077,507.90918731992133,164.45539542376537,1784216147000-649034868264558592-682178685842751488,
1537489444636983296,1784215570000-649034868264558592-1537489444636983296,1784215570000,1784253642000,1,512.226,145.409,3.5226567819048342,649034868264558592,1784215570000,1537489444636983296,MP09BF9909,38072000,1784253642000,383.87930835195283,512.226,0.0,145.40882892119424,3.522660926439384,529.875,145.40882892119424,1784215570000-649034868264558592-1537489444636983296,['1506657089034911744']
682178375686553600,1784215556000-649034868264558592-682178375686553600,1784215556000,1784251611000,1,511.737,179.74,2.847095805051741,649034868264558592,1784215556000,682178375686553600,MP30P1110,36055000,1784251611000,474.51359999997544,511.737,0.0,179.7399999999907,2.847095805051889,505.8170392101165,179.7399999999907,1784215556000-649034868264558592-682178375686553600,
1561408897250492416,1784221346000-649034868264558592-1561408897250492416,1784221346000,1784244445000,1,504.227,124.739,4.04225623101035,649034868264558592,1784221346000,1561408897250492416,MP09BP0009,23099000,1784244445000,329.31036240531705,504.227,6.38222222222214,124.73877363837767,4.042263566433423,,124.73877363837768,1784221346000-649034868264558592-1561408897250492416,
1186996301657538560,1784243119000-649034868264558592-1186996301657538560,1784243119000,1784280790000,1,489.215,184.191,2.6560201095601847,649034868264558592,1784243119000,1186996301657538560,MP09ZT0009,37671000,1784280790000,486.2641480865029,489.215,10.399722222222408,184.1909651842814,2.6560206116002747,494.95999999996275,184.1909651842814,1784243119000-649034868264558592-1186996301657538560,
1186996414987632640,1784207936000-649034868264558592-1186996414987632640,1784207936000,1784251866000,3,467.68,177.13,2.640320668435612,649034868264558592,1784207936000,1186996414987632640,MP09ZS0009,43930000,1784251866000,465.86876539096386,472.544,12.168611111111204,176.46544143597114,2.6778274326957,472.4799999999814,176.46544143597114,1784207936000-649034868264558592-1186996414987632640,
1552709337468633088,1784228351000-649034868264558592-1552709337468633088,1784228351000,1784257389000,1,458.2,148.46,3.086353226458305,649034868264558592,1784228351000,1552709337468633088,MP09BN9000,29038000,1784257389000,391.9344000000024,458.2,8.049999999999955,148.46000000000092,3.0863532264582862,474.0149999999994,148.46000000000092,1784228351000-649034868264558592-1552709337468633088,
1140330395766620160,1784233969000-649034868264558592-1140330395766620160,1784233969000,1784265352000,3,439.84000000000003,147.067,2.9907457145382716,649034868264558592,1784233969000,1140330395766620160,MP09DD0666,31383000,1784265352000,387.0299715949249,448.938,8.63833333333423,146.60226196777458,3.062285628980837,441.28000000002794,146.60738682330359,1784233969000-649034868264558592-1140330395766620160,
1474016264899788800,1784233174000-649034868264558592-1474016264899788800,1784233174000,1784270787000,2,437.81,145.30700000000002,3.0130000619378277,649034868264558592,1784233174000,1474016264899788800,MP09BK9990,37613000,1784270787000,383.6538446352361,442.546,10.39333333333343,145.3234259981955,3.045248878219367,440.22000000000116,145.3234259981955,1784233174000-649034868264558592-1474016264899788800,
1474016042442293248,1784220576000-649034868264558592-1474016042442293248,1784220576000,1784252469000,2,431.33,157.35899999999998,2.7410570733164294,649034868264558592,1784220576000,1474016042442293248,MP09AP9990,31893000,1784252469000,415.49749521235947,444.074,8.800000000000182,157.38541485316645,2.8215702224650308,433.0799999999872,157.38541485316645,1784220576000-649034868264558592-1474016042442293248,
687681844035977216,1784218201000-649034868264558592-687681844035977216,1784218201000,1784252001000,2,411.99225,157.40300000000002,2.6174358176146577,649034868264558592,1784218201000,687681844035977216,MP30P6660,33800000,1784252001000,417.16330979148324,418.788,0.0,158.01640522404668,2.6502817818581126,413.6015878999606,158.01640522404668,1784218201000-649034868264558592-687681844035977216,
1192134642870779904,1784226176000-649034868264558592-1192134642870779904,1784226176000,1784254390000,1,411.446,130.093,3.1627066790680516,649034868264558592,1784226176000,1192134642870779904,MP09ZU0099,28214000,1784254390000,343.444685516996,411.446,7.800000000001091,130.09268390795302,3.1627143636387602,436.76499999989755,130.09268390795302,1784226176000-649034868264558592-1192134642870779904,
1192134868188790784,1784228688000-649034868264558592-1192134868188790784,1784228688000,1784255052000,1,407.052,146.308,2.782158186838724,649034868264558592,1784228688000,1192134868188790784,MP09ZU9990,26364000,1784255052000,386.2531199999928,407.052,7.300000000000182,146.30799999999726,2.782158186838776,,146.30799999999726,1784228688000-649034868264558592-1192134868188790784,
1334833384924381184,1784223751000-649034868264558592-1334833384924381184,1784223751000,1784251657000,1,406.94,118.033,3.447679886133539,649034868264558592,1784223751000,1334833384924381184,MP09DT9990,27906000,1784251657000,311.60699936799983,406.94,7.700000000000728,118.03295430606053,3.4476812208292342,422.4400000000023,118.03295430606053,1784223751000-649034868264558592-1334833384924381184,
1268894298644938752,1784229793000-649034868264558592-1268894298644938752,1784229793000,1784256952000,2,398.71000000000004,121.38499999999999,3.284672735510978,649034868264558592,1784229793000,1268894298644938752,MP09DB9990,27159000,1784256952000,322.629120000035,377.106,7.5,122.20800000001326,3.0857717988999007,401.0100000000093,122.20800000001327,1784229793000-649034868264558592-1268894298644938752,
1406272050288394240,1784241235000-649034868264558592-1406272050288394240,1784241235000,1784269577000,1,389.736,134.425,2.899282127580435,649034868264558592,1784241235000,1406272050288394240,MP09AT9000,28342000,1784269577000,354.8827276817666,389.736,7.823055555555584,134.4252756370328,2.8992761826454583,381.88000000000466,134.4252756370328,1784241235000-649034868264558592-1406272050288394240,
1334833282986016768,1784216327000-649034868264558592-1334833282986016768,1784216327000,1784243616000,1,376.924,113.678,3.315716321539788,649034868264558592,1784216327000,1334833282986016768,MP09DU9990,27289000,1784243616000,300.11119277046265,376.924,7.549999999999272,113.67848211002374,3.315702259599086,395.9749999999767,113.67848211002374,1784216327000-649034868264558592-1334833282986016768,
1494312366358134784,1784229379000-649034868264558592-1494312366358134784,1784229379000,1784251352000,1,376.423,112.96,3.3323565864022666,649034868264558592,1784229379000,1494312366358134784,MP09AX9990,21973000,1784251352000,298.21420665005684,376.423,6.07472222222259,112.95992676138516,3.332358746966526,368.8399999999965,112.95992676138516,1784229379000-649034868264558592-1494312366358134784,
1146409880471470080,1784228223000-649034868264558592-1146409880471470080,1784228223000,1784260174000,1,373.037,149.942,2.4878753117872243,649034868264558592,1784228223000,1146409880471470080,MP09DC0666,31951000,1784260174000,395.84615752040065,373.037,8.834444444444443,149.9417263334851,2.4878798525390398,368.9199999999837,149.9417263334851,1784228223000-649034868264558592-1146409880471470080,
1334832669606805504,1784226142000-649034868264558592-1334832669606805504,1784226142000,1784250392000,2,370.44,136.236,2.7191050823570864,649034868264558592,1784226142000,1334832669606805504,MP09AH9990,24250000,1784250392000,359.70896069017897,377.423,6.707500000000437,136.25339420082537,2.7700080589824583,372.4400000000023,136.25339420082537,1784226142000-649034868264558592-1334832669606805504,
1066488795177680896,1784215846000-649034868264558592-1066488795177680896,1784215846000,1784251275000,2,364.32,124.248,2.9322001158972375,649034868264558592,1784215846000,1066488795177680896,MP09PA6660,35429000,1784251275000,393.2948033054097,421.553,9.792222222222335,148.97530428235214,2.8296837655792446,419.6800000000512,148.97530428235214,1784215846000-649034868264558592-1066488795177680896,
1334832234422599680,1784216902000-649034868264558592-1334832234422599680,1784216902000,1784249137000,1,356.177,134.725,2.643733531267397,649034868264558592,1784216902000,1334832234422599680,MP09DR0666,32235000,1784249137000,355.6747994595036,356.177,8.925833333332776,134.72530282556954,2.643727588878732,348.95999999996275,134.72530282556954,1784216902000-649034868264558592-1334832234422599680,
1066488845387694080,1784210482000-649034868264558592-1066488845387694080,1784210482000,1784246783000,2,352.48,149.05700000000002,2.364732954507336,649034868264558592,1784210482000,1066488845387694080,MP09PA3330,36301000,1784246783000,394.9498536210164,354.595,10.048888888888541,149.60221728068802,2.3702523027095155,353.03999999992084,149.60221728068802,1784210482000-649034868264558592-1066488845387694080,
1494312472553717760,1784229228000-649034868264558592-1494312472553717760,1784229228000,1784273290000,2,342.46,222.905,1.5363495659585922,649034868264558592,1784229228000,1494312472553717760,Mp09AZ9990,44062000,1784273290000,588.5013398348906,541.916,12.203611111111059,222.91717417988278,2.4310195120394873,,222.91717417988278,1784229228000-649034868264558592-1494312472553717760,
1494312254978392064,1784240660000-649034868264558592-1494312254978392064,1784240660000,1784276289000,2,321.48,131.832,2.4385581649371932,649034868264558592,1784240660000,1494312254978392064,MP09AY9990,35629000,1784276289000,348.4628795148363,330.518,9.843055555555566,131.99351496774102,2.5040472638430606,323.7399999999907,131.99351496774102,1784240660000-649034868264558592-1494312254978392064,
1494312254978392064,1784222211000-649034868264558592-1494312254978392064,1784222211000,1784240656000,1,315.706,108.29,2.915375380921599,649034868264558592,1784222211000,1494312254978392064,MP09AY9990,18445000,1784240656000,285.88437240588956,315.706,5.085277777777719,108.28953500223089,2.9153878996109466,309.820000000007,108.28953500223089,1784222211000-649034868264558592-1494312254978392064,
1220369221305761792,1784197671000-649034868264558592-1220369221305761792,1784197671000,1784224448000,1,309.448,113.715,2.7212592885723077,649034868264558592,1784197671000,1220369221305761792,MP09ZY9990,26777000,1784224448000,300.2079267039778,309.448,7.397222222221899,113.71512375150674,2.7212563271373984,311.19999999995343,113.71512375150674,1784197671000-649034868264558592-1220369221305761792,
1334832669606805504,1784197919000-649034868264558592-1334832669606805504,1784197919000,1784224725000,1,309.128,109.835,2.814476259844312,649034868264558592,1784197919000,1334832669606805504,MP09AH9990,26806000,1784224725000,289.96337539016054,309.128,7.397500000000946,109.83461189021232,2.814486205031579,305.0800000000163,109.83461189021232,1784197919000-649034868264558592-1334832669606805504,
1334833501215653888,1784165245000-649034868264558592-1334833501215653888,1784165245000,1784186679000,1,309.043,92.08,3.3562445699391836,649034868264558592,1784165245000,1334833501215653888,MP09DS9990,21434000,1784186679000,243.09120000004305,309.043,5.949999999998909,92.0800000000163,3.3562445699385894,320.78000000002794,92.0800000000163,1784165245000-649034868264558592-1334833501215653888,
1289228109731594240,1784171118000-649034868264558592-1289228109731594240,1784171118000,1784190482000,1,300.573,103.224,2.9118518949081604,649034868264558592,1784171118000,1289228109731594240,MP09DK9990,19364000,1784190482000,272.5104674271806,300.573,0.0,103.22366190423506,2.911861432302743,308.79999999998836,103.22366190423506,1784171118000-649034868264558592-1289228109731594240,
1284477133422329856,1784169605000-649034868264558592-1284477133422329856,1784169605000,1784188625000,2,265.17,81.529,3.2524623140232314,649034868264558592,1784169605000,1284477133422329856,MP09DH9990,19020000,1784188625000,215.2762792353646,250.149,5.25,81.54404516491083,3.0676550261163826,265.7299999999814,81.54404516491083,1784169605000-649034868264558592-1284477133422329856,
1334833185816576000,1784193306000-649034868264558592-1334833185816576000,1784193306000,1784214063000,1,257.439,77.471,3.3230370073963162,649034868264558592,1784193306000,1334833185816576000,MP09DS0999,20757000,1784214063000,204.52424711433525,257.439,5.75,77.47130572512698,3.3230238936905185,268.75,77.47130572512698,1784193306000-649034868264558592-1334833185816576000,
1151974728106246144,1784166656000-649034868264558592-1151974728106246144,1784166656000,1784184219000,1,256.996,94.933,2.7071302918900693,649034868264558592,1784166656000,1151974728106246144,MP09ZG9990,17563000,1784184219000,250.62255606266692,256.996,4.149999999997817,94.93278638737382,2.707136383328371,275.75,94.93278638737382,1784166656000-649034868264558592-1151974728106246144,
1192134793974775808,1784200027000-649034868264558592-1192134793974775808,1784200027000,1784219458000,1,247.897,86.499,2.8658944034035074,649034868264558592,1784200027000,1192134793974775808,MP09ZT9990,19431000,1784219458000,228.3563883867634,247.897,5.36604166666703,86.4986319646831,2.8659065972420805,264.25,86.51074450504771,1784200027000-649034868264558592-1192134793974775808,
1518565483060658176,1784185348000-649034868264558592-1518565483060658176,1784185348000,1784212156000,1,242.069,105.143,2.30228355667995,649034868264558592,1784185348000,1518565483060658176,MP09BK9000,26808000,1784212156000,277.5774515567018,242.069,7.4161111111111495,105.14297407450826,2.302284124362516,240.88000000000466,105.14297407450827,1784185348000-649034868264558592-1518565483060658176,
1476550907393998848,1784161563000-649034868264558592-1476550907393998848,1784161563000,1784174336000,1,189.949,58.349,3.2553942655401125,649034868264558592,1784161563000,1476550907393998848,MP09DP0666,12773000,1784174336000,154.04053367048127,189.949,3.5102777777774463,58.34868699639442,3.2554117286604525,,58.34868699639441,1784161563000-649034868264558592-1476550907393998848,
1146409880471470080,1784215792000-649034868264558592-1146409880471470080,1784215792000,1784228220000,1,185.698,72.863,2.5485911916885113,649034868264558592,1784215792000,1146409880471470080,MP09DC0666,12428000,1784228220000,192.35798786835477,185.698,3.423888888888996,72.86287419255862,2.548595592170108,183.0,72.86287419255862,1784215792000-649034868264558592-1146409880471470080,
930508235230674944,1784204627000-649034868264558592-930508235230674944,1784204627000,1784218832000,1,183.881,61.979,2.9668274738217786,649034868264558592,1784204627000,930508235230674944,MP07P7770,14205000,1784218832000,163.62551022610847,183.881,0.0,61.979359934132,2.966810244497811,,61.979359934132,1784204627000-649034868264558592-930508235230674944,
1334833501215653888,1784194425000-649034868264558592-1334833501215653888,1784194425000,1784211288000,1,183.654,53.82,3.4123745819397993,649034868264558592,1784194425000,1334833501215653888,MP09DS9990,16863000,1784211288000,142.08404067838796,183.654,4.615416666667031,53.81971237817726,3.4123928182579393,190.6449999999022,53.82137067516109,1784194425000-649034868264558592-1334833501215653888,
930508235230674944,1784190774000-649034868264558592-930508235230674944,1784190774000,1784203520000,1,182.656,61.682,2.9612528776628513,649034868264558592,1784190774000,930508235230674944,MP07P7770,12746000,1784203520000,162.84078314352425,182.656,0.0,61.68211482709252,2.9612473650104545,,61.68211482709252,1784190774000-649034868264558592-930508235230674944,
1561408916011614208,1784215181000-649034868264558592-1561408916011614208,1784215181000,1784230388000,1,181.932,58.93,3.087256066519599,649034868264558592,1784215181000,1561408916011614208,MP09BP0999,15207000,1784230388000,155.57638487033324,181.932,4.196944444444398,58.93044881452017,3.087232553965767,179.79499999999825,58.93044881452017,1784215181000-649034868264558592-1561408916011614208,
1140330395766620160,1784207861000-649034868264558592-1140330395766620160,1784207861000,1784224061000,1,181.511,56.204,3.2295032382036863,649034868264558592,1784207861000,1140330395766620160,MP09DD0666,16200000,1784224061000,148.37780813332802,181.511,4.463333333333139,56.20371520201818,3.2295196028870747,,56.20371520201818,1784207861000-649034868264558592-1140330395766620160,
1561408897250492416,1784245155000-649034868264558592-1561408897250492416,1784245155000,1784257940000,1,178.858,54.124,3.3045968516739337,649034868264558592,1784245155000,1561408897250492416,MP09BP0009,12785000,1784257940000,142.8884155024612,178.858,3.501666666666665,54.12439981153833,3.304572440946879,176.60499999999956,54.124399811538325,1784245155000-649034868264558592-1561408897250492416,
1494312366358134784,1784217067000-649034868264558592-1494312366358134784,1784217067000,1784229375000,1,177.502,63.424,2.7986566599394553,649034868264558592,1784217067000,1494312366358134784,MP09AX9990,12308000,1784229375000,167.43951585397699,177.502,3.38972222222219,63.424059035597345,2.7986540549285146,173.77999999999884,63.424059035597345,1784217067000-649034868264558592-1494312366358134784,
1140330395766620160,1784225718000-649034868264558592-1140330395766620160,1784225718000,1784233966000,1,176.896,47.561,3.719349887512878,649034868264558592,1784225718000,1140330395766620160,MP09DD0666,8248000,1784233966000,125.55979263675744,176.896,2.2622222222234996,47.56052751392327,3.719386837082788,171.7600000000093,47.56052751392327,1784225718000-649034868264558592-1140330395766620160,
1561408916011614208,1784160040000-649034868264558592-1561408916011614208,1784160040000,1784172705000,1,176.036,52.705,3.3400246655915,649034868264558592,1784160040000,1561408916011614208,MP09BP0999,12665000,1784172705000,139.14072125689074,176.036,3.4733333333333576,52.70481865791316,3.3400361576534854,173.9900000000016,52.70481865791316,1784160040000-649034868264558592-1561408916011614208,
1474016042442293248,1784166575000-649034868264558592-1474016042442293248,1784166575000,1784186078000,1,175.293,66.655,2.629855224664316,649034868264558592,1784166575000,1474016042442293248,MP09AP9990,19503000,1784186078000,175.9703984973006,175.293,5.350000000000364,66.65545397625023,2.6298373132745905,171.17999999999302,66.65545397625023,1784166575000-649034868264558592-1474016042442293248,
1474013221449891840,1784224134000-649034868264558592-1474013221449891840,1784224134000,1784259243000,4,172.35,67.44200000000001,2.5555291954568364,649034868264558592,1784224134000,1474013221449891840,MP09AS9990,35109000,1784259243000,410.45605805884975,419.754,9.75,155.47577956774612,2.6998031536937805,412.0650000000023,155.47577956774612,1784224134000-649034868264558592-1474013221449891840,
