vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,load_estimation,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,engine_hours,active_driver,driver_ids
1533070437565595648,1789296792000-642689989225816064-1533070437565595648,1789296792000,1789325617000,2,355.18,133.101,2.668499861007806,642689989225816064,1789296792000,1533070437565595648,MP09BP2959,28825000,1789325617000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789325621074}",351.4241443769329,364.522,133.11520620338365,2.7383948866296706,356.25,133.11520620338365,1789296792000-642689989225816064-1533070437565595648,7.972222222222172,,
1532377823644221440,1789262338000-642689989225816064-1532377823644221440,1789262338000,1789291411000,1,338.03,67.599,5.000517759138448,642689989225816064,1789262338000,1532377823644221440,MP09BJ9733,29073000,1789291411000,"{'confidence': 46.3, 'count': 9, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 12660.73092229759, 'std': 4081.1397441005624, 'timestamp': 1789291547194}",178.46220993596918,338.03,67.59932194544287,5.000493943900985,,20.791734202781182,1789262338000-642689989225816064-1532377823644221440,0.0,,
1532377823644221440,1789292194000-642689989225816064-1532377823644221440,1789292194000,1789320945000,1,334.931,66.269,5.0541127827490975,642689989225816064,1789292194000,1532377823644221440,MP09BJ9733,28751000,1789320945000,"{'confidence': 70.9, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 15823.331693329645, 'std': 2910.244730467434, 'timestamp': 1789320950141}",174.9493116070275,334.931,66.26867863902557,5.0541372919839604,,19.568073820565985,1789292194000-642689989225816064-1532377823644221440,0.0,,
1425523015684194304,1789329963000-642689989225816064-1425523015684194304,1789329963000,1789351723000,2,333.4,96.029,3.4718678732466235,642689989225816064,1789329963000,1425523015684194304,MP09AM6184,21760000,1789351723000,"{'confidence': 65.6, 'count': 30, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 19317.053246905973, 'std': 7271.504052280376, 'timestamp': 1789351756598}",253.59267104677136,324.765,96.05782994195884,3.3809320926387074,334.69999999998254,96.04668621431624,1789329963000-642689989225816064-1425523015684194304,5.300000000000182,,
1590315702751854592,1789267917000-642689989225816064-1590315702751854592,1789267917000,1789298123000,1,332.364,70.186,4.735474311116176,642689989225816064,1789267917000,1590315702751854592,MP09BV7337,30206000,1789298123000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789298148677}",185.2915262383259,332.364,70.18618418118405,4.735461884378981,,55.463817222222225,1789267917000-642689989225816064-1590315702751854592,5.103999999999982,,
1590315702751854592,1789301457000-642689989225816064-1590315702751854592,1789301457000,1789330499000,1,328.87,67.996,4.83660803576681,642689989225816064,1789301457000,1590315702751854592,MP09BV7337,29042000,1789330499000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789330518143}",179.50982993338306,328.87,67.99614770203904,4.836597529629432,,50.1958566666667,1789301457000-642689989225816064-1590315702751854592,4.883466666666653,,
1527036626096619520,1789264471000-642689989225816064-1527036626096619520,1789264471000,1789288794000,1,311.876,69.702,4.474419672319302,642689989225816064,1789264471000,1527036626096619520,MP09BJ9703,24323000,1789288794000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789289431654}",184.01428454561852,311.876,69.70238050970399,4.474395246179297,,69.70238050970399,1789264471000-642689989225816064-1527036626096619520,6.712222222221953,,
589014414737289216,1789290513000-642689989225816064-589014414737289216,1789290513000,1789318603000,1,294.998,65.359,4.513502348567145,642689989225816064,1789290513000,589014414737289216,MP09BP1574,28090000,1789318603000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789319496262}",172.54767042904462,294.998,65.35896607160781,4.513504691564395,,56.33345977668846,1789290513000-642689989225816064-589014414737289216,4.836590277777777,,
566304909352275968,1789292624000-642689989225816064-566304909352275968,1789292624000,1789316731000,1,293.352,81.957,3.5793403858120723,642689989225816064,1789292624000,566304909352275968,MP09AF2781,24107000,1789316731000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789316838960}",216.3676639408133,293.352,81.95744846242927,3.5793208000426913,,81.95744846242927,1789292624000-642689989225816064-566304909352275968,6.616388888891379,,
566304909352275968,1789258770000-642689989225816064-566304909352275968,1789258770000,1789279402000,1,263.634,69.061,3.8174077989024195,642689989225816064,1789258770000,566304909352275968,MP09AF2781,20632000,1789279402000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789279512954}",182.3200821173915,263.634,69.0606371656786,3.817427854995515,,68.93645703286187,1789258770000-642689989225816064-566304909352275968,5.675388888887595,,
