vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,vehicle_device_type,active_driver,driver_ids,adblue_consumed
1268615353760481280,1777194692000-632578958264631296-1268615353760481280,1777194692000,1777208810000,1,165.262,58.101,2.8443916627941,632578958264631296,1777194692000,1268615353760481280,RJ47GA5731,14118000,1777208810000,153.38663275075618,165.262,3.899999999999636,58.10099725407431,2.844391797223602,170.19999999998254,58.100997254074315,1777194692000-632578958264631296-1268615353760481280,,,,
1083728919393206272,1777193109000-632578958264631296-1083728919393206272,1777193109000,1777206973000,1,164.749,54.219,3.0385842601302127,632578958264631296,1777193109000,1083728919393206272,RJ47GA6305,13864000,1777206973000,143.13815999999295,164.749,3.800000000000182,54.21899999999732,3.0385842601303628,174.69999999998254,54.21899999999732,1777193109000-632578958264631296-1083728919393206272,,,,
946025653910634496,1777158248000-632578958264631296-946025653910634496,1777158248000,1777172204000,1,163.824,66.023,2.481317116762341,632578958264631296,1777158248000,946025653910634496,RJ47GA3361,13956000,1777172204000,174.30090057487965,163.824,3.850000000000364,66.02306839957562,2.4813145461299557,174.5,66.02306839957562,1777158248000-632578958264631296-946025653910634496,,,,
1462138214197231616,1777157084000-632578958264631296-1462138214197231616,1777157084000,1777170966000,1,163.673,37.804,4.3295153951962755,632578958264631296,1777157084000,1462138214197231616,RJ47GA5984,13882000,1777170966000,99.80356410121699,163.673,3.7999999999992724,37.80438034137007,4.329471836915403,167.80000000001746,37.80438034137007,1777157084000-632578958264631296-1462138214197231616,,,,
966383863687282688,1777159598000-632578958264631296-966383863687282688,1777159598000,1777173808000,1,163.178,47.649,3.4245839367038133,632578958264631296,1777159598000,966383863687282688,RJ47GA4672,14210000,1777173808000,125.79415866497007,163.178,3.899999999999636,47.64930252460987,3.4245621940787476,167.89999999996508,47.64930252460987,1777159598000-632578958264631296-966383863687282688,,,,
1385588909638942720,1777172366000-632578958264631296-1385588909638942720,1777172366000,1777185707000,1,162.259,48.286,3.3603736072567614,632578958264631296,1777172366000,1385588909638942720,NL01AJ5690,13341000,1777185707000,127.47437877887343,162.259,3.650000000000091,48.285749537452055,3.3603910378184443,171.375,48.285749537452055,1777172366000-632578958264631296-1385588909638942720,,,,
1101156788989853696,1777162635000-632578958264631296-1101156788989853696,1777162635000,1777177047000,1,161.762,50.762,3.18667507190418,632578958264631296,1777162635000,1101156788989853696,RJ47GA3707,14412000,1777177047000,134.0114977634825,161.762,3.9499999999989086,50.7619309710161,3.1866794053276344,168.25,50.7619309710161,1777162635000-632578958264631296-1101156788989853696,,,,
1050036509840769024,1777196964000-632578958264631296-1050036509840769024,1777196964000,1777209725000,1,159.658,55.809,2.8607930620509237,632578958264631296,1777196964000,1050036509840769024,RJ47GA6390,12761000,1777209725000,147.33456816612753,159.658,3.5,55.80854854777557,2.8608162038710407,168.40000000002328,55.808548547775565,1777196964000-632578958264631296-1050036509840769024,,,,
1132636843020386304,1777166505000-632578958264631296-1132636843020386304,1777166505000,1777179352000,1,159.6,33.482,4.766740338092109,632578958264631296,1777166505000,1132636843020386304,RJ47GA4655,12847000,1777179352000,88.39364471147579,159.60000000000582,3.5,33.48244117858931,4.766677529536397,159.60000000000582,33.48244117858931,1777166505000-632578958264631296-1132636843020386304,,,,
870575606247456768,1777199309000-632578958264631296-870575606247456768,1777199309000,1777212304000,1,158.535,51.204,3.096144832434966,632578958264631296,1777199309000,870575606247456768,RJ47GA4668,12995000,1777212304000,135.17792230510608,158.535,3.600000000000364,51.20375844890382,3.0961594383389244,165.5,51.20375844890382,1777199309000-632578958264631296-870575606247456768,,,,3.6252451762558175
1536014570613637120,1777163669000-632578958264631296-1536014570613637120,1777163669000,1777177223000,1,158.084,68.042,2.3233297081214546,632578958264631296,1777163669000,1536014570613637120,NL01AK9202,13554000,1777177223000,179.62969939057825,158.084,3.700000000000003,68.04155279946146,2.323344978118301,163.08499999999992,68.04155279946146,1777163669000-632578958264631296-1536014570613637120,,,,
1050036019790872576,1777211073000-632578958264631296-1050036019790872576,1777211073000,1777225353000,1,157.878,54.249,2.910247193496654,632578958264631296,1777211073000,1050036019790872576,RJ47GA5530,14280000,1777225353000,143.21697027674648,157.878,3.9000000000005457,54.24885237755548,2.910255112886393,166.30000000001746,54.24885237755548,1777211073000-632578958264631296-1050036019790872576,,,,
1176582767303983104,1777161264000-632578958264631296-1176582767303983104,1777161264000,1777174196000,1,157.059,30.983,5.069199238291967,632578958264631296,1777161264000,1176582767303983104,RJ47GA6341,12932000,1777174196000,81.79401318433821,157.059,3.550000000000182,30.982580751643262,5.069267833399252,165.59999999997672,30.982580751643262,1777161264000-632578958264631296-1176582767303983104,,,,
