vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,driver_ids,vehicle_device_type,active_driver,adblue_consumed
1071457116943810560,1778044941000-632578958264631296-1071457116943810560,1778044941000,1778059499000,1,172.062,64.407,2.671479808095394,632578958264631296,1778044941000,1071457116943810560,RJ47GA5618,14558000,1778059499000,170.03458427802283,172.062,0.0,64.40703949925107,2.671478169742622,64.40703949925107,1778044941000-632578958264631296-1071457116943810560,183.70000000001164,,,,
1083726698509238272,1778039303000-632578958264631296-1083726698509238272,1778039303000,1778053723000,1,171.958,58.153,2.9569927604766737,632578958264631296,1778039303000,1083726698509238272,RJ47GA6387,14420000,1778053723000,153.52262222988165,171.958,3.949999999999818,58.15250842040971,2.957017756772262,58.15250842040971,1778039303000-632578958264631296-1083726698509238272,180.69999999998254,,,,
1073966174624022528,1778052476000-632578958264631296-1073966174624022528,1778052476000,1778064918000,1,171.557,34.98,4.904431103487707,632578958264631296,1778052476000,1073966174624022528,RJ47GA6471,12442000,1778064918000,92.34737505957132,171.557,0.0,34.98006631044368,4.904421806335449,0.001,1778052476000-632578958264631296-1073966174624022528,179.0,,,,
927179928254808064,1778071908000-632578958264631296-927179928254808064,1778071908000,1778086308000,1,170.906,60.379,2.8305536693221156,632578958264631296,1778071908000,927179928254808064,RJ47GA3343,14400000,1778086308000,159.39975534827602,170.906,0.0,60.37869520768031,2.8305679579882734,60.37869520768031,1778071908000-632578958264631296-927179928254808064,,,,,
794950170587430912,1778037130000-632578958264631296-794950170587430912,1778037130000,1778051751000,1,168.827,47.424,3.5599485492577596,632578958264631296,1778037130000,794950170587430912,RJ47GA2696,14621000,1778051751000,125.19992718048611,168.827,4.0,47.424214841093224,3.559932421985211,47.424214841093224,1778037130000-632578958264631296-794950170587430912,189.0,['900758004192772105'],,900758004192772105,
1505916014645215232,1778070685000-632578958264631296-1505916014645215232,1778070685000,1778085429000,1,168.799,53.134,3.1768547446079722,632578958264631296,1778070685000,1505916014645215232,RJ47GA8530,14744000,1778085429000,140.27376000000004,168.799,4.0499999999999545,53.134000000000015,3.1768547446079713,53.134000000000015,1778070685000-632578958264631296-1505916014645215232,177.94000000000233,,,,
1536022277991170048,1778041621000-632578958264631296-1536022277991170048,1778041621000,1778054908000,1,168.238,38.779,4.338379019572448,632578958264631296,1778041621000,1536022277991170048,NL01AK7897,13287000,1778054908000,102.37633011193721,168.238,3.6499999999999773,38.778912921188336,4.338388761487864,38.778912921188336,1778041621000-632578958264631296-1536022277991170048,172.84500000000025,,,,
784445514740400128,1778062703000-632578958264631296-784445514740400128,1778062703000,1778075261000,1,166.484,46.404,3.5877079562106715,632578958264631296,1778062703000,784445514740400128,RJ47GA3182,12558000,1778075261000,122.50696500801908,166.484,3.399999999999636,46.40415341212844,3.5876960952483805,46.40415341212844,1778062703000-632578958264631296-784445514740400128,187.95000000001164,,,,
1083726887294861312,1778039976000-632578958264631296-1083726887294861312,1778039976000,1778052015000,1,165.386,54.438,3.03806164811345,632578958264631296,1778039976000,1083726887294861312,RJ47GA6339,12039000,1778052015000,143.7154602916196,165.386,3.2999999999992724,54.43767435288621,3.0380798218510128,54.43767435288621,1778039976000-632578958264631296-1083726887294861312,175.70000000001164,,,,
1083727986517082112,1778070908000-632578958264631296-1083727986517082112,1778070908000,1778085165000,1,164.82,60.063,2.7441186753908395,632578958264631296,1778070908000,1083727986517082112,RJ47GA6315,14257000,1778085165000,158.56645550133516,164.82,3.9500000000007276,60.06305132626331,2.7441163304324236,60.06305132626331,1778070908000-632578958264631296-1083727986517082112,173.59999999997672,,,,
