tags,id,start_time,end_time,account_id,vehicle_id,driver_id,driver_type,trip_id,driver_session_id,distance,mileage,loss,idling_alert_fuel_consumed,ready,alert_breath_test_duration,alert_breath_test_count,alert_camera_tampered_duration,alert_camera_tampered_count,alert_distracted_driving_duration,alert_distracted_driving_count,alert_drowsiness_duration,alert_drowsiness_count,alert_emergency_recording_duration,alert_emergency_recording_count,alert_eyes_closed_duration,alert_eyes_closed_count,alert_fcw_duration,alert_fcw_count,alert_lane_departure_warning_duration,alert_lane_departure_warning_count,alert_mobile_phone_duration,alert_mobile_phone_count,alert_pcw_duration,alert_pcw_count,alert_sd_card_tampered_duration,alert_sd_card_tampered_count,alert_seatbelt_violation_duration,alert_seatbelt_violation_count,alert_tailgating_duration,alert_tailgating_count,alert_smoking_duration,alert_smoking_count,alert_idling_duration,alert_idling_count,alert_over_speed_duration,alert_over_speed_count,alert_speeding_duration,alert_speeding_count,alert_freerun_duration,alert_freerun_count,alert_over_acc_duration,alert_over_acc_count,alert_hard_brake_duration,alert_hard_brake_count,alert_unscheduled_driving_duration,alert_unscheduled_driving_count,alert_slow_running_duration,alert_slow_running_count,alert_continuous_driving_duration,alert_continuous_driving_count,alert_fuel_chori_amount,alert_fuel_chori_count,alert_def_chori_amount,alert_def_chori_count,accident_count,unresolved_alerts_count,day_driving_duration,night_driving_duration,driver_idle_duration_before_trip,vehicle_idle_duration_before_trip,total_alerts_count,gear_utilization,peak_torque_range,fuel_smart_mode,terrain,uphill_slope,engine_load,engine_hours,fuel_consumed,adblue_consumed,avg_speed,last_gear_utilization,last_two_gear_utilization,below_ptr_duration,between_ptr_duration,above_ptr_duration,alert_stoppage_duration,alert_stoppage_count,last_gear_utilization_duration,last_two_gear_utilization_duration,total_gear_utilization_duration,first_gear_pickup_count,second_gear_pickup_count,third_and_higher_gear_pickup_count,accounts_with_access,unresolved_idling_count,unresolved_over_speed_count,unresolved_speeding_count,unresolved_freerun_count,unresolved_over_acc_count,unresolved_hard_brake_count,unresolved_unscheduled_driving_count,unresolved_slow_running_count,unresolved_continuous_driving_count,unresolved_fuel_chori_count,unresolved_def_chori_count,unresolved_breath_test_count,unresolved_camera_tampered_count,unresolved_distracted_driving_count,unresolved_drowsiness_count,unresolved_emergency_recording_count,unresolved_eyes_closed_count,unresolved_fcw_count,unresolved_lane_departure_warning_count,unresolved_mobile_phone_count,unresolved_pcw_count,unresolved_sd_card_tampered_count,unresolved_seatbelt_violation_count,unresolved_tailgating_count,unresolved_smoking_count
[],1557834733679804416-1790119013000,1790119013000,1790132484000,642689989225816064,1557834733679804416,911222618336526362,verified_drivers,1790119013000-642689989225816064-1557834733679804416,,186.909,3.902,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,1.984,1,0,0,16.322,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,5484,7987,57784.0,7422,4,"{'fifth_gear_duration': 1.9907373009386533, 'first_gear_duration': 0.15900141169477672, 'ninth_gear_duration': 6.362533125294104, 'sixth_gear_duration': 2.6861827277905737, 'tenth_gear_duration': 8.49245857790326, 'third_gear_duration': 0.6127250662505882, 'eighth_gear_duration': 4.087475543007157, 'fourth_gear_duration': 1.007008940733586, 'second_gear_duration': 0.5067241251207371, 'seventh_gear_duration': 3.775912029125492, 'twelfth_gear_duration': 56.61639051935508, 'eleventh_gear_duration': 13.702850632785992}",,,"{'up': 7.944001669571501, 'down': 16.183562617391747, 'plane': 75.87243571303675}",0.47777036,36.15,3.6708333,47.896,,49.9497,56.61639,70.319244,4746350.0,2604900.0,93950.0,,,5715.0,7098.2,10094.25,,,,"['642689989225816064', '475691480292397056', '907977166128414720', '1536063812182999040', '1128685188746838016', '1520501245561798656', '1520500634065829888']",,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,
[],1326601875818020864-1790118867000,1790118867000,1790119837000,642689989225816064,1326601875818020864,911222618340720649,verified_drivers,1790118867000-642689989225816064-1326601875818020864,,2.139,1.856,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,9056.0,2110,0,"{'fifth_gear_duration': 9.766221717466589, 'first_gear_duration': 8.531081127915563, 'sixth_gear_duration': 6.4782897315108805, 'third_gear_duration': 19.723592971455535, 'fourth_gear_duration': 21.296511054414967, 'second_gear_duration': 34.204303397236465}",,,,,20.55,0.21388888,1.153,,7.9385567,6.4782896,16.24451,205372.0,92733.0,10600.0,,,24.3,60.933,375.099,0.0,2.0,0.0,"['475691480292397056', '1128685188746838016', '642689989225816064', '907977166128414720', '1520500634065829888', '1520501245561798656', '1536063812182999040']",,,,,,,,,,,,,,,,,,,,,,,,,
[],1533070516129103872-1790118457000,1790118457000,1790119588000,642689989225816064,1533070516129103872,1528473253893373952,verified_drivers,1790106283000-642689989225816064-1533070516129103872,,9.29,2.538,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,2743.0,1,0,,,,,,34.05,0.27166668,3.66,,29.570292,,,,,,,,,,,,,,"['475691480292397056', '1128685188746838016', '1536063812182999040', '642689989225816064', '1520500634065829888', '1520501245561798656', '907977166128414720']",,,,,,,,,,,,,,,,,,,,,,,,,
[],1533593777682251776-1790118317000,1790118317000,1790118517000,642689989225816064,1533593777682251776,,,1790118317000-642689989225816064-1533593777682251776,,0.0,,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,,11946,0,,,,,,,0.044197224,0.142,,0.0,,,,,,,,,,,,,,"['642689989225816064', '475691480292397056', '907977166128414720', '1128685188746838016', '1520501245561798656', '1520500634065829888', '1536063812182999040']",,,,,,,,,,,,,,,,,,,,,,,,,
[],1425525382987120640-1790117550000,1790117550000,1790124360000,642689989225816064,1425525382987120640,1583200994055946240,verified_drivers,1790107188000-642689989225816064-1425525382987120640,,112.5,4.366,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,6.93,1,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,4,0,6810,88641.0,1,4,,,,,,43.21,1.7,25.766,,59.471367,,,,,,,,,,,,,,"['642689989225816064', '475691480292397056', '907977166128414720', '1128685188746838016', '1520500634065829888', '1520501245561798656', '1536063812182999040']",,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,
[],1326601740895649792-1790116857000,1790116857000,1790117497000,642689989225816064,1326601740895649792,,,1790116857000-642689989225816064-1326601740895649792,,0.066,0.121,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,,345,0,"{'fifth_gear_duration': 0, 'first_gear_duration': 0, 'sixth_gear_duration': 0, 'third_gear_duration': 0, 'fourth_gear_duration': 100, 'second_gear_duration': 0}",,,,,,0.17209834,0.545,,0.37125,0.0,0.0,,,,,,0.0,0.0,15.75,0.0,1.0,0.0,"['475691480292397056', '1128685188746838016', '642689989225816064', '907977166128414720', '1520500634065829888', '1520501245561798656', '1536063812182999040']",,,,,,,,,,,,,,,,,,,,,,,,,
[],566304215165603840-1790116406000,1790116406000,1790116670000,642689989225816064,566304215165603840,,,1790116406000-642689989225816064-566304215165603840,,0.02,0.1,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,,13140,0,,,,,,,0.044604167,0.01,,0.27272728,,,,,,,,,,,,,,"['642689989225816064', '1520501245561798656', '907977166128414720', '1520500634065829888', '475691480292397056', '1128685188746838016', '1536063812182999040']",,,,,,,,,,,,,,,,,,,,,,,,,
[],1514683047356661760-1790116264000,1790116264000,1790116301000,642689989225816064,1514683047356661760,,,1790116264000-642689989225816064-1514683047356661760,,,,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,,9,0,,,,,,,,,,,,,,,,,,,,,,,,"['642689989225816064', '475691480292397056', '907977166128414720', '1128685188746838016', '1520500634065829888', '1520501245561798656', '1536063812182999040']",,,,,,,,,,,,,,,,,,,,,,,,,
[],1429476090367180800-1790116180000,1790116180000,1790125519000,642689989225816064,1429476090367180800,1520908715845222400,verified_drivers,1790099989000-642689989225816064-1429476090367180800,,182.0,3.977,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,3248.394,4,2.205,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,4197,43,0,0,0.0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,49,0,9339,92351.0,1,49,,,,,,51.55,2.5,45.759,,70.1574,,,,,,,,,,,,,,"['642689989225816064', '475691480292397056', '907977166128414720', '1128685188746838016', '1520500634065829888', '1520501245561798656', '1536063812182999040']",,43.0,,,,1.0,,,,,,,,,,,4.0,1.0,,,,,,,
[],739467157439512576-1790116056000,1790116056000,1790120694000,642689989225816064,739467157439512576,1599960984670175232,unverified_drivers,1790103293000-642689989225816064-739467157439512576,,0.0,0.0,,0.0,,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,64.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4638,,1,1,,,,,,58.49,1.25,9.61,,0.0,,,,,,,,,,,,,,"['642689989225816064', '475691480292397056', '907977166128414720', '1128685188746838016', '1520500634065829888', '1520501245561798656', '1536063812182999040']",,,,1.0,,,,,,,,,,,,,,,,,,,,,
