vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,id,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,driver_ids,vehicle_device_type,active_driver,adblue_consumed
964172050669240320,1777453373000-632578958264631296-964172050669240320,1777453373000,1777467514000,1,165.252,31.595,5.230321253362875,632578958264631296,1777453373000,964172050669240320,RJ47GA4653,14141000,1777467514000,1777453373000-632578958264631296-964172050669240320,83.4115059554393,165.252,3.899999999999636,31.595267407363366,5.230276986403589,170.70000000001164,31.595267407363366,,,,
1060579746913452032,1777454079000-632578958264631296-1060579746913452032,1777454079000,1777468370000,1,163.371,61.443,2.6589033738586987,632578958264631296,1777454079000,1060579746913452032,RJ47GA3879,14291000,1777468370000,1777454079000-632578958264631296-1060579746913452032,162.21079660914575,163.371,3.9500000000007276,61.443483564070355,2.6588824481223376,164.625,61.443483564070355,,,,
1471165126924042240,1777468379000-632578958264631296-1471165126924042240,1777468379000,1777482504000,1,163.323,49.932,3.270908435472242,632578958264631296,1777468379000,1471165126924042240,NL01AK2621,14125000,1777482504000,1777468379000-632578958264631296-1471165126924042240,131.8197432342912,163.323,3.8999999999998636,49.93172092208,3.270926717203892,172.0,49.93172092208,,,,
1083016936570224640,1777429013000-632578958264631296-1083016936570224640,1777429013000,1777442310000,1,160.842,56.678,2.837820671159886,632578958264631296,1777429013000,1083016936570224640,RJ47GA5904,13297000,1777442310000,1777429013000-632578958264631296-1083016936570224640,149.6296496590227,160.842,3.699999999999818,56.67789759811466,2.8378257983470134,171.69999999998254,56.67789759811466,,,,
1064532839803912192,1777434404000-632578958264631296-1064532839803912192,1777434404000,1777447509000,1,160.57,49.959,3.214035509117476,632578958264631296,1777434404000,1064532839803912192,RJ47GA3903,13105000,1777447509000,1777434404000-632578958264631296-1064532839803912192,131.89187268740335,160.57,3.649999999999636,49.95904268462248,3.2140327630702146,164.25,49.95904268462248,,,,
1482772108667781120,1777419464000-632578958264631296-1482772108667781120,1777419464000,1777433005000,1,160.329,53.0,3.025075471698113,632578958264631296,1777419464000,1482772108667781120,NL01AK3101,13541000,1777433005000,1777419464000-632578958264631296-1482772108667781120,139.92000000000002,160.329,3.7000000000000455,53.0,3.025075471698113,169.125,53.0,,,,
1536014505966829568,1777447186000-632578958264631296-1536014505966829568,1777447186000,1777460621000,1,159.723,60.841,2.6252527078779115,632578958264631296,1777447186000,1536014505966829568,NL01AK8408,13435000,1777460621000,1777447186000-632578958264631296-1536014505966829568,160.6205506754954,159.723,3.6999999999999886,60.84111768011189,2.6252476300613923,162.60000000000036,60.84111768011189,,,,
1183367596062277632,1777472354000-632578958264631296-1183367596062277632,1777472354000,1777484564000,1,156.06,50.482,3.0913989144645617,632578958264631296,1777472354000,1183367596062277632,RJ47GA6402,12210000,1777484564000,1777472354000-632578958264631296-1183367596062277632,133.27316933823695,156.06,3.350000000000364,50.482261112968544,3.0913829246033764,165.60000000000582,50.482261112968544,,,,
1461772563532218368,1777423121000-632578958264631296-1461772563532218368,1777423121000,1777436796000,1,155.955,52.988,2.943213557786669,632578958264631296,1777423121000,1461772563532218368,NL01AK1959,13675000,1777436796000,1777423121000-632578958264631296-1461772563532218368,139.88703823284652,155.955,3.75,52.987514482138835,2.943240526078454,160.125,52.987514482138835,,,,
1536014625517076480,1777429945000-632578958264631296-1536014625517076480,1777429945000,1777441358000,1,155.788,32.705,4.763430668093564,632578958264631296,1777429945000,1536014625517076480,NL01AK9417,11413000,1777441358000,1777429945000-632578958264631296-1536014625517076480,86.34041210680095,155.788,3.1500000000000057,32.70470155560642,4.763474136436325,160.05999999999995,32.70470155560642,,,,
1083727986517082112,1777453483000-632578958264631296-1083727986517082112,1777453483000,1777467647000,1,155.742,61.899,2.5160664954199583,632578958264631296,1777453483000,1083727986517082112,RJ47GA6315,14164000,1777467647000,1777453483000-632578958264631296-1083727986517082112,163.41391640788422,155.742,3.899999999999636,61.899210760562205,2.5160579284676077,163.80000000001746,61.899210760562205,,,,
916722872880201728,1777427816000-632578958264631296-916722872880201728,1777427816000,1777440883000,1,155.672,44.215,3.5207961099174483,632578958264631296,1777427816000,916722872880201728,RJ47GA2142,13067000,1777440883000,1777427816000-632578958264631296-916722872880201728,116.72804586272106,155.672,3.600000000000364,44.21516888739434,3.520782661634971,169.375,44.21516888739434,,,,
1063501597117513728,1777466550000-632578958264631296-1063501597117513728,1777466550000,1777481057000,1,154.121,46.609,3.3066789675813686,632578958264631296,1777466550000,1063501597117513728,RJ47GA3366,14507000,1777481057000,1777466550000-632578958264631296-1063501597117513728,123.0470576944826,154.121,3.9499999999989086,46.6087339751828,3.3066978408395085,157.0,46.6087339751828,,,,
1134877765846171648,1777442477000-632578958264631296-1134877765846171648,1777442477000,1777455194000,1,153.135,50.332,3.0424978145116426,632578958264631296,1777442477000,1134877765846171648,RJ47GA6215,12717000,1777455194000,1777442477000-632578958264631296-1134877765846171648,132.87640088255196,153.135,3.5,50.331970031269684,3.042499626079845,164.0,50.331970031269684,,,,
1396880990281924608,1777442419000-632578958264631296-1396880990281924608,1777442419000,1777455227000,1,153.037,49.691,3.079772997122215,632578958264631296,1777442419000,1396880990281924608,NL01AJ6924,12808000,1777455227000,1777442419000-632578958264631296-1396880990281924608,131.18407266686168,153.037,3.5256944444444445,49.69093661623548,3.079776925557051,157.375,49.67135468574172,,,,
938815406225752064,1777422979000-632578958264631296-938815406225752064,1777422979000,1777437363000,1,151.991,56.111,2.708755858922493,632578958264631296,1777422979000,938815406225752064,RJ47GA3910,14384000,1777437363000,1777422979000-632578958264631296-938815406225752064,148.13356239024563,151.991,3.9500000000007276,56.11119787509303,2.708746306545465,154.5,56.11119787509303,,,,
961238953837461504,1777416440000-632578958264631296-961238953837461504,1777416440000,1777432272000,1,151.724,70.406,2.1549867908985028,632578958264631296,1777416440000,961238953837461504,RJ47GA3862,15832000,1777432272000,1777416440000-632578958264631296-961238953837461504,185.8710168476259,151.724,4.350000000000364,70.40568819985829,2.1549963345192524,156.625,70.40568819985829,,,,
1083726345994764288,1777464081000-632578958264631296-1083726345994764288,1777464081000,1777478261000,1,151.635,54.135,2.801052923247437,632578958264631296,1777464081000,1083726345994764288,RJ47GA6212,14180000,1777478261000,1777464081000-632578958264631296-1083726345994764288,142.9152152151895,151.635,3.9000000000005457,54.134551217874815,2.8010761443226166,159.39999999999418,54.134551217874815,,,,
