account_id,start_time,vehicle_id,vehicle_plate,duration,end_time,id,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,driver_ids,vehicle_device_type,active_driver,adblue_consumed
632578958264631296,1777468315000,787687496786903040,RJ47GA3109,246000,1777468561000,1777468315000-632578958264631296-787687496786903040,,,,,,,,['900758004205355019'],,900758004205355019,
632578958264631296,1777453213000,787687496786903040,RJ47GA3109,14010000,1777467223000,1777453213000-632578958264631296-787687496786903040,,,,,,,,['900758004205355019'],,900758004205355019,
632578958264631296,1777471505000,788429534713085952,RJ47GA3189,624000,1777472129000,1777471505000-632578958264631296-788429534713085952,,,,,,,,['900758004222132232'],,900758004222132232,
632578958264631296,1777469731000,788429534713085952,RJ47GA3189,1085000,1777470816000,1777469731000-632578958264631296-788429534713085952,,,,,,,,['900758004222132232'],,900758004222132232,
632578958264631296,1777447917000,788429534713085952,RJ47GA3189,134000,1777448051000,1777447917000-632578958264631296-788429534713085952,,,,,,,,['900758004222132232'],,900758004222132232,
632578958264631296,1777447453000,788429534713085952,RJ47GA3189,197000,1777447650000,1777447453000-632578958264631296-788429534713085952,,,,,,,,['900758004222132232'],,900758004222132232,
632578958264631296,1777476623000,788728067676700672,RJ47GA3111,145000,1777476768000,1777476623000-632578958264631296-788728067676700672,,,,,,,,,,,
632578958264631296,1777476178000,788728067676700672,RJ47GA3111,173000,1777476351000,1777476178000-632578958264631296-788728067676700672,,,,,,,,,,,
632578958264631296,1777468423000,788728067676700672,RJ47GA3111,1830000,1777470253000,1777468423000-632578958264631296-788728067676700672,,,,,,,,,,,
632578958264631296,1777478825000,790193276584984576,RJ47GA2477,2482000,1777481307000,1777478825000-632578958264631296-790193276584984576,,,,,,,,['841055114193010688'],,841055114193010688,
632578958264631296,1777471590000,790193276584984576,RJ47GA2477,1028000,1777472618000,1777471590000-632578958264631296-790193276584984576,,,,,,,,['841055114193010688'],,841055114193010688,
632578958264631296,1777464737000,790193276584984576,RJ47GA2477,520000,1777465257000,1777464737000-632578958264631296-790193276584984576,,,,,,,,['841055114193010688'],,841055114193010688,
632578958264631296,1777453654000,792451146961649664,RJ47GA2227,246000,1777453900000,1777453654000-632578958264631296-792451146961649664,,,,,,,,['900758004180189185'],,900758004180189185,
632578958264631296,1777454163000,792451319469178880,RJ47GA3115,10994000,1777465157000,1777454163000-632578958264631296-792451319469178880,,,,,,,,['900758004209549321'],,900758004209549321,
632578958264631296,1777446436000,792451319469178880,RJ47GA3115,1345000,1777447781000,1777446436000-632578958264631296-792451319469178880,,,,,,,,['900758004209549321'],,900758004209549321,
632578958264631296,1777471693000,794950170587430912,RJ47GA2696,7286000,1777478979000,1777471693000-632578958264631296-794950170587430912,,,,,,,,['900758004192772105'],,900758004192772105,
632578958264631296,1777468726000,794950170587430912,RJ47GA2696,164000,1777468890000,1777468726000-632578958264631296-794950170587430912,,,,,,,,['900758004192772105'],,900758004192772105,
632578958264631296,1777471715000,796706773456125952,RJ47GA3118,7058000,1777478773000,1777471715000-632578958264631296-796706773456125952,,,,,,,,['900758004213743618'],,900758004213743618,
632578958264631296,1777440610000,796706773456125952,RJ47GA3118,5672000,1777446282000,1777440610000-632578958264631296-796706773456125952,,,,,,,,['900758004213743618'],,900758004213743618,
632578958264631296,1777456946000,798236529196531712,RJ47GA3075,506000,1777457452000,1777456946000-632578958264631296-798236529196531712,,,,,,,,['900758004205355009'],,900758004205355009,
632578958264631296,1777463402000,798605218047590400,RJ47GA3110,1927000,1777465329000,1777463402000-632578958264631296-798605218047590400,,,,,,,,['900758004205355021'],,900758004205355021,
632578958264631296,1777459790000,798605218047590400,RJ47GA3110,235000,1777460025000,1777459790000-632578958264631296-798605218047590400,,,,,,,,['900758004205355021'],,900758004205355021,
632578958264631296,1777457007000,798605218047590400,RJ47GA3110,230000,1777457237000,1777457007000-632578958264631296-798605218047590400,,,,,,,,['900758004205355021'],,900758004205355021,
632578958264631296,1777445289000,798605218047590400,RJ47GA3110,8397000,1777453686000,1777445289000-632578958264631296-798605218047590400,,,,,,,,['900758004205355021'],,900758004205355021,
632578958264631296,1777484431000,800026217909583872,RJ47GA3185,186000,1777484617000,1777484431000-632578958264631296-800026217909583872,,,,,,,,['900758004222132224'],,900758004222132224,
632578958264631296,1777484672000,803716121332023296,RJ47GA2708,5542000,1777490214000,1777484672000-632578958264631296-803716121332023296,,,,,,,,['900758004201160706'],,900758004201160706,
632578958264631296,1777482979000,803716121332023296,RJ47GA2708,1103000,1777484082000,1777482979000-632578958264631296-803716121332023296,,,,,,,,['900758004201160706'],,900758004201160706,
632578958264631296,1777471841000,803716121332023296,RJ47GA2708,438000,1777472279000,1777471841000-632578958264631296-803716121332023296,,,,,,,,['900758004201160706'],,900758004201160706,
632578958264631296,1777467141000,803716121332023296,RJ47GA2708,179000,1777467320000,1777467141000-632578958264631296-803716121332023296,,,,,,,,['900758004201160706'],,900758004201160706,
632578958264631296,1777463408000,803716121332023296,RJ47GA2708,249000,1777463657000,1777463408000-632578958264631296-803716121332023296,,,,,,,,['900758004201160706'],,900758004201160706,
632578958264631296,1777452729000,803716121332023296,RJ47GA2708,3821000,1777456550000,1777452729000-632578958264631296-803716121332023296,,,,,,,,['900758004201160706'],,900758004201160706,
632578958264631296,1777450736000,803716121332023296,RJ47GA2708,1789000,1777452525000,1777450736000-632578958264631296-803716121332023296,,,,,,,,['900758004201160706'],,900758004201160706,
632578958264631296,1777472056000,809467481230934016,RJ47GA3181,7910000,1777479966000,1777472056000-632578958264631296-809467481230934016,,,,,,,,['900758004217937927'],,900758004217937927,
