vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,mileage,distance,load_estimation,driver_ids,vehicle_device_type,active_driver,adblue_consumed
866245373776101376,1786332486000-632578958264631296-866245373776101376,1786332486000,1786346835000,1,195.37,60.589,3.2245127003251417,632578958264631296,1786332486000,866245373776101376,RJ47GA4404,14349000,1786346835000,159.95582565073698,3.899999999999636,60.58932789800643,203.40000000002328,60.58932789800643,1786332486000-632578958264631296-866245373776101376,3.2244952498710298,195.37,,['900758004146634763'],,900758004146634763,0.0
873109579045535744,1786321787000-632578958264631296-873109579045535744,1786321787000,1786335382000,1,189.761,50.885,3.7292129311191906,632578958264631296,1786321787000,873109579045535744,RJ14GN1568,13595000,1786335382000,134.33753636758973,3.6999999999989086,50.88543044226884,198.79999999998836,50.88543044226884,1786321787000-632578958264631296-873109579045535744,3.7291813855301856,189.761,"{'confidence': 5.3, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 30722.41297708572, 'std': 14249.489842184581, 'timestamp': 1786468688131}",,,,3.2227449159040105
873897783357079552,1786321815000-632578958264631296-873897783357079552,1786321815000,1786335366000,1,189.716,54.178,3.5017165639189343,632578958264631296,1786321815000,873897783357079552,RJ14GN1588,13551000,1786335366000,143.02994955169223,3.7000000000007276,54.17801119382281,197.90000000002328,54.17801119382281,1786321815000-632578958264631296-873897783357079552,3.501715840422558,189.716,"{'confidence': 47.6, 'count': 8, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 48022.86846954689, 'std': 14222.485509705253, 'timestamp': 1786501553715}",,,,2.8112187130050734
1504892206538817536,1786329048000-632578958264631296-1504892206538817536,1786329048000,1786347670000,1,187.312,89.717,2.0878094452556373,632578958264631296,1786329048000,1504892206538817536,RJ47GA8528,18622000,1786347670000,236.85354443668757,5.149999999999864,89.71725168056346,197.93999999999505,89.71725168056346,1786329048000-632578958264631296-1504892206538817536,2.087803588399261,187.312,"{'confidence': 63.9, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 71457.37106689697, 'std': 19326.77173305412, 'timestamp': 1786409486448}",,,,
1094226778622263296,1786389622000-632578958264631296-1094226778622263296,1786389622000,1786404892000,1,186.978,66.313,2.819628127214875,632578958264631296,1786389622000,1094226778622263296,RJ47GA6284,15270000,1786404892000,175.06631999998586,4.200000000000728,66.31299999999464,198.60000000000582,66.31299999999464,1786389622000-632578958264631296-1094226778622263296,2.8196281272151027,186.978,,,,,
1094226778622263296,1786349421000-632578958264631296-1094226778622263296,1786349421000,1786364698000,1,186.886,60.122,3.1084461594757324,632578958264631296,1786349421000,1094226778622263296,RJ47GA6284,15277000,1786364698000,158.72191443772095,4.25,60.12193728701551,198.39999999999418,60.12193728701551,1786349421000-632578958264631296-1094226778622263296,3.108449401885152,186.886,,,,,
1471164933021368320,1786361616000-632578958264631296-1471164933021368320,1786361616000,1786376227000,1,186.437,46.103,4.043923388933475,632578958264631296,1786361616000,1471164933021368320,NL01AK2622,14611000,1786376227000,121.7106582933946,4.0,46.102522080831285,196.75,46.102522080831285,1786361616000-632578958264631296-1471164933021368320,4.043965310034906,186.437,,,,,
1079787761596104704,1786405671000-632578958264631296-1079787761596104704,1786405671000,1786419808000,1,185.973,46.943,3.9616769273374097,632578958264631296,1786405671000,1079787761596104704,RJ47GA5703,14137000,1786419808000,123.9289978114419,3.850000000000364,46.94280220130375,192.20000000001164,46.94280220130375,1786405671000-632578958264631296-1079787761596104704,3.9616936203019204,185.973,"{'confidence': 71.2, 'count': 17, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 39926.29150841749, 'std': 9496.517164346202, 'timestamp': 1786474891547}",,,,
1083728245179809792,1786333291000-632578958264631296-1083728245179809792,1786333291000,1786350022000,1,185.529,73.387,2.5280908062735907,632578958264631296,1786333291000,1083728245179809792,RJ47GA6241,16731000,1786350022000,193.74069038257926,4.599999999999454,73.38662514491638,197.20000000001164,73.38662514491638,1786333291000-632578958264631296-1083728245179809792,2.528103719630605,185.529,,,,,
792451146961649664,1786365148000-632578958264631296-792451146961649664,1786365148000,1786380300000,1,182.035,55.837,3.2601142611529985,632578958264631296,1786365148000,792451146961649664,RJ47GA2227,15152000,1786380300000,147.40858577694692,4.100000000000364,55.836585521570804,,55.836585521570804,1786365148000-632578958264631296-792451146961649664,3.2601384611828776,182.035,"{'confidence': 71.8, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 23581.678511497015, 'std': 2655.857906753664, 'timestamp': 1786396606580}",['900758004180189185'],,900758004180189185,
866245373776101376,1786348783000-632578958264631296-866245373776101376,1786348783000,1786362572000,1,181.04,56.892,3.182169725093159,632578958264631296,1786348783000,866245373776101376,RJ47GA4404,13789000,1786362572000,150.1958404900266,3.7999999999992724,56.892363821979764,188.29999999998836,56.892363821979764,1786348783000-632578958264631296-866245373776101376,3.1821493753799186,181.04,,['900758004146634763'],,900758004146634763,0.0
1536014737035231232,1786330013000-632578958264631296-1536014737035231232,1786330013000,1786344459000,1,180.774,52.37,3.451861752911973,632578958264631296,1786330013000,1536014737035231232,RJ47GA8944,14446000,1786344459000,138.25785055396653,3.549999999999983,52.370397937108535,,52.370397937108535,1786330013000-632578958264631296-1536014737035231232,3.4518355238982714,180.774,"{'confidence': 80.3, 'count': 20, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 61270.4736952778, 'std': 10812.226187188307, 'timestamp': 1786353651984}",,,,
1067774753596506112,1786357282000-632578958264631296-1067774753596506112,1786357282000,1786373261000,1,177.285,60.848,2.913571522482251,632578958264631296,1786357282000,1067774753596506112,RJ47GA6417,15979000,1786373261000,160.63979963275906,4.399999999999636,60.84840895180267,183.39999999999418,60.84840895180266,1786357282000-632578958264631296-1067774753596506112,2.9135519408638184,177.285,"{'confidence': 65, 'count': 8, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 29602.175332095834, 'std': 5861.847242420292, 'timestamp': 1786493587590}",,,,
1067764843953520640,1786321500000-632578958264631296-1067764843953520640,1786321500000,1786335751000,1,174.603,61.063,2.85939112064589,632578958264631296,1786321500000,1067764843953520640,RJ47GA6292,14251000,1786335751000,161.20631999998588,2.199999999999818,61.062999999994645,185.0,61.062999999994645,1786321500000-632578958264631296-1067764843953520640,2.859391120646141,174.603,"{'confidence': 0, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 52472.76496792091, 'std': 25587.596380937208, 'timestamp': 1786347975893}",,,,
