vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,load_estimation,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,driver_ids,engine_hours
1262052313451724800,1788247358000-1205841794575630336-1262052313451724800,1788247358000,1788265712000,1,143.449,26.335,5.447085627491931,1205841794575630336,1788247358000,1262052313451724800,OD26G5271,18354000,1788265712000,"{'confidence': 56, 'count': 17, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5873.232148968937, 'std': 2132.4430765074567, 'timestamp': 1788269089291}",69.52359481938174,143.449,26.334695007341566,5.4471487123739015,149.60000000000582,26.334695007341562,1788247358000-1205841794575630336-1262052313451724800,,0.0
1207324802503671808,1788253004000-1205841794575630336-1207324802503671808,1788253004000,1788267866000,1,143.0,27.873,5.130412944426506,1205841794575630336,1788253004000,1207324802503671808,OD30F1965,14862000,1788267866000,"{'confidence': 41.4, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 20295.770329221687, 'std': 4119.225308312723, 'timestamp': 1788270121255}",73.58428906367156,143.0,27.872836766542257,5.130442989988484,143.0,27.872836766542257,1788253004000-1205841794575630336-1207324802503671808,,0.0
1262054822580846592,1788249916000-1205841794575630336-1262054822580846592,1788249916000,1788268965000,1,142.738,21.254,6.71581819892726,1205841794575630336,1788249916000,1262054822580846592,OD17AB7650,19049000,1788268965000,"{'confidence': 71, 'count': 8, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 8515.031359681005, 'std': 1394.9136759972039, 'timestamp': 1788270727769}",56.11089225218011,142.738,21.254125853098525,6.7157784322233605,148.0,21.232334908509845,1788249916000-1205841794575630336-1262054822580846592,,0.0
1262449046203662336,1788245679000-1205841794575630336-1262449046203662336,1788245679000,1788266061000,2,142.5,26.147,5.449956017898804,1205841794575630336,1788245679000,1262449046203662336,OD11AE3488,20382000,1788266061000,"{'confidence': 66.8, 'count': 11, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 9124.858376360979, 'std': 2012.4838439535656, 'timestamp': 1788269085835}",69.05141154416906,133.376,26.15583770612464,5.09928229019286,144.375,26.15583770612464,1788245679000-1205841794575630336-1262449046203662336,,5.599999999999454
1207337324279496704,1788251340000-1205841794575630336-1207337324279496704,1788251340000,1788269635000,1,136.701,29.279,4.668909457290208,1205841794575630336,1788251340000,1207337324279496704,OD30F1907,18295000,1788269635000,"{'confidence': 75.8, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 7776.138185447414, 'std': 1406.3220073611603, 'timestamp': 1788271433805}",77.29665481139997,136.701,29.279035913409082,4.668903730446749,142.0,29.279035913409082,1788251340000-1205841794575630336-1207337324279496704,,0.0
1262213270287155200,1788251605000-1205841794575630336-1262213270287155200,1788251605000,1788272535000,1,136.157,25.862,5.264751372670328,1205841794575630336,1788251605000,1262213270287155200,OD34T6536,20930000,1788272535000,"{'confidence': 49.4, 'count': 11, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 6200.20428887319, 'std': 2080.330336526452, 'timestamp': 1788272542611}",68.27495900362955,136.157,25.86172689531422,5.2648069694321045,145.625,25.86172689531422,1788251605000-1205841794575630336-1262213270287155200,,5.75
1207353920964263936,1788228650000-1205841794575630336-1207353920964263936,1788228650000,1788246004000,1,135.629,33.863,4.0052269438620325,1205841794575630336,1788228650000,1207353920964263936,OD10Y3942,17354000,1788246004000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788246012208}",89.39924167973751,135.629,33.86334912111269,4.005185651156983,140.02500000000873,33.86334912111269,1788228650000-1205841794575630336-1207353920964263936,,0.0
1262075530765664256,1788252286000-1205841794575630336-1262075530765664256,1788252286000,1788270571000,1,129.675,27.646,4.690551978586414,1205841794575630336,1788252286000,1262075530765664256,OD15Y8031,18285000,1788270571000,"{'confidence': 53, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5359.837066725078, 'std': 1593.2252484371722, 'timestamp': 1788271304441}",72.98634107748352,129.675,27.646341317228604,4.690494069795389,135.29999999998836,27.646341317228604,1788252286000-1205841794575630336-1262075530765664256,,0.0
1262052610576220160,1788235797000-1205841794575630336-1262052610576220160,1788235797000,1788256368000,1,128.485,25.977,4.946106170843439,1205841794575630336,1788235797000,1262052610576220160,OD26G3613,20571000,1788256368000,"{'confidence': 39.7, 'count': 11, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 4926.073151931596, 'std': 1969.0848614245558, 'timestamp': 1788256403052}",68.57928190376485,128.485,25.977000721123048,4.946106033539245,135.29999999998836,25.977000721123048,1788235797000-1205841794575630336-1262052610576220160,,0.0
1262023333789040640,1788222703000-1205841794575630336-1262023333789040640,1788222703000,1788250965000,1,125.521,31.726,3.956407993443863,1205841794575630336,1788222703000,1262023333789040640,OD17AC0024,28262000,1788250965000,"{'confidence': 69, 'count': 8, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 12214.701507686117, 'std': 2141.139377953562, 'timestamp': 1788250971380}",83.7572828909763,125.521,31.7262435193092,3.9563776254697633,131.39999999999418,31.725790762849975,1788222703000-1205841794575630336-1262023333789040640,,0.0
1305231238159663104,1788232394000-1205841794575630336-1305231238159663104,1788232394000,1788248475000,1,125.26,25.184,4.973792884371029,1205841794575630336,1788232394000,1305231238159663104,OD34T6505,16081000,1788248475000,"{'confidence': 62.2, 'count': 12, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 7701.409101700257, 'std': 2018.4184173594633, 'timestamp': 1788248593862}",66.48568335439715,125.26,25.18397096757468,4.973798618227325,134.5,25.18397096757468,1788232394000-1205841794575630336-1305231238159663104,,4.399999999999636
1207296357593776128,1788245804000-1205841794575630336-1207296357593776128,1788245804000,1788261999000,1,123.194,22.722,5.421793856174633,1205841794575630336,1788245804000,1207296357593776128,OD20C5802,16195000,1788261999000,"{'confidence': 43.3, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 9837.417946254254, 'std': 2229.540768135659, 'timestamp': 1788267121199}",59.986344428118464,123.194,22.722100162166083,5.421769956156025,127.0,22.722100162166083,1788245804000-1205841794575630336-1207296357593776128,,0.0
