vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,engine_hours
1262220397747634176,1783494268000-1205841794575630336-1262220397747634176,1783494268000,1783515088000,1,143.367,38.439,3.7297276203855456,1205841794575630336,1783494268000,1262220397747634176,OD21R1629,20820000,1783515088000,101.4783587586016,143.367,38.43877225704606,3.7297497183646375,154.625,38.43877225704606,1783494268000-1205841794575630336-1262220397747634176,5.75
1262195380511047680,1783470079000-1205841794575630336-1262195380511047680,1783470079000,1783501298000,2,136.37099999999998,32.43,4.205087881591119,1205841794575630336,1783470079000,1262195380511047680,OD11AE3285,31219000,1783501298000,85.8,136.347,32.5,4.195292307692308,146.125,32.5,1783470079000-1205841794575630336-1262195380511047680,8.649999999999636
1207353920964263936,1783476551000-1205841794575630336-1207353920964263936,1783476551000,1783494386000,1,135.663,40.535,3.3468113975576665,1205841794575630336,1783476551000,1207353920964263936,OD10Y3942,17835000,1783494386000,107.01294137685235,135.663,40.535205066989526,3.346794466089411,139.73500000000058,40.535205066989526,1783476551000-1205841794575630336-1207353920964263936,0.0
1207354467398189056,1783500932000-1205841794575630336-1207354467398189056,1783500932000,1783518021000,1,124.009,24.675,5.025694022289767,1205841794575630336,1783500932000,1207354467398189056,OD08W5721,17089000,1783518021000,65.14308361452632,124.009,24.675410460047846,5.025610423007308,128.0,24.675410460047846,1783500932000-1205841794575630336-1207354467398189056,0.0
1262075530765664256,1783500637000-1205841794575630336-1262075530765664256,1783500637000,1783516498000,1,122.666,24.443,5.018451090291698,1205841794575630336,1783500637000,1262075530765664256,OD15Y8031,15861000,1783516498000,64.53070539640156,122.666,24.44344901378847,5.01835890388482,128.19999999998254,24.44344901378847,1783500637000-1205841794575630336-1262075530765664256,0.0
1262027899922284544,1783499156000-1205841794575630336-1262027899922284544,1783499156000,1783513724000,1,119.06,20.256,5.877764612954186,1205841794575630336,1783499156000,1262027899922284544,OD27D5068,14568000,1783513724000,53.47531725538387,119.06,20.255801990675707,5.877822070674197,124.39999999999418,20.255801990675707,1783499156000-1205841794575630336-1262027899922284544,0.0
1262095545019662336,1783476768000-1205841794575630336-1262095545019662336,1783476768000,1783490958000,1,118.735,22.214,5.3450526694877105,1205841794575630336,1783476768000,1262095545019662336,OD23Q8728,14190000,1783490958000,58.64429192855649,118.735,22.213746942635034,5.345113559933057,125.5,22.213746942635034,1783476768000-1205841794575630336-1262095545019662336,0.0
1207345153560281088,1783501670000-1205841794575630336-1207345153560281088,1783501670000,1783516975000,1,118.218,21.54,5.488300835654597,1205841794575630336,1783501670000,1207345153560281088,OD24J9538,15305000,1783516975000,56.865522355489865,118.218,21.539970589200706,5.488308329412012,122.0,21.539970589200706,1783501670000-1205841794575630336-1207345153560281088,0.0
1262142965292204032,1783481858000-1205841794575630336-1262142965292204032,1783481858000,1783497516000,2,118.18,23.94,4.936507936507937,1205841794575630336,1783481858000,1262142965292204032,OD04U4706,15658000,1783497516000,63.20516088504696,118.205,23.941348820093545,4.937274039497418,126.875,23.941348820093545,1783481858000-1205841794575630336-1262142965292204032,4.300000000000182
1207336641052540928,1783495507000-1205841794575630336-1207336641052540928,1783495507000,1783509976000,1,118.134,20.114,5.873222631003281,1205841794575630336,1783495507000,1207336641052540928,OD30F2048,14469000,1783509976000,53.10203932885953,118.134,20.114408836689215,5.873103254445164,123.0,20.114408836689215,1783495507000-1205841794575630336-1207336641052540928,0.0
1321504772410310656,1783507631000-1205841794575630336-1321504772410310656,1783507631000,1783522003000,1,117.679,31.941,3.684261607338531,1205841794575630336,1783507631000,1321504772410310656,OD08X4547,14372000,1783522003000,84.32403842984463,117.679,31.94092364766842,3.68427041428372,121.44500000000698,31.94092364766842,1783507631000-1205841794575630336-1321504772410310656,0.0
1207353920964263936,1783496780000-1205841794575630336-1207353920964263936,1783496780000,1783512735000,1,115.944,38.487,3.012549692103827,1205841794575630336,1783496780000,1207353920964263936,OD10Y3942,15955000,1783512735000,101.60459132044458,115.944,38.48658762138052,3.0125819711693387,119.375,38.48658762138052,1783496780000-1205841794575630336-1207353920964263936,0.0
1207354467398189056,1783475405000-1205841794575630336-1207354467398189056,1783475405000,1783490363000,1,113.558,23.725,4.786427818756586,1205841794575630336,1783475405000,1207354467398189056,OD08W5721,14958000,1783490363000,62.635094480999534,113.558,23.725414576136185,4.786344181071569,117.0,23.725414576136185,1783475405000-1205841794575630336-1207354467398189056,0.0
1262147773952688128,1783495118000-1205841794575630336-1262147773952688128,1783495118000,1783511862000,1,113.387,35.08,3.2322405929304447,1205841794575630336,1783495118000,1262147773952688128,OD22Z2083,16744000,1783511862000,92.61068090693554,113.387,35.07980337383922,3.2322587099948916,120.625,35.07980337383922,1783495118000-1205841794575630336-1262147773952688128,4.649999999999636
1262018110269947904,1783486890000-1205841794575630336-1262018110269947904,1783486890000,1783500925000,1,112.171,17.512,6.405379168570123,1205841794575630336,1783486890000,1262018110269947904,OD31L8537,14035000,1783500925000,46.2308186010324,112.171,17.51167371251227,6.405498517246395,116.70000000001164,17.51167371251227,1783486890000-1205841794575630336-1262018110269947904,0.0
1207350658773024768,1783504629000-1205841794575630336-1207350658773024768,1783504629000,1783514201000,1,110.675,18.519,5.976294616339976,1205841794575630336,1783504629000,1207350658773024768,OD10AA3952,9572000,1783514201000,48.89046110668851,110.675,18.51911405556383,5.9762578095224335,114.33999999999651,18.51911405556383,1783504629000-1205841794575630336-1207350658773024768,0.0
1262069974025895936,1783497326000-1205841794575630336-1262069974025895936,1783497326000,1783510849000,1,110.596,26.474,4.177532673566518,1205841794575630336,1783497326000,1262069974025895936,OD15Y8002,13523000,1783510849000,69.89124235827687,110.596,26.473955438741235,4.177539705236375,117.69999999999709,26.47395543874124,1783497326000-1205841794575630336-1262069974025895936,0.0
