vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,id,duration,end_time_trips,engine_hours,fuel_consumed,odo_distance_km,raw_fuel_consumed,mileage,distance,carbon_emission
1474016264899788800,1773333499000-649034868264558592-1474016264899788800,1773333499000,1773370780000,2,533.14,185.189,2.8788966947280885,649034868264558592,1773333499000,1474016264899788800,MP09BK9990,1773333499000-649034868264558592-1474016264899788800,37281000.0,1773370780000.0,10.30166666666662,185.2766249335196,527.8650000000016,185.2766249335196,2.8776538874847684,533.162,
1146410747421523968,1773259874000-649034868264558592-1146410747421523968,1773259874000,1773298336000,3,518.6750000000001,180.269,2.8772279204965914,649034868264558592,1773259874000,1146410747421523968,MP09ZM9990,1773259874000-649034868264558592-1146410747421523968,38462000.0,1773298336000.0,10.650000000000546,180.10117012246658,519.4399999999441,180.10117012246658,2.8801478616006664,518.718,
682178375686553600,1773328973000-649034868264558592-682178375686553600,1773328973000,1773364480000,1,511.11,164.097,3.114682169692316,649034868264558592,1773328973000,682178375686553600,MP30P1110,1773328973000-649034868264558592-682178375686553600,35507000.0,1773364480000.0,0.0,164.0973185812953,505.33423580019735,164.0973185812953,3.114676122795946,511.11,
682178685842751488,1773329407000-649034868264558592-682178685842751488,1773329407000,1773365711000,1,509.55,159.855,3.1875762409683777,649034868264558592,1773329407000,682178685842751488,MP30P2220,1773329407000-649034868264558592-682178685842751488,36304000.0,1773365711000.0,0.0,159.8548072370582,494.873495250009,159.91703704108167,3.1875800847475175,509.55,
1146409880471470080,1773266913000-649034868264558592-1146409880471470080,1773266913000,1773306177000,2,497.084,175.48399999999998,2.8326457112899184,649034868264558592,1773266913000,1146409880471470080,MP09DC0666,1773266913000-649034868264558592-1146409880471470080,39264000.0,1773306177000.0,10.851666666665551,175.51294418592104,492.5599999999977,175.51294418592104,2.832429267857257,497.128,
1334832669606805504,1773337665000-649034868264558592-1334832669606805504,1773337665000,1773368218000,2,475.024,153.997,3.0846315187958204,649034868264558592,1773337665000,1334832669606805504,MP09AH9990,1773337665000-649034868264558592-1334832669606805504,30553000.0,1773368218000.0,8.458611111111168,153.90492924738953,467.0599999999977,153.90492924738953,3.0865418172307,475.034,
1334833282986016768,1773336949000-649034868264558592-1334833282986016768,1773336949000,1773362401000,2,472.092,150.826,3.1300438916367206,649034868264558592,1773336949000,1334833282986016768,MP09DU9990,1773336949000-649034868264558592-1334833282986016768,25452000.0,1773362401000.0,7.049999999999272,108.93483282634324,364.54999999998836,108.93483282634324,3.225836868544962,351.406,
1186996301657538560,1773335283000-649034868264558592-1186996301657538560,1773335283000,1773364538000,3,463.06,156.571,2.9575080953688744,649034868264558592,1773335283000,1186996301657538560,MP09ZT0009,1773335283000-649034868264558592-1186996301657538560,29255000.0,1773364538000.0,8.093333333333248,156.58844697784915,448.4000000000233,156.58844697784915,2.9575681280338175,463.121,
1146410298802962432,1773330240000-649034868264558592-1146410298802962432,1773330240000,1773366358000,2,459.552,170.194,2.700165693267683,649034868264558592,1773330240000,1146410298802962432,MP09ZD9990,1773330240000-649034868264558592-1146410298802962432,36118000.0,1773366358000.0,9.300000000001091,169.79200000001583,491.05000000004657,169.79200000001583,2.7066528458346513,459.568,
1066488845387694080,1773314568000-649034868264558592-1066488845387694080,1773314568000,1773350830000,1,450.876,160.114,2.8159686223565705,649034868264558592,1773314568000,1066488845387694080,MP09PA3330,1773314568000-649034868264558592-1066488845387694080,36262000.0,1773350830000.0,10.037777777777592,160.11423881247916,446.64000000001397,160.11423881247916,2.8159644223025784,450.876,
687681844035977216,1773329821000-649034868264558592-687681844035977216,1773329821000,1773369111000,1,444.931,170.28,2.6129375146817004,649034868264558592,1773329821000,687681844035977216,MP30P6660,1773329821000-649034868264558592-687681844035977216,39290000.0,1773369111000.0,0.0,170.28000000002794,439.83390651014633,170.28000000002794,2.612937514681272,444.931,
1151974728106246144,1773334244000-649034868264558592-1151974728106246144,1773334244000,1773366929000,2,443.751,148.095,2.9963942064215536,649034868264558592,1773334244000,1151974728106246144,MP09ZG9990,1773334244000-649034868264558592-1151974728106246144,32685000.0,1773366929000.0,8.75,148.12464707666214,474.42500000004657,148.12464707666214,2.9959632563399325,443.776,
1334832578175172608,1773336704000-649034868264558592-1334832578175172608,1773336704000,1773367573000,1,438.531,174.276,2.5163017282930524,649034868264558592,1773336704000,1334832578175172608,MP09AH0009,1773336704000-649034868264558592-1334832578175172608,30869000.0,1773367573000.0,8.51972222222139,174.27618903428467,431.64000000001397,174.27618903428467,2.516298998905292,438.531,
