trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1785111825000-1205841794575630336-1262125582469038080,1262125582469038080,1785111825000,1785119156000,58.75,15.039
1785111825000-1205841794575630336-1262125582469038080,1262125582469038080,1785119157000,1785119574000,1.0,0.558
1785111825000-1205841794575630336-1262125582469038080,1262125582469038080,1785119575000,1785125561000,40.125,8.834
1785116956000-1205841794575630336-1262202362500481024,1262202362500481024,1785116956000,1785121507000,25.25,5.128
1785116956000-1205841794575630336-1262202362500481024,1262202362500481024,1785121508000,1785121872000,0.875,0.336
1785116956000-1205841794575630336-1262202362500481024,1262202362500481024,1785121873000,1785122691000,2.25,0.432
1785117533000-1205841794575630336-1207340887542071296,1207340887542071296,1785117533000,1785118468000,2.0,0.954
1785117533000-1205841794575630336-1207340887542071296,1207340887542071296,1785118469000,1785118568000,0.0,0.163
1785120086000-1205841794575630336-1262214363142422528,1262214363142422528,1785120086000,1785122932000,16.375,3.596
1785120086000-1205841794575630336-1262214363142422528,1262214363142422528,1785122933000,1785124611000,6.875,1.464
1785120154000-1205841794575630336-1262071346058231808,1262071346058231808,1785120154000,1785122849000,11.0,2.363
1785120154000-1205841794575630336-1262071346058231808,1262071346058231808,1785122850000,1785123235000,0.9,0.361
1785120154000-1205841794575630336-1262071346058231808,1262071346058231808,1785123236000,1785127092000,21.8,4.687
1785120458000-1205841794575630336-1305231238159663104,1305231238159663104,1785120458000,1785133976000,101.25,17.46
1785120458000-1205841794575630336-1305231238159663104,1305231238159663104,1785133977000,1785139179000,40.875,7.404
1785121534000-1205841794575630336-1262132219737014272,1262132219737014272,1785121534000,1785122388000,6.0,1.327
1785121534000-1205841794575630336-1262132219737014272,1262132219737014272,1785122389000,1785122768000,0.625,0.241
1785121534000-1205841794575630336-1262132219737014272,1262132219737014272,1785122769000,1785122929000,,
1785124391000-1205841794575630336-1207299178141581312,1207299178141581312,1785124391000,1785127924000,16.0,5.943
1785124391000-1205841794575630336-1207299178141581312,1207299178141581312,1785127925000,1785131813000,20.0,3.937
1785126382000-1205841794575630336-1262215846705496064,1262215846705496064,1785126382000,1785127664000,8.25,2.056
1785126382000-1205841794575630336-1262215846705496064,1262215846705496064,1785127665000,1785128942000,5.25,0.892
1785126382000-1205841794575630336-1262215846705496064,1262215846705496064,1785128943000,1785132504000,27.0,4.027
1785126408000-1205841794575630336-1207299646611783680,1207299646611783680,1785126408000,1785135328000,57.0,11.456
1785126408000-1205841794575630336-1207299646611783680,1207299646611783680,1785135329000,1785145839000,69.0,11.85
1785127017000-1205841794575630336-1262093093448974336,1262093093448974336,1785127017000,1785132471000,31.3,7.243
1785127017000-1205841794575630336-1262093093448974336,1262093093448974336,1785132472000,1785139667000,52.9,8.387
1785128259000-1205841794575630336-1262123633422106624,1262123633422106624,1785128259000,1785130779000,16.375,3.449
1785128259000-1205841794575630336-1262123633422106624,1262123633422106624,1785130780000,1785132439000,13.625,2.298
1785128259000-1205841794575630336-1262123633422106624,1262123633422106624,1785132440000,1785132676000,0.0,0.11
1785139772000-1205841794575630336-1262203374753808384,1262203374753808384,1785139772000,1785143257000,12.0,4.245
1785139772000-1205841794575630336-1262203374753808384,1262203374753808384,1785143258000,1785143653000,0.5,0.415
1785139772000-1205841794575630336-1262203374753808384,1262203374753808384,1785143654000,1785145963000,7.0,2.99
1785140434000-1205841794575630336-1262095089597939712,1262095089597939712,1785140434000,1785155274000,103.5,17.833
1785140434000-1205841794575630336-1262095089597939712,1262095089597939712,1785155275000,1785157504000,20.0,2.749
1785149554000-1205841794575630336-1262024950118612992,1262024950118612992,1785149554000,1785154832000,27.1,4.922
1785149554000-1205841794575630336-1262024950118612992,1262024950118612992,1785154833000,1785156707000,9.5,1.871
1785150007000-1205841794575630336-1262069448362164224,1262069448362164224,1785150007000,1785159548000,71.6,12.156
1785150007000-1205841794575630336-1262069448362164224,1262069448362164224,1785159549000,1785160000000,2.0,0.239
1785159637000-1205841794575630336-1262223226306560000,1262223226306560000,1785159637000,1785161810000,10.625,1.871
1785159637000-1205841794575630336-1262223226306560000,1262223226306560000,1785161811000,1785161977000,,
