vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,driver_ids,load_estimation,vehicle_device_type,active_driver,adblue_consumed
1170761528379441152,1785309329000-632578958264631296-1170761528379441152,1785309329000,1785311852000,1,30.325,5.583,5.431667562242522,632578958264631296,1785309329000,1170761528379441152,RJ47GA5939,2523000,1785311852000,14.738162182395909,30.325,0.6500000000005457,5.58263719030148,5.432020560584262,30.099999999976717,4.860522540412486,1785309329000-632578958264631296-1170761528379441152,,,,,
1188192864341852160,1785319029000-632578958264631296-1188192864341852160,1785319029000,1785322888000,1,30.3,9.176,3.302092414995641,632578958264631296,1785319029000,1188192864341852160,RJ47GA6479,3859000,1785322888000,24.223385791027823,30.300000000017462,1.050000000000182,9.175524920843872,3.302263386717583,30.300000000017462,9.175524920843872,1785319029000-632578958264631296-1188192864341852160,,,,,
1536014674678513664,1785329551000-632578958264631296-1536014674678513664,1785329551000,1785335550000,1,30.25,8.923,3.3901154320295865,632578958264631296,1785329551000,1536014674678513664,NL01AL0108,5999000,1785335550000,23.55558125523414,30.25,1.6000000000000227,8.922568657285659,3.390279319991512,30.25,8.922568657285659,1785329551000-632578958264631296-1536014674678513664,,,,,
1471164933021368320,1785323422000-632578958264631296-1471164933021368320,1785323422000,1785326508000,1,30.24,17.991,1.680840420210105,632578958264631296,1785323422000,1471164933021368320,NL01AK2622,3086000,1785326508000,47.4973855040709,30.24,0.8500000000001364,17.991433903057157,1.6807998830410915,31.0,17.991433903057157,1785323422000-632578958264631296-1471164933021368320,,,,,
1540361293100220416,1785290553000-632578958264631296-1540361293100220416,1785290553000,1785293006000,1,30.106,8.76,3.43675799086758,632578958264631296,1785290553000,1540361293100220416,NL01AK8392,2453000,1785293006000,23.125735029057154,30.106,0.6499999999999773,8.759748117067103,3.4368568134217026,31.020000000000437,8.759748117067103,1785290553000-632578958264631296-1540361293100220416,,,,,
1545825206881222656,1785301908000-632578958264631296-1545825206881222656,1785301908000,1785304312000,1,30.068,6.3,4.772698412698413,632578958264631296,1785301908000,1545825206881222656,NL01AK8997,2404000,1785304312000,16.632536003361423,30.068,0.6499999999999773,6.300203031576297,4.772544606785006,30.294999999998254,6.300203031576297,1785301908000-632578958264631296-1545825206881222656,,,,,
951556794549796864,1785338884000-632578958264631296-951556794549796864,1785338884000,1785341984000,1,30.015,12.279,2.444417297825556,632578958264631296,1785338884000,951556794549796864,RJ47GA2714,3100000,1785341984000,32.415511547113894,30.015,0.7999999999999545,12.278602858755262,2.444496360479466,30.375,12.27860285875526,1785338884000-632578958264631296-951556794549796864,,,,,
1422205634715058176,1785325419000-632578958264631296-1422205634715058176,1785325419000,1785329407000,1,29.999,13.187,2.274891939030864,632578958264631296,1785325419000,1422205634715058176,NL01AJ9005,3988000,1785329407000,34.81473320239667,29.999,1.050000000000182,13.187398940301767,2.2748231198436417,30.375,13.187398940301767,1785325419000-632578958264631296-1422205634715058176,,,,,
870275474985582592,1785338907000-632578958264631296-870275474985582592,1785338907000,1785341860000,1,29.974,8.208,3.651803118908382,632578958264631296,1785338907000,870275474985582592,RJ47GA4502,2953000,1785341860000,21.668475738578028,29.974,0.7999999999992724,8.207755961582587,3.6519116967289236,31.400000000023283,8.207755961582587,1785338907000-632578958264631296-870275474985582592,,,,,0.27599999999999736
1042868881099587584,1785295566000-632578958264631296-1042868881099587584,1785295566000,1785299111000,1,29.971,15.054,1.9908994287232629,632578958264631296,1785295566000,1042868881099587584,RJ47GA5629,3545000,1785299111000,39.74367861392679,29.971,0.9000000000005457,15.05442371739651,1.9908433934516054,31.70000000001164,15.05442371739651,1785295566000-632578958264631296-1042868881099587584,,,,,
1571542304466927616,1785328849000-632578958264631296-1571542304466927616,1785328849000,1785332386000,1,29.94,8.954,3.343756980120616,632578958264631296,1785328849000,1571542304466927616,NL01AL0746,3537000,1785332386000,23.638414217794473,29.94000000000051,0.9499999999999886,8.953944779467603,3.3437776016506464,29.94000000000051,8.953944779467603,1785328849000-632578958264631296-1571542304466927616,,,,,
1101524127430213632,1785310124000-632578958264631296-1101524127430213632,1785310124000,1785317515000,1,29.886,16.385,1.8239853524565148,632578958264631296,1785310124000,1101524127430213632,RJ47GA3640,7391000,1785317515000,43.255830790974784,29.886,2.0,16.38478439052075,1.824009354513706,,16.38478439052075,1785310124000-632578958264631296-1101524127430213632,,"{'confidence': 46.7, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 48432.67625861324, 'std': 11546.311364854175, 'timestamp': 1785463143251}",,,
1083729116835872768,1785340755000-632578958264631296-1083729116835872768,1785340755000,1785344190000,1,29.87,13.362,2.2354437958389464,632578958264631296,1785340755000,1083729116835872768,RJ47GA6361,3435000,1785344190000,35.27645000742057,29.87,0.9500000000007276,13.362291669477488,2.2353950010109322,31.199999999982538,13.36229166947749,1785340755000-632578958264631296-1083729116835872768,,,,,
