trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1785301675000-649034868264558592-1146410747421523968,1146410747421523968,1785301675000,1785302768000,21.28,8.462
1785301675000-649034868264558592-1146410747421523968,1146410747421523968,1785302769000,1785307058000,51.76,22.019
1785301675000-649034868264558592-1146410747421523968,1146410747421523968,1785307059000,1785307314000,1.84,1.286
1785301675000-649034868264558592-1146410747421523968,1146410747421523968,1785307315000,1785308365000,16.08,8.038
1785301675000-649034868264558592-1146410747421523968,1146410747421523968,1785308366000,1785308666000,2.16,1.834
1785301675000-649034868264558592-1146410747421523968,1146410747421523968,1785308667000,1785308993000,4.32,2.205
1785301675000-649034868264558592-1146410747421523968,1146410747421523968,1785308994000,1785309387000,3.68,2.581
1785301675000-649034868264558592-1146410747421523968,1146410747421523968,1785309388000,1785314471000,32.16,17.175
1785323335000-649034868264558592-1334832669606805504,1334832669606805504,1785323335000,1785344529000,65.68,40.902
1785323335000-649034868264558592-1334832669606805504,1334832669606805504,1785344530000,1785346212000,10.92,5.036
1785331334000-649034868264558592-1140330395766620160,1140330395766620160,1785331334000,1785333958000,10.96,3.973
1785331334000-649034868264558592-1140330395766620160,1140330395766620160,1785333959000,1785334232000,3.92,1.654
1785331334000-649034868264558592-1140330395766620160,1140330395766620160,1785334233000,1785335065000,9.64,3.623
1785331334000-649034868264558592-1140330395766620160,1140330395766620160,1785335066000,1785335632000,5.76,2.187
1785331334000-649034868264558592-1140330395766620160,1140330395766620160,1785335633000,1785340484000,43.16,16.52
1785331617000-649034868264558592-1494312472553717760,1494312472553717760,1785331617000,1785338732000,30.0,16.577
1785331617000-649034868264558592-1494312472553717760,1494312472553717760,1785338733000,1785342140000,0.0,18.36
1785334112000-649034868264558592-1268893773056704512,1268893773056704512,1785334112000,1785344722000,0.0,35.222
1785334112000-649034868264558592-1268893773056704512,1268893773056704512,1785344723000,1785368988000,335.92,136.731
1785334112000-649034868264558592-1268893773056704512,1268893773056704512,1785368989000,1785390744000,210.2,85.73
1785336024000-649034868264558592-1284476928488636416,1284476928488636416,1785336024000,1785345246000,102.555,31.664
1785336024000-649034868264558592-1284476928488636416,1284476928488636416,1785345247000,1785366947000,393.6,125.261
1785336024000-649034868264558592-1284476928488636416,1284476928488636416,1785366948000,1785380937000,257.49,83.618
1785336909000-649034868264558592-1552709318082560000,1552709318082560000,1785336909000,1785351789000,67.15,26.666
1785336909000-649034868264558592-1552709318082560000,1552709318082560000,1785351790000,1785377016000,392.61,131.816
1785336909000-649034868264558592-1552709318082560000,1552709318082560000,1785377017000,1785390469000,158.36,55.106
1785338238000-649034868264558592-1192134642870779904,1192134642870779904,1785338238000,1785353566000,173.0,52.097
1785338238000-649034868264558592-1192134642870779904,1192134642870779904,1785353567000,1785377357000,387.71,125.05
1785339827000-649034868264558592-933044705925529600,933044705925529600,1785339827000,1785367715000,488.155,159.581
1785339827000-649034868264558592-933044705925529600,933044705925529600,1785367716000,1785373348000,97.07,28.135
1785340757000-649034868264558592-1147228695027515392,1147228695027515392,1785340757000,1785349598000,0.0,18.944
1785340757000-649034868264558592-1147228695027515392,1147228695027515392,1785349599000,1785353643000,0.0,15.758
1785345267000-649034868264558592-1474013563159838720,1474013563159838720,1785345267000,1785370511000,365.685,149.305
1785345267000-649034868264558592-1474013563159838720,1474013563159838720,1785370512000,1785389193000,159.96,49.578
1785346468000-649034868264558592-1192134718468915200,1192134718468915200,1785346468000,1785372174000,0.0,109.439
1785346468000-649034868264558592-1192134718468915200,1192134718468915200,1785372175000,1785387169000,0.0,60.588
1785347286000-649034868264558592-1474016042442293248,1474016042442293248,1785347286000,1785352790000,69.93,29.527
1785347286000-649034868264558592-1474016042442293248,1474016042442293248,1785352791000,1785372193000,244.575,96.088
1785347286000-649034868264558592-1474016042442293248,1474016042442293248,1785372194000,1785379898000,89.275,35.233
1785348623000-649034868264558592-1474013287929610240,1474013287929610240,1785348623000,1785374382000,329.895,118.097
1785348623000-649034868264558592-1474013287929610240,1474013287929610240,1785374383000,1785379352000,64.09,25.164
1785355204000-649034868264558592-1147228695027515392,1147228695027515392,1785355204000,1785377426000,4.025,124.192
1785355204000-649034868264558592-1147228695027515392,1147228695027515392,1785377427000,1785382386000,70.015,25.536
