vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,load_estimation,driver_ids,engine_hours
1207353807600615424,1785900497000-1205841794575630336-1207353807600615424,1785900497000,1785917493000,1,150.707,50.032,3.012212184202111,1205841794575630336,1785900497000,1207353807600615424,OD10Y5209,16996000,1785917493000,132.08363013483532,150.707,50.03167808137702,3.0122315656667276,50.03167808137702,1785900497000-1205841794575630336-1207353807600615424,154.23500000000058,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785967999854}",,0.0
1262213270287155200,1785918845000-1205841794575630336-1262213270287155200,1785918845000,1785939606000,2,150.125,27.046,5.550728388671153,1205841794575630336,1785918845000,1262213270287155200,OD34T6536,20761000,1785939606000,71.4118687313148,139.989,27.04995027701318,5.175203598025149,27.049950277013185,1785918845000-1205841794575630336-1262213270287155200,151.25,"{'confidence': 48.2, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 7828.801776097796, 'std': 1985.881372849651, 'timestamp': 1785958281832}",,5.699999999999818
1207324802503671808,1785920204000-1205841794575630336-1207324802503671808,1785920204000,1785935400000,1,145.0,24.052,6.028604689838683,1205841794575630336,1785920204000,1207324802503671808,OD30F1965,15196000,1785935400000,63.496151647648595,145.0,24.051572593806284,6.028711820587571,24.051572593806284,1785920204000-1205841794575630336-1207324802503671808,145.0,"{'confidence': 0, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 2}, 'load_class': 'LOW', 'mean': 3435.725770950691, 'std': 3630.7019388215203, 'timestamp': 1786004130052}",,0.0
1263152400886136832,1785888116000-1205841794575630336-1263152400886136832,1785888116000,1785907713000,1,144.545,33.654,4.295031794140368,1205841794575630336,1785888116000,1263152400886136832,OD34U6420,19597000,1785907713000,88.84550614426551,144.545,33.65360081222178,4.295082740373696,33.65360081222178,1785888116000-1205841794575630336-1263152400886136832,154.375,"{'confidence': 71.8, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 9138.243832301545, 'std': 1629.4156475885468, 'timestamp': 1786012486876}",,5.400000000000091
1261663499809980416,1785896763000-1205841794575630336-1261663499809980416,1785896763000,1785917075000,1,143.127,27.406,5.222469532219223,1205841794575630336,1785896763000,1261663499809980416,OD03AB1562,20312000,1785917075000,72.3508483728677,143.127,27.405624383662005,5.222541110405274,27.405624383662,1785896763000-1205841794575630336-1261663499809980416,149.69999999998254,"{'confidence': 40.1, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 7270.845477420909, 'std': 1948.0931488483202, 'timestamp': 1785930163779}",,0.0
1263152400886136832,1785913227000-1205841794575630336-1263152400886136832,1785913227000,1785932433000,1,142.664,33.401,4.271249363791503,1205841794575630336,1785913227000,1263152400886136832,OD34U6420,19206000,1785932433000,88.17869229100124,142.664,33.401019807197436,4.271246830890414,33.401019807197436,1785913227000-1205841794575630336-1263152400886136832,152.375,,,5.25
1207353920964263936,1785895570000-1205841794575630336-1207353920964263936,1785895570000,1785913480000,1,135.711,36.118,3.7574339664433247,1205841794575630336,1785895570000,1207353920964263936,OD10Y3942,17910000,1785913480000,95.3521056034151,135.711,36.118221819475416,3.7574108902233627,36.118221819475416,1785895570000-1205841794575630336-1207353920964263936,139.84999999999127,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786045167840}",,0.0
1262052610576220160,1785902769000-1205841794575630336-1262052610576220160,1785902769000,1785922867000,2,134.4,26.095,5.15041195631347,1205841794575630336,1785902769000,1262052610576220160,OD26G3613,20098000,1785922867000,68.93022471363011,128.592,26.109933603647768,4.925022098946842,26.109933603647768,1785902769000-1205841794575630336-1262052610576220160,134.69999999998254,"{'confidence': 39.9, 'count': 13, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 4955.962472445191, 'std': 2147.8411430558003, 'timestamp': 1786045622512}",,0.0
1305231238159663104,1785899638000-1205841794575630336-1305231238159663104,1785899638000,1785916839000,2,134.125,24.248,5.531384031672715,1205841794575630336,1785899638000,1305231238159663104,OD34T6505,17201000,1785916839000,64.02688711498033,127.032,24.252608755674366,5.237869512502584,24.252608755674366,1785899638000-1205841794575630336-1305231238159663104,136.125,"{'confidence': 47.9, 'count': 13, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 7290.556022599206, 'std': 2741.450237011685, 'timestamp': 1786004965894}",,4.699999999999818
1207337475438018560,1785917573000-1205841794575630336-1207337475438018560,1785917573000,1785932030000,1,129.485,19.026,6.805686954693578,1205841794575630336,1785917573000,1207337475438018560,OD30F1998,14457000,1785932030000,50.22830346019967,129.485,19.025872522802903,6.805732554173773,19.025872522802903,1785917573000-1205841794575630336-1207337475438018560,134.0,"{'confidence': 60.9, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5896.701549082011, 'std': 1031.6159645335124, 'timestamp': 1786067079606}",,0.0
