vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation,driver_ids
1284476928488636416,1785164356000-649034868264558592-1284476928488636416,1785164356000,1785221983000,3,918.655,285.165,3.221485806462925,649034868264558592,1785164356000,1284476928488636416,MP09DJ9990,57627000,1785221983000,752.8824327894412,869.303,15.950000000000728,285.18273969297013,3.048231463572789,922.7550000000047,285.18273969297013,1785164356000-649034868264558592-1284476928488636416,,
1474016264899788800,1785149806000-649034868264558592-1474016264899788800,1785149806000,1785207438000,3,896.2800000000001,286.44399999999996,3.1289885632095635,649034868264558592,1785149806000,1474016264899788800,MP09BK9990,57632000,1785207438000,756.7160385733306,902.826,15.980833333333521,286.63486309595856,3.149742464152922,901.6000000000058,286.63486309595856,1785149806000-649034868264558592-1474016264899788800,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785361379823}",
930508235230674944,1785169300000-649034868264558592-930508235230674944,1785169300000,1785219055000,1,818.432,265.7,3.0802860368837037,649034868264558592,1785169300000,930508235230674944,MP07P7770,49755000,1785219055000,701.4476600197486,818.432,0.0,265.69987121960173,3.0802875298481553,,265.69987121960173,1785169300000-649034868264558592-930508235230674944,,
1406271868830220288,1785167868000-649034868264558592-1406271868830220288,1785167868000,1785207042000,2,798.62,199.605,4.001001978908344,649034868264558592,1785167868000,1406271868830220288,MP09AT9990,39174000,1785207042000,526.9809096067656,814.132,10.853888888888832,199.61398091165364,4.078531955937112,801.359999999986,199.61398091165364,1785167868000-649034868264558592-1406271868830220288,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785405037793}",
1220369364222476288,1785166681000-649034868264558592-1220369364222476288,1785166681000,1785223053000,3,789.44,269.084,2.933805057156873,649034868264558592,1785166681000,1220369364222476288,MP09ZX9990,56372000,1785223053000,710.2004122563801,789.147,15.619166666666729,269.01530767287124,2.933465038947229,792.8800000000047,269.01530767287124,1785166681000-649034868264558592-1220369364222476288,,
1494313280225673216,1785159578000-649034868264558592-1494313280225673216,1785159578000,1785202203000,5,762.2700000000001,213.855,3.5644244932313955,649034868264558592,1785159578000,1494313280225673216,MP09BL9990,42625000,1785202203000,564.2379785059737,776.584,11.815000000000055,213.7265070098385,3.6335408783162833,770.2400000000052,213.7265070098385,1785159578000-649034868264558592-1494313280225673216,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785398493885}",
1268893877926887424,1785175146000-649034868264558592-1268893877926887424,1785175146000,1785232798000,3,750.24,305.269,2.457635724557685,649034868264558592,1785175146000,1268893877926887424,MP09DH0009,57652000,1785232798000,805.6961671919595,762.348,15.986944444444816,305.18794211816646,2.4979623857643256,753.0,305.18794211816646,1785175146000-649034868264558592-1268893877926887424,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785378665570}",
1289228109731594240,1785164393000-649034868264558592-1289228109731594240,1785164393000,1785205795000,3,709.835,208.60299999999998,3.40280341126446,649034868264558592,1785164393000,1289228109731594240,MP09DK9990,41402000,1785205795000,550.1803961493231,695.853,0.0,208.40166520807693,3.3389992316291295,715.7800000000279,208.40166520807693,1785164393000-649034868264558592-1289228109731594240,,
933044705925529600,1785163856000-649034868264558592-933044705925529600,1785163856000,1785207731000,3,672.24,220.258,3.0520571329985744,649034868264558592,1785163856000,933044705925529600,MP07P5550,43875000,1785207731000,580.0129258808339,730.856,0.0,219.7018658639522,3.3265807603681163,675.1749999998137,219.7018658639522,1785163856000-649034868264558592-933044705925529600,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785361798907}",
1220369221305761792,1785185037000-649034868264558592-1220369221305761792,1785185037000,1785242675000,3,663.9200000000001,244.209,2.7186549226277497,649034868264558592,1785185037000,1220369221305761792,MP09ZY9990,57638000,1785242675000,645.4881429201542,669.31,15.983055555556348,244.50308443945235,2.7374296791979527,667.3600000001024,244.50308443945232,1785185037000-649034868264558592-1220369221305761792,,
