vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation
1334832234422599680,1786023990000-649034868264558592-1334832234422599680,1786023990000,1786079691000,3,624.16,246.656,2.5304878048780486,649034868264558592,1786023990000,1334832234422599680,MP09DR0666,55701000,1786079691000,650.9870357931188,641.966,15.436388888889269,246.5859984064844,2.6034162691660696,627.7200000000303,246.5859984064844,1786023990000-649034868264558592-1334832234422599680,
1474016264899788800,1786029816000-649034868264558592-1474016264899788800,1786029816000,1786087419000,4,621.45,254.861,2.4383879840383584,649034868264558592,1786029816000,1474016264899788800,MP09BK9990,57603000,1786087419000,669.8111945444914,629.612,15.97305555555522,253.7163615698831,2.4815585250562604,625.890000000014,253.71636156988308,1786029816000-649034868264558592-1474016264899788800,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786152632579}"
1192134718468915200,1786027384000-649034868264558592-1192134718468915200,1786027384000,1786079547000,1,614.877,195.792,3.140460284383427,649034868264558592,1786027384000,1192134718468915200,MP09ZT0099,52163000,1786079547000,516.8908800000419,614.877,14.5,195.79200000001583,3.140460284383173,657.7900000000373,195.79200000001583,1786027384000-649034868264558592-1192134718468915200,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 18284.253047578233, 'std': 5503.394386597799, 'timestamp': 1786147030641}"
1536322320262496256,1786046929000-649034868264558592-1536322320262496256,1786046929000,1786081227000,1,600.177,151.393,3.964364270474857,649034868264558592,1786046929000,1536322320262496256,MP09BL9000,34298000,1786081227000,399.6772605620246,600.177,9.489166666666279,151.39290172803962,3.9643668438177553,598.3999999999942,151.39290172803962,1786046929000-649034868264558592-1536322320262496256,
1552709327888842752,1786042155000-649034868264558592-1552709327888842752,1786042155000,1786083855000,3,582.825,178.555,3.2641202990675144,649034868264558592,1786042155000,1552709327888842752,MP09BP9990,41700000,1786083855000,471.5626901488141,571.202,11.549999999999955,178.62223111697503,3.1978214381721317,585.0350000000035,178.62223111697503,1786042155000-649034868264558592-1552709327888842752,
1151974728106246144,1786032472000-649034868264558592-1151974728106246144,1786032472000,1786073715000,2,575.175,182.192,3.156971766049003,649034868264558592,1786032472000,1151974728106246144,MP09ZG9990,41243000,1786073715000,479.92411883388604,535.559,11.400000000001455,181.78943895222955,2.946040227016343,576.2049999999581,181.78943895222955,1786032472000-649034868264558592-1151974728106246144,
1552709347677569024,1786032128000-649034868264558592-1552709347677569024,1786032128000,1786073469000,4,569.35,175.844,3.2378130615773073,649034868264558592,1786032128000,1552709347677569024,MP09BN9990,41341000,1786073469000,463.07785159881877,558.801,11.450000000000045,175.40827712076467,3.1857162567948722,572.6049999999959,175.40827712076467,1786032128000-649034868264558592-1552709347677569024,
1537489465788858368,1786028576000-649034868264558592-1537489465788858368,1786028576000,1786070196000,1,559.214,171.714,3.256659328884075,649034868264558592,1786028576000,1537489465788858368,MP09BJ9990,41620000,1786070196000,453.3254118995341,559.214,0.0,171.71417117406594,3.2566560824681567,576.9250000000029,171.71417117406594,1786028576000-649034868264558592-1537489465788858368,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786139728581}"
1192134642870779904,1786029002000-649034868264558592-1192134642870779904,1786029002000,1786067713000,3,558.21,179.075,3.117185536786263,649034868264558592,1786029002000,1192134642870779904,MP09ZU0099,38711000,1786067713000,471.3454329592532,527.917,10.75,178.53993672698982,2.9568566544708257,561.484999999986,178.53993672698982,1786029002000-649034868264558592-1192134642870779904,
1494312254978392064,1786031578000-649034868264558592-1494312254978392064,1786031578000,1786065976000,1,555.404,172.82,3.213771554218262,649034868264558592,1786031578000,1494312254978392064,MP09AY9990,34398000,1786065976000,456.2450241482283,555.404,9.507777777777846,172.82008490463193,3.2137699753271796,547.8999999999942,172.82008490463193,1786031578000-649034868264558592-1494312254978392064,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786112513435}"
1268894095296692224,1786038075000-649034868264558592-1268894095296692224,1786038075000,1786082209000,2,549.84,219.46699999999998,2.505342488847982,649034868264558592,1786038075000,1268894095296692224,MP09DF0999,44134000,1786082209000,577.5021483366062,560.879,12.227777777778101,218.75081376386595,2.56400874743922,551.8399999999674,218.75081376386595,1786038075000-649034868264558592-1268894095296692224,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786147504323}"
1334832578175172608,1786037740000-649034868264558592-1334832578175172608,1786037740000,1786084460000,3,544.54,210.09799999999998,2.591838094603471,649034868264558592,1786037740000,1334832578175172608,MP09AH0009,46720000,1786084460000,552.22095517079,552.072,12.94361111110993,209.17460423135984,2.6392878907487964,547.4000000000233,209.17460423135984,1786037740000-649034868264558592-1334832578175172608,
1552709337468633088,1786039547000-649034868264558592-1552709337468633088,1786039547000,1786083722000,2,542.97,169.59199999999998,3.2016250766545595,649034868264558592,1786039547000,1552709337468633088,MP09BN9000,44175000,1786083722000,447.7976191507185,533.134,12.25,169.62031028436306,3.1431023743926527,544.939999999995,169.62031028436306,1786039547000-649034868264558592-1552709337468633088,"{'confidence': 88.5, 'count': 25, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 23819.591656318582, 'std': 2740.666404338715, 'timestamp': 1786130983041}"
1537489444636983296,1786023489000-649034868264558592-1537489444636983296,1786023489000,1786068368000,1,540.912,161.866,3.341727107607527,649034868264558592,1786023489000,1537489444636983296,MP09BF9909,44879000,1786068368000,427.3271828187865,540.912,0.0,161.86635712832822,3.341719734701653,560.2350000000006,161.86635712832822,1786023489000-649034868264558592-1537489444636983296,
1474013563159838720,1786035572000-649034868264558592-1474013563159838720,1786035572000,1786083461000,1,540.083,184.741,2.9234604121445695,649034868264558592,1786035572000,1474013563159838720,MP09AM9990,47889000,1786083461000,487.7175361830919,540.083,13.25,184.7414909784439,2.923452642606518,526.2149999999965,184.7414909784439,1786035572000-649034868264558592-1474013563159838720,"{'confidence': 84.1, 'count': 17, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 534}, 'load_class': 'HIGH', 'mean': 21608.342406566757, 'std': 2837.793656037436, 'timestamp': 1786149387366}"
1406272050288394240,1786044372000-649034868264558592-1406272050288394240,1786044372000,1786074082000,4,522.72,165.885,3.1510986526810747,649034868264558592,1786044372000,1406272050288394240,MP09AT9000,29710000,1786074082000,436.5286242404022,537.883,8.211111111110768,165.35175160621296,3.2529622140379524,530.7999999999884,165.35175160621296,1786044372000-649034868264558592-1406272050288394240,
1406272050288394240,1786007928000-649034868264558592-1406272050288394240,1786007928000,1786044369000,2,522.38,182.141,2.8679978697822017,649034868264558592,1786007928000,1406272050288394240,MP09AT9000,36441000,1786044369000,480.46231199113726,533.568,10.093611111111386,181.9932999966429,2.9318002366561977,524.359999999986,181.9932999966429,1786007928000-649034868264558592-1406272050288394240,
1140330319757443072,1786029923000-649034868264558592-1140330319757443072,1786029923000,1786072539000,3,514.64,213.955,2.4053656142646815,649034868264558592,1786029923000,1140330319757443072,MP09ZL9990,42616000,1786072539000,564.2309186311375,519.072,11.80388888888865,213.7238328148248,2.4287043385083584,518.640000000014,213.72383281482476,1786029923000-649034868264558592-1140330319757443072,
1494312472553717760,1786034181000-649034868264558592-1494312472553717760,1786034181000,1786073044000,5,514.12,200.209,2.5679165272290456,649034868264558592,1786034181000,1494312472553717760,Mp09AZ9990,38863000,1786073044000,534.4146655140721,533.026,10.748333333332994,202.42979754320913,2.633140014311501,522.2399999999907,202.42979754320913,1786034181000-649034868264558592-1494312472553717760,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786123065685}"
682178685842751488,1786028286000-649034868264558592-682178685842751488,1786028286000,1786065191000,1,511.311,183.008,2.7939270414408113,649034868264558592,1786028286000,682178685842751488,MP30P2220,36905000,1786065191000,483.1422749941408,511.311,0.0,183.0084374977806,2.7939203623122615,501.63274299004115,183.0084374977806,1786028286000-649034868264558592-682178685842751488,
1334833185816576000,1786032968000-649034868264558592-1334833185816576000,1786032968000,1786068465000,1,510.103,149.616,3.40941476847396,649034868264558592,1786032968000,1334833185816576000,MP09DS0999,35497000,1786068465000,394.98623999994714,510.103,4.5,149.61599999997998,3.4094147684744165,528.9049999999115,149.61599999997998,1786032968000-649034868264558592-1334833185816576000,
682178375686553600,1786032106000-649034868264558592-682178375686553600,1786032106000,1786070045000,2,506.29983500000003,173.935,2.9108565556098545,649034868264558592,1786032106000,682178375686553600,MP30P1110,37939000,1786070045000,465.1062969927292,513.411,0.0,176.17662764876104,2.9141833786464266,508.23105625994503,176.17662764876104,1786032106000-649034868264558592-682178375686553600,
1284476928488636416,1786037417000-649034868264558592-1284476928488636416,1786037417000,1786064951000,1,472.63,150.268,3.145247158410307,649034868264558592,1786037417000,1284476928488636416,MP09DJ9990,27534000,1786064951000,396.7078240023522,472.63,7.600000000000364,150.26811515240612,3.145244748166605,502.5549999999348,150.26811515240612,1786037417000-649034868264558592-1284476928488636416,"{'confidence': 87.1, 'count': 50, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 22887.119332118713, 'std': 4166.140686861482, 'timestamp': 1786108693433}"
1268893955106275328,1786035634000-649034868264558592-1268893955106275328,1786035634000,1786068471000,2,469.68,166.276,2.8247010993769393,649034868264558592,1786035634000,1268893955106275328,MP09DE0999,32837000,1786068471000,439.0565710464318,480.015,9.093333333332339,166.3093072145575,2.8862786337070556,472.0800000000745,166.3093072145575,1786035634000-649034868264558592-1268893955106275328,
1552709318082560000,1786041344000-649034868264558592-1552709318082560000,1786041344000,1786071888000,3,461.335,148.83100000000002,3.099723847854277,649034868264558592,1786041344000,1552709318082560000,MP09BN0999,30544000,1786071888000,393.1127830213963,458.271,8.399999999999864,148.90635720507436,3.0775784768468117,465.0650000000023,148.90635720507436,1786041344000-649034868264558592-1552709318082560000,"{'confidence': 69.5, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 22035.70297734064, 'std': 5036.580797110143, 'timestamp': 1786122653406}"
