vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,driver_ids,load_estimation,active_driver,adblue_consumed
1061351650800697344,1787901611000-632578958264631296-1061351650800697344,1787901611000,1787916764000,1,178.268,63.26,2.818020866266203,632578958264631296,1787901611000,1061351650800697344,RJ47GA3508,15153000,1787916764000,167.00615165521478,4.199999999998909,63.259905930005594,2.8180250567752343,183.25,63.259905930005594,1787901611000-632578958264631296-1061351650800697344,178.268,,"{'confidence': 35.9, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 36059.42172275648, 'std': 11323.29831866116, 'timestamp': 1787916768494}",,
1488156479612518400,1787888466000-632578958264631296-1488156479612518400,1787888466000,1787903836000,1,176.41,56.738,3.1092037082731148,632578958264631296,1787888466000,1488156479612518400,NL01AK3105,15370000,1787903836000,149.78741473978312,4.25,56.73765709840269,3.1092224991603747,187.0,56.73765709840269,1787888466000-632578958264631296-1488156479612518400,176.41,,"{'confidence': 29.8, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 58825.31740148469, 'std': 21861.055660573566, 'timestamp': 1787903877829}",,
1536014723353411584,1787926123000-632578958264631296-1536014723353411584,1787926123000,1787941943000,1,175.848,56.375,3.119254988913526,632578958264631296,1787926123000,1536014723353411584,RJ47GA8941,15820000,1787941943000,148.82888281006342,3.75,56.37457682199372,3.119278403725338,,56.37457682199372,1787926123000-632578958264631296-1536014723353411584,175.848,,"{'confidence': 69.7, 'count': 25, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 65071.26769911189, 'std': 19704.42737740244, 'timestamp': 1787942026066}",,
1060533930890887168,1787920572000-632578958264631296-1060533930890887168,1787920572000,1787934548000,1,174.5,51.494,3.38874431972657,632578958264631296,1787920572000,1060533930890887168,RJ47GA5615,13976000,1787934548000,135.94354218490992,3.8499999999994543,51.49376597913254,3.388759720365273,174.5,51.49376597913254,1787920572000-632578958264631296-1060533930890887168,174.5,,"{'confidence': 82.5, 'count': 31, 'error_code': None, 'flags': {'alta-status': 'NA-NA-alta-0', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 26449.093566940464, 'std': 5141.493522116245, 'timestamp': 1787934588933}",,
1536014723353411584,1787911107000-632578958264631296-1536014723353411584,1787911107000,1787924627000,1,174.245,46.073,3.7819330193388754,632578958264631296,1787911107000,1536014723353411584,RJ47GA8941,13520000,1787924627000,121.63282469705263,3.5,46.073039657974476,3.781929763990319,,46.073039657974476,1787911107000-632578958264631296-1536014723353411584,174.245,,"{'confidence': 67.2, 'count': 19, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 68523.9159762036, 'std': 19574.323513139705, 'timestamp': 1787924631125}",,
1536427445069021184,1787893843000-632578958264631296-1536427445069021184,1787893843000,1787908321000,1,170.497,59.14,2.8829387893134935,632578958264631296,1787893843000,1536427445069021184,NL01AK8053,14478000,1787908321000,156.12959999999848,4.0,59.13999999999942,2.882938789313522,175.27000000000044,59.13999999999942,1787893843000-632578958264631296-1536427445069021184,170.497,,"{'confidence': 24.4, 'count': 8, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 50861.95851642535, 'std': 21744.04787007336, 'timestamp': 1787908324893}",,
1060533930890887168,1787960893000-632578958264631296-1060533930890887168,1787960893000,1787974129000,1,169.6,48.529,3.494817531785118,632578958264631296,1787960893000,1060533930890887168,RJ47GA5615,13236000,1787974129000,128.11650278823112,3.649999999999636,48.52897832887542,3.494819092432085,169.59999999997672,48.52897832887542,1787960893000-632578958264631296-1060533930890887168,169.59999999997672,,"{'confidence': 77.7, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'NA-NA-alta-0', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 29999.586918264442, 'std': 4997.123342444023, 'timestamp': 1787974251261}",,
1090633180173565952,1787961232000-632578958264631296-1090633180173565952,1787961232000,1787975260000,1,168.885,59.191,2.8532209288574273,632578958264631296,1787961232000,1090633180173565952,RJ47GA5829,14028000,1787975260000,156.2646177246328,3.850000000000364,59.19114307751242,2.8532140320189536,179.39999999999418,59.19114307751242,1787961232000-632578958264631296-1090633180173565952,168.885,,"{'confidence': 73, 'count': 17, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 61707.88935811067, 'std': 13755.890600614308, 'timestamp': 1787975332841}",,
940246634145513472,1787884045000-632578958264631296-940246634145513472,1787884045000,1787897788000,1,166.675,71.84,2.320086302895323,632578958264631296,1787884045000,940246634145513472,RJ14GN1596,13743000,1787897788000,189.65785277748003,3.8000000000010914,71.84009574904546,2.3200832106660245,172.90000000002328,71.84009574904546,1787884045000-632578958264631296-940246634145513472,166.675,,"{'confidence': 90.2, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 40176.36779869855, 'std': 1370.6290072064946, 'timestamp': 1787898036839}",,
1135541524696662016,1787919290000-632578958264631296-1135541524696662016,1787919290000,1787934559000,1,165.405,67.353,2.455792615028284,632578958264631296,1787919290000,1135541524696662016,RJ47GA6226,15269000,1787934559000,177.81278399605307,4.199999999999818,67.35332727123222,2.4557806822803743,174.89999999999418,67.35332727123222,1787919290000-632578958264631296-1135541524696662016,165.405,,"{'confidence': 42, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 43504.46236610494, 'std': 15972.052996787588, 'timestamp': 1787934566002}",,
