account_id,start_time,vehicle_id,vehicle_plate,duration,end_time,carbon_emission,engine_hours,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,mileage,distance,driver_ids,vehicle_device_type,active_driver,adblue_consumed
901025643674730496,1783336393000,1291421127226163200,NL01AG9585,304000,1783336697000,0.16500470200529102,0.050485833333333334,0.06250178106261023,0.0,0.06250178106261023,1783336393000-901025643674730496-1291421127226163200,0.09599726436578807,,,,,
901025643674730496,1783320994000,1291421127226163200,NL01AG9585,15394000,1783336388000,107.8507483476651,4.207341388888707,40.852556192297385,95.20000000001164,40.843774687698215,1783320994000-901025643674730496-1291421127226163200,2.303748131622297,94114.0,,,,
901025643674730496,1783317853000,1291421127226163200,NL01AG9585,3079000,1783320932000,31.6527807428327,0.7999999999992724,11.989689675315416,28.699999999982538,11.989689675315416,1783317853000-901025643674730496-1291421127226163200,2.3420956472137604,28081.0,,,,
901025643674730496,1783316026000,1291421127226163200,NL01AG9585,192000,1783316218000,1.1253581533333334,0.024954722222222222,0.4262720277777778,,0.4262720277777778,1783316026000-901025643674730496-1291421127226163200,1.9166164954785978,817.0,,,,
901025643674730496,1783313514000,1291421127226163200,NL01AG9585,2499000,1783316013000,25.530991103258742,0.6500000000005457,9.670829963355583,27.300000000017462,9.670829963355583,1783313514000-901025643674730496-1291421127226163200,2.8203370448399574,27275.0,,,,
901025643674730496,1783308832000,1291421127226163200,NL01AG9585,2653000,1783311485000,24.50807035574584,0.6999999999998181,9.28335998323706,25.29999999998836,9.28335998323706,1783308832000-901025643674730496-1291421127226163200,2.666706886806269,24756.0,,,,
901025643674730496,1783305768000,1291421127226163200,NL01AG9585,3060000,1783308828000,26.351410840946446,0.8499999999994543,9.981595015510017,33.89999999999418,9.981595015510017,1783305768000-901025643674730496-1291421127226163200,3.3221143463017633,33160.0,,,,
901025643674730496,1783301712000,1291421127226163200,NL01AG9585,3858000,1783305570000,35.31926386604154,1.050000000000182,13.378509040167248,34.80000000001746,13.378509040167248,1783301712000-901025643674730496-1291421127226163200,2.5435569761796564,34029.0,,,,
901025643674730496,1783299716000,1291421127226163200,NL01AG9585,1328000,1783301044000,13.49943278679488,0.3000000000001819,5.113421510149576,13.299999999988358,5.113421510149576,1783299716000-901025643674730496-1291421127226163200,2.7312436442564016,13966.0,,,,
901025643674730496,1783298263000,1291421127226163200,NL01AG9585,917000,1783299180000,7.587252409719627,0.25,2.8739592461059194,7.899999999994179,2.8739592461059194,1783298263000-901025643674730496-1291421127226163200,2.827806278398591,8127.0,,,,
901025643674730496,1783294626000,1291421127226163200,NL01AG9585,3429000,1783298055000,27.368544702902152,0.8999999999996362,10.366872993523542,33.90000000002328,10.366872993523542,1783294626000-901025643674730496-1291421127226163200,3.221897289651999,33401.0,,,,
1194637793272266752,1783338184000,874238000127541248,RJ47GA4754,13181000,1783351365000,176.9537487752607,3.600000000000364,67.0279351421442,128.80000000001746,67.0279351421442,1783338184000-1194637793272266752-874238000127541248,1.869474268217648,125307.0,,,,0.0
1194637793272266752,1783332400000,874238000127541248,RJ47GA4754,2489000,1783334889000,34.43563410927441,0.6000000000003638,13.04380079896758,26.39999999999418,13.04380079896758,1783332400000-1194637793272266752-874238000127541248,1.9719712372513314,25722.0,,,,0.0
1194637793272266752,1783319946000,874238000127541248,RJ47GA4754,10782000,1783330728000,117.84984512208122,2.899999999999636,44.64009284927319,123.89999999999418,44.64009284927319,1783319946000-1194637793272266752-874238000127541248,2.702324128386397,120632.0,,,,0.0
1194637793272266752,1783301853000,874238000127541248,RJ47GA4754,9779000,1783311632000,103.21929897143431,2.699999999999818,39.09821930736148,98.0,39.09821930736148,1783301853000-1194637793272266752-874238000127541248,2.449190824963487,95759.0,,,,0.0
