vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,driver_ids,distance,load_estimation,vehicle_device_type,active_driver,adblue_consumed
1061351650800697344,1789359724000-632578958264631296-1061351650800697344,1789359724000,1789367293000,1,68.909,27.745,2.483654712560822,632578958264631296,1789359724000,1061351650800697344,RJ47GA3508,7569000,1789367293000,73.2473957459806,2.099999999998545,27.745225661356287,2.483634512152369,71.0,27.745225661356287,1789359724000-632578958264631296-1061351650800697344,,68.909,"{'confidence': 14.7, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 31687.723201589648, 'std': 14301.570439102046, 'timestamp': 1789367320347}",,,
1067793936933715968,1789359097000-632578958264631296-1067793936933715968,1789359097000,1789365466000,1,68.875,28.623,2.4062816616008105,632578958264631296,1789359097000,1067793936933715968,RJ47GA3357,6369000,1789365466000,75.5659900913808,1.75,28.623481095219997,2.4062412175122136,68.875,28.623481095219997,1789359097000-632578958264631296-1067793936933715968,,68.875,,,,
1093087738300727296,1789365788000-632578958264631296-1093087738300727296,1789365788000,1789373299000,1,68.765,35.396,1.9427336422194599,632578958264631296,1789365788000,1093087738300727296,RJ47GA5977,7511000,1789373299000,93.44460507636991,2.050000000000182,35.395683741049204,1.9427510004631332,71.76499999998487,35.395683741049204,1789365788000-632578958264631296-1093087738300727296,,68.765,"{'confidence': 44.6, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 59767.20386947461, 'std': 17534.482420386776, 'timestamp': 1789373302610}",,,
1093087265762050048,1789365942000-632578958264631296-1093087265762050048,1789365942000,1789373527000,1,68.714,29.788,2.3067678259701894,632578958264631296,1789365942000,1093087265762050048,RJ47GA5973,7585000,1789373527000,78.63910278957431,2.050000000000182,29.78753893544481,2.306803531131462,72.9549999999872,29.78753893544481,1789365942000-632578958264631296-1093087265762050048,,68.714,"{'confidence': 31.1, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 57282.408181901046, 'std': 20890.36751107795, 'timestamp': 1789373530884}",,,
1041007225465733120,1789426147000-632578958264631296-1041007225465733120,1789426147000,1789433345000,1,68.708,10.954,6.2724119043271855,632578958264631296,1789426147000,1041007225465733120,RJ47GA5925,7198000,1789433345000,28.918283025702785,2.0,10.953895085493478,6.2724719804000815,70.86499999999069,10.953895085493478,1789426147000-632578958264631296-1041007225465733120,['1096406669249740811'],68.708,,,,
1061350711461150720,1789388823000-632578958264631296-1061350711461150720,1789388823000,1789395249000,1,68.689,24.255,2.8319521748093175,632578958264631296,1789388823000,1061350711461150720,RJ47GA4012,6426000,1789395249000,64.03339726696102,1.75,24.255074722333717,2.8319434504463583,73.25,24.255074722333717,1789388823000-632578958264631296-1061350711461150720,,68.689,,,,
1385589109656911872,1789368611000-632578958264631296-1385589109656911872,1789368611000,1789376014000,1,68.687,32.829,2.0922659843431113,632578958264631296,1789368611000,1385589109656911872,NL01AJ5693,7403000,1789376014000,86.66931177891298,2.0,32.82928476473977,2.0922478358033905,73.25,32.82928476473977,1789368611000-632578958264631296-1385589109656911872,,68.687,"{'confidence': 70.7, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 51622.62451456317, 'std': 7998.1403120797495, 'timestamp': 1789376018098}",,,
786246735176400896,1789426118000-632578958264631296-786246735176400896,1789426118000,1789433512000,1,68.648,10.76,6.37992565055762,632578958264631296,1789426118000,786246735176400896,RJ47GA3340,7394000,1789433512000,28.40636887059399,1.9499999999989086,10.75998820855833,6.379932642063532,76.20000000001164,10.75998820855833,1789426118000-632578958264631296-786246735176400896,['900758004226326541'],68.648,"{'confidence': 59.3, 'count': 17, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 20457.610596040595, 'std': 6861.526205112716, 'timestamp': 1789433557011}",,900758004226326541,
836966844580495360,1789428589000-632578958264631296-836966844580495360,1789428589000,1789434150000,1,68.641,23.399,2.933501431685115,632578958264631296,1789428589000,836966844580495360,RJ47GA2578,5561000,1789434150000,61.773150341168204,1.5,23.398920583775833,2.9335113880250434,77.0,23.398920583775833,1789428589000-632578958264631296-836966844580495360,['900758004192772103'],68.641,,,900758004192772103,
1080818558042112000,1789397424000-632578958264631296-1080818558042112000,1789397424000,1789404366000,1,68.623,16.315,4.206129328838492,632578958264631296,1789397424000,1080818558042112000,RJ47GA5873,6942000,1789404366000,43.07243803025246,1.9000000000005457,16.315317435701687,4.206047493126736,71.29999999998836,16.315317435701687,1789397424000-632578958264631296-1080818558042112000,,68.623,,,,
1073663863301341184,1789355952000-632578958264631296-1073663863301341184,1789355952000,1789366468000,1,68.527,35.606,1.924591361006572,632578958264631296,1789355952000,1073663863301341184,RJ47GA3284,10516000,1789366468000,93.99883822096888,2.850000000000364,35.60562053824579,1.9246118720608085,71.125,35.60562053824579,1789355952000-632578958264631296-1073663863301341184,,68.527,"{'confidence': 96.4, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 4}, 'load_class': 'HIGH', 'mean': 53486.10875699512, 'std': 670.0931380229093, 'timestamp': 1789392384434}",,,
1536014654021566464,1789368940000-632578958264631296-1536014654021566464,1789368940000,1789375844000,1,68.516,14.501,4.724915523067375,632578958264631296,1789368940000,1536014654021566464,Rj47GA8899,6904000,1789375844000,38.281904126021246,1.8500000000000227,14.500721259856533,4.725006347765483,69.79000000000087,14.500721259856533,1789368940000-632578958264631296-1536014654021566464,,68.516,,,,
