tags,id,start_time,end_time,account_id,vehicle_id,driver_id,driver_type,trip_id,driver_session_id,distance,mileage,loss,idling_alert_fuel_consumed,ready,alert_breath_test_duration,alert_breath_test_count,alert_camera_tampered_duration,alert_camera_tampered_count,alert_distracted_driving_duration,alert_distracted_driving_count,alert_drowsiness_duration,alert_drowsiness_count,alert_emergency_recording_duration,alert_emergency_recording_count,alert_eyes_closed_duration,alert_eyes_closed_count,alert_fcw_duration,alert_fcw_count,alert_lane_departure_warning_duration,alert_lane_departure_warning_count,alert_mobile_phone_duration,alert_mobile_phone_count,alert_pcw_duration,alert_pcw_count,alert_sd_card_tampered_duration,alert_sd_card_tampered_count,alert_seatbelt_violation_duration,alert_seatbelt_violation_count,alert_tailgating_duration,alert_tailgating_count,alert_smoking_duration,alert_smoking_count,alert_idling_duration,alert_idling_count,alert_over_speed_duration,alert_over_speed_count,alert_speeding_duration,alert_speeding_count,alert_freerun_duration,alert_freerun_count,alert_over_acc_duration,alert_over_acc_count,alert_hard_brake_duration,alert_hard_brake_count,alert_unscheduled_driving_duration,alert_unscheduled_driving_count,alert_slow_running_duration,alert_slow_running_count,alert_continuous_driving_duration,alert_continuous_driving_count,alert_fuel_chori_amount,alert_fuel_chori_count,alert_def_chori_amount,alert_def_chori_count,accident_count,unresolved_alerts_count,day_driving_duration,night_driving_duration,driver_idle_duration_before_trip,vehicle_idle_duration_before_trip,total_alerts_count,gear_utilization,peak_torque_range,fuel_smart_mode,terrain,uphill_slope,engine_load,engine_hours,fuel_consumed,adblue_consumed,avg_speed,last_gear_utilization,last_two_gear_utilization,below_ptr_duration,between_ptr_duration,above_ptr_duration,alert_stoppage_duration,alert_stoppage_count
[],1220369221305761792-1773685396000,1773685396000,1773704685000,649034868264558592,1220369221305761792,1534242863380955136,unverified_drivers,1773685396000-649034868264558592-1220369221305761792,,300.004,2.804,,0.0,True,0,0,0,0,136.424,5,3.647,1,0,0,263.328,5,36.814,17,0,0,0.0,0,0,0,0,0,0,0,10.931,1,0.0,0,0.0,0,959,18,0,0,0,0,7,2,5,1,0,0,0,0,0,0,0,0,0,0,0,53,0,19289,61212.0,983.0,53,"{'fifth_gear_duration': 2.1793807237325056, 'first_gear_duration': 0.8411856023683165, 'ninth_gear_duration': 7.011985992274089, 'sixth_gear_duration': 2.100256326943211, 'tenth_gear_duration': 11.18602356282417, 'third_gear_duration': 0.9696499271935208, 'eighth_gear_duration': 4.741145889743311, 'fourth_gear_duration': 1.4483073997857925, 'second_gear_duration': 0.77710386656558, 'seventh_gear_duration': 2.776875218118584, 'twelfth_gear_duration': 46.742361336751024, 'eleventh_gear_duration': 19.225724153699893}",,,"{'up': 46.65601175968907, 'down': 24.955017109099565, 'plane': 28.38897113121136}",0.7782083,50.82,5.3494444,107.005,,56.081337,46.742363,65.96809,2591650.0,8745150.0,682150.0,1540,3
[],1476550907393998848-1773685370000,1773685370000,1773696852000,649034868264558592,1476550907393998848,1533682267136720896,unverified_drivers,1773685370000-649034868264558592-1476550907393998848,,231.552,3.78,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,48.755,2,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,6330,11,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,16,0,11482,1626.0,1626.0,16,"{'fifth_gear_duration': 0.6775615577583477, 'first_gear_duration': 0.3648408387929565, 'ninth_gear_duration': 4.3030760612776735, 'sixth_gear_duration': 1.1822012226308483, 'tenth_gear_duration': 5.426824813073869, 'third_gear_duration': 0.39406707421028275, 'eighth_gear_duration': 3.817433449426435, 'fourth_gear_duration': 0.9381621568961739, 'second_gear_duration': 0.20848047931026084, 'seventh_gear_duration': 2.305949974427044, 'twelfth_gear_duration': 71.58722813512263, 'eleventh_gear_duration': 8.794174237073479}",,,"{'up': 19.68627916316768, 'down': 21.682062141735745, 'plane': 58.63165869509657}",0.4088919,46.47,3.1791666,61.25,,72.83418,71.58723,80.3814,1051850.0,6741800.0,279500.0,210,1
[],1268893877926887424-1773685246000,1773685246000,1773729717000,649034868264558592,1268893877926887424,1411797324203556864,verified_drivers,1773685246000-649034868264558592-1268893877926887424,,536.89,2.889,,1.8,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,2083.5,1,3258,31,0,0,0,0,0,0,109,23,0,0,0,0,0,0,0,0,0,0,0,83,18717,25754,1070.0,1070.0,83,"{'fifth_gear_duration': 3.168570575686754, 'first_gear_duration': 1.5668115530509867, 'ninth_gear_duration': 10.254170034000975, 'sixth_gear_duration': 3.611238523760639, 'tenth_gear_duration': 12.018289175749368, 'third_gear_duration': 1.934488055974197, 'eighth_gear_duration': 7.2494157219928805, 'fourth_gear_duration': 2.6334374476698046, 'second_gear_duration': 1.6709258895223118, 'seventh_gear_duration': 5.020786463680114, 'twelfth_gear_duration': 37.14697595177249, 'eleventh_gear_duration': 13.724890607139475}",,,"{'up': 36.32463438807794, 'down': 26.486927747576345, 'plane': 37.18843786434571}",0.7037583,40.0,12.322222,185.84,,43.570873,37.146976,50.87187,6518750.0,16271250.0,1609000.0,7230,28
[],1192134642870779904-1773685115000,1773685115000,1773703626000,649034868264558592,1192134642870779904,1532708154486292480,unverified_drivers,1773685115000-649034868264558592-1192134642870779904,,284.713,3.805,,0.73,True,0,0,0,0,0.0,0,4.043,1,0,0,0.0,0,2.051,1,0,0,6.46,1,0,0,0,0,0,0,0.0,0,0.0,0,1476.001,1,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,10,0,18511,429231.0,1566.0,10,"{'fifth_gear_duration': 5.857386980204312, 'first_gear_duration': 0.7135909936295662, 'sixth_gear_duration': 85.79073460505937, 'third_gear_duration': 2.6421434333891236, 'fourth_gear_duration': 3.5722792833642143, 'second_gear_duration': 1.4238647043534138}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}","{'up': 14.1415432716541, 'down': 41.98449861568694, 'plane': 43.873958112658954}",0.5440361,44.69,5.1,74.819,,55.82608,85.79073,91.648125,1212676.0,1634078.0,7043321.0,2240,4
[],1268894298644938752-1773685099000,1773685099000,1773713400000,649034868264558592,1268894298644938752,1506937351476084736,verified_drivers,1773685099000-649034868264558592-1268894298644938752,,437.696,3.876,,0.65,True,0,0,0,0,139.753,7,0.0,0,0,0,2424.176,11,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,1217.337,1,40,2,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,0,0,0,38,2400,25901,1391.0,1391.0,38,"{'fifth_gear_duration': 10.93860487122039, 'first_gear_duration': 0.8805687062838359, 'sixth_gear_duration': 78.06834083688739, 'third_gear_duration': 4.06451980892292, 'fourth_gear_duration': 4.619920468636988, 'second_gear_duration': 1.4280453080484776}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}","{'up': 33.97349208682445, 'down': 33.00504679308147, 'plane': 33.02146112009408}",0.6523954,43.07,7.85,112.928,,55.757454,78.068344,89.00694,798246.0,2113417.0,12904994.0,3090,11
[],1334832234422599680-1773684869000,1773684869000,1773727085000,649034868264558592,1334832234422599680,1533036626748375040,verified_drivers,1773684869000-649034868264558592-1334832234422599680,,571.057,2.854,,2.47,True,0,0,0,0,360.507,11,0.0,0,0,0,1677.672,9,2.202,1,0,0,52.924,3,0,0,0,0,0,0,0.0,0,0.0,0,2992.4,2,4742,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,16085,26131,14401.0,1242.0,134,"{'fifth_gear_duration': 1.9137608668736472, 'first_gear_duration': 1.145027998802626, 'ninth_gear_duration': 9.007887935830789, 'sixth_gear_duration': 2.990143606509075, 'tenth_gear_duration': 12.740277997627194, 'third_gear_duration': 1.336388413056391, 'eighth_gear_duration': 6.1638114104720065, 'fourth_gear_duration': 1.673972632796448, 'second_gear_duration': 0.8519534904860493, 'seventh_gear_duration': 4.26462590684619, 'twelfth_gear_duration': 39.02796432327215, 'eleventh_gear_duration': 18.88418541742743}",,,"{'up': 36.11916640492034, 'down': 41.03896246192505, 'plane': 22.84187113315461}",0.8381919,44.43,11.6775,200.103,,48.902332,39.027966,57.91215,6039850.0,15450800.0,1487900.0,4000,12
[],1084481853835968512-1773684445000,1773684445000,1773694674000,649034868264558592,1084481853835968512,1533103500165120000,verified_drivers,1773684445000-649034868264558592-1084481853835968512,,124.005,3.031,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,18.382,9,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,10229,1728.0,1728.0,15,"{'fifth_gear_duration': 17.47592013050472, 'first_gear_duration': 0.8578360140652186, 'sixth_gear_duration': 66.02132272375904, 'third_gear_duration': 5.24213503196616, 'fourth_gear_duration': 6.476820799922645, 'second_gear_duration': 3.9259652997822205}",,,"{'up': 49.860055631136106, 'down': 25.067805862932502, 'plane': 25.072138505931395}",0.6885529,48.49,2.25,40.913,,55.113335,66.021324,83.497246,960253.0,1502332.0,3064086.0,1941,5
[],1146410298802962432-1773684338000,1773684338000,1773712895000,649034868264558592,1146410298802962432,,,1773684338000-649034868264558592-1146410298802962432,,355.734,2.765,,0.0,True,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,21,1895,26662,,1727.0,21,"{'fifth_gear_duration': 22.977989625110585, 'first_gear_duration': 1.6046968022242358, 'sixth_gear_duration': 52.889791549381584, 'third_gear_duration': 6.4137490966223565, 'fourth_gear_duration': 12.58323100780262, 'second_gear_duration': 3.5305419188586247}",,,"{'up': 36.76426199818895, 'down': 25.0241177062434, 'plane': 38.21162029556767}",0.69343925,49.55,7.65,128.633,,46.501175,52.889793,75.86778,1948986.0,4407344.0,9255593.0,4149,9
[],1334832578175172608-1773683632000,1773683632000,1773709324000,649034868264558592,1334832578175172608,1511002494879137792,verified_drivers,1773683632000-649034868264558592-1334832578175172608,,386.973,2.77,,0.0,True,0,0,0,0,28.982,2,48.157,1,0,0,1219.415,8,6.386,3,0,0,0.0,0,0,0,0,0,0,0,0.0,0,62.048,12,0.0,0,3870,63,0,0,0,0,0,0,133,25,0,0,0,0,0,0,0,0,0,0,0,122,0,25692,66130.0,2057.0,122,"{'fifth_gear_duration': 2.39517859738775, 'first_gear_duration': 1.06983494186376, 'ninth_gear_duration': 7.923234045488928, 'sixth_gear_duration': 3.2629719334642497, 'tenth_gear_duration': 12.028374526003, 'third_gear_duration': 1.032383327132463, 'eighth_gear_duration': 6.159065877883096, 'fourth_gear_duration': 1.4130592794999224, 'second_gear_duration': 0.7943684598269835, 'seventh_gear_duration': 4.025063014805708, 'twelfth_gear_duration': 42.91782573665109, 'eleventh_gear_duration': 16.978640259993053}",,,"{'up': 35.08615897720955, 'down': 38.917013516994544, 'plane': 25.99682750579591}",1.0461164,48.77,7.083611,139.706,,54.62934,42.917828,59.896465,3428450.0,10834050.0,960250.0,2280,8
[],1284476928488636416-1773683223000,1773683223000,1773701074000,649034868264558592,1284476928488636416,1534333050081509376,unverified_drivers,1773677693000-649034868264558592-1284476928488636416,,219.752,3.489,,0.0,True,0,0,0,0,41.246,2,0.0,0,0,0,0.0,0,3.656,2,0,0,258.538,5,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,37,7,0,0,0,0,0,0,0,0,0,0,0,21,0,17851,71488.0,1.0,21,"{'fifth_gear_duration': 10.603977841322045, 'first_gear_duration': 0.5983457425213826, 'sixth_gear_duration': 80.9095844107286, 'third_gear_duration': 2.3804410486846184, 'fourth_gear_duration': 4.558637310196135, 'second_gear_duration': 0.9490136465472199}",,"{'MODE_HEAVY': 0, 'MODE_LIGHT': 0, 'MODE_TURBO': 100}","{'up': 18.056754270322564, 'down': 6.842000436279484, 'plane': 75.10124529339795}",0.5827865,49.97,3.4,62.981,,64.63294,80.909584,91.513565,274337.0,644922.0,6617329.0,1800,5
