vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,load_estimation,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,driver_ids,active_driver,adblue_consumed
931892603408875520,1789173033000-632578958264631296-931892603408875520,1789173033000,1789188036000,1,173.162,76.931,2.250874159961524,632578958264631296,1789173033000,931892603408875520,RJ14GN0974,15003000,1789188036000,"{'confidence': 25.8, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 63121.896262326474, 'std': 18742.536523977888, 'timestamp': 1789188342006}",203.09666016232342,4.0,76.93055309178916,2.250887235834545,177.5,76.93055309178916,1789173033000-632578958264631296-931892603408875520,173.162,,,
1083039951072788480,1789179091000-632578958264631296-1083039951072788480,1789179091000,1789194547000,1,172.516,69.819,2.4709033357682,632578958264631296,1789179091000,1083039951072788480,RJ47GA5903,15456000,1789194547000,"{'confidence': 65.4, 'count': 9, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 46911.94048330931, 'std': 9746.232662563552, 'timestamp': 1789195068606}",184.32140769831534,0.0,69.81871503724065,2.470913420677845,181.89999999999418,69.81871503724065,1789179091000-632578958264631296-1083039951072788480,172.516,,,
792451146961649664,1789196503000-632578958264631296-792451146961649664,1789196503000,1789209128000,1,170.854,28.127,6.074376933195862,632578958264631296,1789196503000,792451146961649664,RJ47GA2227,12625000,1789209128000,"{'confidence': 56.1, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 30493.72835329525, 'std': 5357.804016372206, 'timestamp': 1789209140521}",74.25652526160441,3.4499999999989086,28.127471690001666,6.074275067557268,,28.127471690001663,1789196503000-632578958264631296-792451146961649664,170.854,['900758004180189185'],900758004180189185,
790970372676648960,1789186776000-632578958264631296-790970372676648960,1789186776000,1789199206000,1,169.5,39.069,4.338478077247945,632578958264631296,1789186776000,790970372676648960,RJ47GA3186,12430000,1789199206000,"{'confidence': None, 'count': None, 'error_code': 'ACCELERATION_FILTER_FAILED', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1789199307092}",103.14168689312531,3.399999999999636,39.068820792850495,4.338497977676821,169.5,39.068820792850495,1789186776000-632578958264631296-790970372676648960,169.5,['900758004222132226'],900758004222132226,
1385588909638942720,1789198605000-632578958264631296-1385588909638942720,1789198605000,1789212381000,1,169.482,45.671,3.7109325392481005,632578958264631296,1789198605000,1385588909638942720,NL01AJ5690,13776000,1789212381000,"{'confidence': 78.7, 'count': 33, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 49940.999755649194, 'std': 12197.43889662476, 'timestamp': 1789212388621}",120.57149540224854,3.800000000000182,45.6710209857002,3.710930834085482,179.25,45.6710209857002,1789198605000-632578958264631296-1385588909638942720,169.482,,,
1593330894762934272,1789184981000-632578958264631296-1593330894762934272,1789184981000,1789199358000,1,167.555,56.522,2.9644209334418457,632578958264631296,1789184981000,1593330894762934272,NL01AL2125,14377000,1789199358000,"{'confidence': 70.4, 'count': 24, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 60709.544134548494, 'std': 17605.93207708547, 'timestamp': 1789199363290}",149.21772887640776,3.950000000000017,56.5218669986393,2.9644279090079193,174.8149999999996,56.5218669986393,1789184981000-632578958264631296-1593330894762934272,167.555,,,
922469481249243136,1789221473000-632578958264631296-922469481249243136,1789221473000,1789236903000,1,167.492,66.072,2.534992129797796,632578958264631296,1789221473000,922469481249243136,RJ47GA3799,15430000,1789236903000,"{'confidence': 65, 'count': 28, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 50266.558649773135, 'std': 18617.354754720927, 'timestamp': 1789236986336}",174.42999901068524,4.25,66.07196932222925,2.534993306815951,171.625,66.07196932222925,1789221473000-632578958264631296-922469481249243136,167.492,,,
1083727048683290624,1789200581000-632578958264631296-1083727048683290624,1789200581000,1789214613000,1,166.939,59.374,2.811651564657931,632578958264631296,1789200581000,1083727048683290624,RJ47GA6340,14032000,1789214613000,"{'confidence': 63.2, 'count': 12, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 48638.17256664927, 'std': 12400.608926438872, 'timestamp': 1789214664812}",156.74746841590854,3.8563888888883433,59.374041066632024,2.811649619951825,177.09999999997672,59.37394106663202,1789200581000-632578958264631296-1083727048683290624,166.939,,,
1049976646406242304,1789201558000-632578958264631296-1049976646406242304,1789201558000,1789214251000,1,166.611,63.807,2.6111711881141564,632578958264631296,1789201558000,1049976646406242304,RJ47GA5534,12693000,1789214251000,"{'confidence': 70.7, 'count': 13, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 47684.278178306544, 'std': 10066.17346293218, 'timestamp': 1789214255858}",168.4496890948895,3.5,63.80670041473086,2.6111834480871385,176.0,63.80670041473087,1789201558000-632578958264631296-1049976646406242304,166.611,,,
1385588705250508800,1789256474000-632578958264631296-1385588705250508800,1789256474000,1789270763000,1,166.11,52.373,3.1716724266320435,632578958264631296,1789256474000,1385588705250508800,NL01AJ5691,14289000,1789270763000,"{'confidence': 53.9, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 94492.70013029613, 'std': 23038.985969032547, 'timestamp': 1789270814057}",138.26464457374527,3.950000000000273,52.37297142944896,3.1716741568456723,171.125,52.37297142944896,1789256474000-632578958264631296-1385588705250508800,166.11,,,
