account_id,start_time,vehicle_id,vehicle_plate,duration,end_time,load_estimation,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,driver_ids,active_driver,adblue_consumed
1194637793272266752,1789222989000,874238000127541248,RJ47GA4754,409000,1789223398000,,0.8208337830894311,0.10005555555555555,0.3109218875338754,0.4341926554954789,0.10000000000582077,0.3109218875338754,1789222989000-1194637793272266752-874238000127541248,135.0,,,
1194637793272266752,1789222388000,874238000127541248,RJ47GA4754,445000,1789222833000,,0.9599658827039009,0.10868027777777778,0.36362344041814426,0.15950566864804872,,0.36362344041814426,1789222388000-1194637793272266752-874238000127541248,58.0,,,
1194637793272266752,1789221159000,874238000127541248,RJ47GA4754,1139000,1789222298000,,4.45227397493651,0.3000000000001819,1.686467414748678,2.3481034767518056,4.099999999976717,1.686467414748678,1789221159000-1194637793272266752-874238000127541248,3960.0,,,0.0
1194637793272266752,1789217429000,874238000127541248,RJ47GA4754,1132000,1789218561000,,5.719081356977157,0.2999999999992724,2.1663186958246805,2.766444296285117,6.2000000000116415,2.1663186958246805,1789217429000-1194637793272266752-874238000127541248,5993.0,,,0.0
1194637793272266752,1789198024000,874238000127541248,RJ47GA4754,174000,1789198198000,,0.5839824434313726,0.032745277777777776,0.22120547099673205,0.4520683848794922,0.10000000000582077,0.22120547099673205,1789198024000-1194637793272266752-874238000127541248,100.0,,,
1194637793272266752,1789196637000,874238000127541248,RJ47GA4754,220000,1789196857000,,1.0360081201449276,0.053611111111111116,0.392427318236715,0.29814438129769744,0.09999999997671694,0.392427318236715,1789196637000-1194637793272266752-874238000127541248,117.0,,,
1194637793272266752,1789193630000,874238000127541248,RJ47GA4754,2166000,1789195796000,,16.395773527947693,0.6000000000003638,6.210520275737762,2.0850105023546934,13.299999999988358,6.210520275737762,1789193630000-1194637793272266752-874238000127541248,12949.0,,,0.0
1194637793272266752,1789192668000,874238000127541248,RJ47GA4754,337000,1789193005000,,0.7831962146613757,0.08370444444444444,0.29666523282627866,0.1314613095321407,,0.29666523282627866,1789192668000-1194637793272266752-874238000127541248,39.0,,,
1194637793272266752,1789192005000,874238000127541248,RJ47GA4754,406000,1789192411000,,1.829065555271003,0.1,0.6928278618450768,0.8198284614122668,0.5,0.6928278618450768,1789192005000-1194637793272266752-874238000127541248,568.0,,,
1194637793272266752,1789190504000,874238000127541248,RJ47GA4754,1125000,1789191629000,,3.4974000198212014,0.2000000000007276,1.324772734780758,0.3615714510302566,0.5,1.324772734780758,1789190504000-1194637793272266752-874238000127541248,479.0,,,0.0
1194637793272266752,1789189188000,874238000127541248,RJ47GA4754,727000,1789189915000,,2.087525629122807,0.1999999999998181,0.7907294049707602,,0.0,0.7907294049707602,1789189188000-1194637793272266752-874238000127541248,,,,0.0
