vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id
1406272050288394240,1777974878000-649034868264558592-1406272050288394240,1777974878000,1778032494000,5,872.402,252.789,3.45110744533979,649034868264558592,1777974878000,1406272050288394240,MP09AT9000,57616000,1778032494000,665.2309409526322,872.549,15.976666666666915,251.98141702751218,3.4627513818002384,868.2999999999884,251.9814170275122,1777974878000-649034868264558592-1406272050288394240
1284476928488636416,1778002091000-649034868264558592-1284476928488636416,1778002091000,1778054217000,5,860.144,229.24599999999998,3.752056742538583,649034868264558592,1778002091000,1284476928488636416,MP09DJ9990,52126000,1778054217000,445.5475200000289,622.16,14.399999999999636,168.76800000001094,3.6864808494498935,664.0500000000466,168.76800000001094,1778002091000-649034868264558592-1284476928488636416
1474016264899788800,1777995532000-649034868264558592-1474016264899788800,1777995532000,1778051760000,4,860.01,269.56,3.1904214275115,649034868264558592,1777995532000,1474016264899788800,MP09BK9990,56228000,1778051760000,708.9182260801073,860.115,15.570833333333212,268.5296310909497,3.203054338940656,852.7750000000087,268.5296310909497,1777995532000-649034868264558592-1474016264899788800
1494312366358134784,1777979864000-649034868264558592-1494312366358134784,1777979864000,1778037541000,3,836.137,277.545,3.0126177736943553,649034868264558592,1777979864000,1494312366358134784,MP09AX9990,57677000,1778037541000,731.5768116742752,836.193,15.991666666666788,277.11242866449817,3.017522541410022,831.4200000000128,277.11242866449817,1777979864000-649034868264558592-1494312366358134784
930508235230674944,1777993927000-649034868264558592-930508235230674944,1777993927000,1778046176000,1,825.625,277.905,2.9708893326856303,649034868264558592,1777993927000,930508235230674944,MP07P7770,52249000,1778046176000,733.6681591512837,825.625,0.0,277.9046057391226,2.970893547460811,,277.9046057391226,1777993927000-649034868264558592-930508235230674944
1494312472553717760,1777991938000-649034868264558592-1494312472553717760,1777991938000,1778047921000,2,796.136,254.21800000000002,3.1317058587511504,649034868264558592,1777991938000,1494312472553717760,Mp09AZ9990,55983000,1778047921000,671.917117967875,796.183,15.504166666666606,254.51405983631628,3.1282476123796195,792.4899999999907,254.51405983631628,1777991938000-649034868264558592-1494312472553717760
1186996301657538560,1778000490000-649034868264558592-1186996301657538560,1778000490000,1778058150000,4,793.779,294.545,2.6949328625507136,649034868264558592,1778000490000,1186996301657538560,MP09ZT0009,57660000,1778058150000,777.7104501576197,793.842,15.982222222222845,294.58729172637106,2.6947598294137016,776.0799999999581,294.58729172637106,1778000490000-649034868264558592-1186996301657538560
1220369364222476288,1777994335000-649034868264558592-1220369364222476288,1777994335000,1778051997000,3,780.587,298.937,2.6112090507364427,649034868264558592,1777994335000,1220369364222476288,MP09ZX9990,57662000,1778051997000,789.3589453517077,780.573,15.989722222224373,298.9996005120105,2.6106155281255807,776.8000000000466,298.9996005120105,1777994335000-649034868264558592-1220369364222476288
1474013287929610240,1778001157000-649034868264558592-1474013287929610240,1778001157000,1778046094000,3,778.3,254.844,3.0540252075779692,649034868264558592,1778001157000,1474013287929610240,MP09AM9909,44937000,1778046094000,458.0757056795029,532.606,12.449999999999818,173.51352487859958,3.0695359360179153,527.8800000000047,173.51352487859958,1778001157000-649034868264558592-1474013287929610240
1220369221305761792,1777977718000-649034868264558592-1220369221305761792,1777977718000,1778035352000,3,762.442,276.298,2.7594915634568475,649034868264558592,1777977718000,1220369221305761792,MP09ZY9990,57634000,1778035352000,729.1533010410017,761.562,15.416944444445107,276.1944322125006,2.757340160333368,764.1600000000326,276.1944322125006,1777977718000-649034868264558592-1220369221305761792
1476550907393998848,1777998717000-649034868264558592-1476550907393998848,1777998717000,1778034758000,3,681.45,172.921,3.9408169048293735,649034868264558592,1777998717000,1476550907393998848,MP09DP0666,36041000,1778034758000,456.5844609280614,681.549,9.970833333333303,172.94865944244748,3.9407590795856997,679.9099999999744,172.94865944244748,1777998717000-649034868264558592-1476550907393998848
