vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,load_estimation,driver_ids,active_driver,adblue_consumed
1046442314819436544,1788132144000-632578958264631296-1046442314819436544,1788132144000,1788147406000,1,177.372,60.135,2.9495634821651286,632578958264631296,1788132144000,1046442314819436544,RJ47GA3600,15262000,1788147406000,158.7573538731054,4.199999999999989,60.13536131557022,2.9495457600929877,,60.135361315570215,1788132144000-632578958264631296-1046442314819436544,177.372,"{'confidence': 57.4, 'count': 9, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 57484.8436628387, 'std': 14679.227622092978, 'timestamp': 1788147516653}",,,
873900831743672320,1788132975000-632578958264631296-873900831743672320,1788132975000,1788150500000,1,174.334,50.914,3.424087677259693,632578958264631296,1788132975000,873900831743672320,RJ14GN1587,17525000,1788150500000,134.41307163541262,4.800000000000182,50.91404228614114,3.4240848334184206,181.39999999996508,50.91404228614114,1788132975000-632578958264631296-873900831743672320,174.334,"{'confidence': 41.4, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 41893.492068497, 'std': 9827.629795144143, 'timestamp': 1788150674789}",,,2.8848221197235397
1536014609964597248,1788067699000-632578958264631296-1536014609964597248,1788067699000,1788080697000,1,174.192,63.84,2.7285714285714286,632578958264631296,1788067699000,1536014609964597248,NL01AK9197,12998000,1788080697000,168.5376000000004,3.6000000000000227,63.840000000000146,2.7285714285714224,179.2049999999981,63.840000000000146,1788067699000-632578958264631296-1536014609964597248,174.192,"{'confidence': 45.8, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 63529.10924904045, 'std': 21783.260936384217, 'timestamp': 1788080703540}",,,
1061350361924632576,1788064079000-632578958264631296-1061350361924632576,1788064079000,1788078677000,1,174.119,70.516,2.4692126609563787,632578958264631296,1788064079000,1061350361924632576,RJ47GA3605,14598000,1788078677000,186.16288765308968,4.0,70.51624532314003,2.4692040706662888,187.5,70.51624532314003,1788064079000-632578958264631296-1061350361924632576,174.119,"{'confidence': 69.6, 'count': 15, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 51526.15261293332, 'std': 12134.63519348326, 'timestamp': 1788078824031}",,,
1113484110199783424,1788053846000-632578958264631296-1113484110199783424,1788053846000,1788067637000,1,173.271,74.444,2.327534791252485,632578958264631296,1788053846000,1113484110199783424,RJ47GA3920,13791000,1788067637000,196.53131898376944,2.399999999999636,74.443681433246,2.327544751469242,182.0,74.443681433246,1788053846000-632578958264631296-1113484110199783424,173.271,"{'confidence': 34.3, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 31562.17452931057, 'std': 9271.066680878652, 'timestamp': 1788067694460}",,,
938815406225752064,1788064756000-632578958264631296-938815406225752064,1788064756000,1788090632000,1,172.253,80.086,2.1508503358889195,632578958264631296,1788064756000,938815406225752064,RJ47GA3910,25876000,1788090632000,211.42769088134062,7.149999999999636,80.08624654596235,2.150843714484011,,80.08624654596235,1788064756000-632578958264631296-938815406225752064,172.253,"{'confidence': 40.2, 'count': 11, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 50669.389086234005, 'std': 20100.818843462454, 'timestamp': 1788090753361}",,,
1536014702105067520,1788133341000-632578958264631296-1536014702105067520,1788133341000,1788148789000,1,172.146,53.921,3.1925594851727523,632578958264631296,1788133341000,1536014702105067520,RJ47GA8946,15448000,1788148789000,142.3521334793106,4.2000000000000455,53.921262681557046,3.1925439323749356,,53.921262681557046,1788133341000-632578958264631296-1536014702105067520,172.146,"{'confidence': 34.6, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 69587.82817369998, 'std': 28790.869237867777, 'timestamp': 1788149968265}",,,
1183367596062277632,1788061770000-632578958264631296-1183367596062277632,1788061770000,1788076688000,1,171.209,61.817,2.7696103013734086,632578958264631296,1788061770000,1183367596062277632,RJ47GA6402,14918000,1788076688000,163.1977636540231,4.100000000000364,61.81733471743299,2.7695953049835658,182.60000000000582,61.81733471743299,1788061770000-632578958264631296-1183367596062277632,171.209,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 26096.37986947855, 'std': 3525.757217744945, 'timestamp': 1788077161214}",,,
1363836271826305024,1788063188000-632578958264631296-1363836271826305024,1788063188000,1788077221000,1,170.631,34.409,4.9589061001482175,632578958264631296,1788063188000,1363836271826305024,NL01AJ4205,14033000,1788077221000,90.8399972266921,3.850000000000364,34.40908985859549,4.958893150071968,175.125,34.40908985859549,1788063188000-632578958264631296-1363836271826305024,170.631,"{'confidence': 53.1, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 24522.315622959104, 'std': 4604.825466597137, 'timestamp': 1788077226003}",,,
1094226778622263296,1788080431000-632578958264631296-1094226778622263296,1788080431000,1788095026000,1,170.599,63.095,2.703843410729852,632578958264631296,1788080431000,1094226778622263296,RJ47GA6284,14595000,1788095026000,166.5701269501985,4.049999999999272,63.09474505689337,2.7038543359858034,181.20000000001164,63.09474505689338,1788080431000-632578958264631296-1094226778622263296,170.599,"{'confidence': 62.2, 'count': 15, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 44619.47398763631, 'std': 13073.327051832239, 'timestamp': 1788095122689}",,,
