vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,distance,mileage,engine_hours,active_driver,driver_ids
588522082246086656,1785142908000-642689989225816064-588522082246086656,1785142908000,1785172508000,1,320.427,69.477,4.611986700634742,642689989225816064,1785142908000,588522082246086656,MP09BP1475,29600000,1785172508000,183.42025807276775,69.477370482109,,55.0359196141015,1785142908000-642689989225816064-588522082246086656,320.427,4.611962107611897,4.984513888888886,,
1425523015684194304,1785182581000-642689989225816064-1425523015684194304,1785182581000,1785202850000,1,318.133,87.221,3.6474358239414815,642689989225816064,1785182581000,1425523015684194304,MP09AM6184,20269000,1785202850000,230.26417974257913,87.22128020552239,328.70000000001164,87.22128020552239,1785182581000-642689989225816064-1425523015684194304,318.133,3.6474241062544905,5.449999999999818,,
1533593777682251776,1785159770000-642689989225816064-1533593777682251776,1785159770000,1785179242000,1,309.576,61.877,5.00308676891252,642689989225816064,1785159770000,1533593777682251776,MP09BL8707,19472000,1785179242000,163.35409422869145,61.876550844201304,197.59999999999127,61.87655084420131,1785159770000-642689989225816064-1533593777682251776,309.576,5.003123085827458,5.353333333333467,,
566306901520842752,1785149601000-642689989225816064-566306901520842752,1785149601000,1785173510000,1,296.079,62.353,4.748432312799705,642689989225816064,1785149601000,566306901520842752,MP09AF2718,23909000,1785173510000,164.61225716127908,62.35312771260571,,47.81105726803673,1785149601000-642689989225816064-566306901520842752,296.079,4.748422586989855,3.8608958333333443,,
566304909352275968,1785145603000-642689989225816064-566304909352275968,1785145603000,1785169807000,1,293.354,77.806,3.7703261959231935,642689989225816064,1785145603000,566304909352275968,MP09AF2781,24204000,1785169807000,205.40781054202358,77.8059888416756,,77.8059888416756,1785145603000-642689989225816064-566304909352275968,293.354,3.770326736633792,6.672500000000582,,
1533593777682251776,1785143725000-642689989225816064-1533593777682251776,1785143725000,1785159767000,1,293.066,65.227,4.49301669554019,642689989225816064,1785143725000,1533593777682251776,MP09BL8707,16042000,1785159767000,172.1993880520749,65.22704092881625,193.11000000000058,65.22704092881625,1785143725000-642689989225816064-1533593777682251776,293.066,4.4930138762515615,4.41111111111104,,
566304909352275968,1785111037000-642689989225816064-566304909352275968,1785111037000,1785134395000,1,292.869,70.302,4.165870103268754,642689989225816064,1785111037000,566304909352275968,MP09AF2781,23358000,1785134395000,185.59679088403087,70.30181472879957,,70.30181472879957,1785111037000-642689989225816064-566304909352275968,292.869,4.165881081872335,6.43611111111386,,
1530989903863611392,1785139069000-642689989225816064-1530989903863611392,1785139069000,1785153882000,1,268.379,61.181,4.38663964302643,642689989225816064,1785139069000,1530989903863611392,MP09BL8795,14813000,1785153882000,161.518341821219,61.18119008379507,194.72000000000116,61.181190083795066,1785139069000-642689989225816064-1530989903863611392,268.379,4.386626014178907,4.065833333333558,,
1533593777682251776,1785118606000-642689989225816064-1533593777682251776,1785118606000,1785133706000,1,264.565,48.62,5.441484985602633,642689989225816064,1785118606000,1533593777682251776,MP09BL8707,15100000,1785133706000,128.35767959719274,48.62033318075483,,59.992671827841036,1785118606000-642689989225816064-1533593777682251776,264.5650000000041,5.441447696716437,3.790833333333012,,
739508566909517824,1785169329000-642689989225816064-739508566909517824,1785169329000,1785189960000,2,251.125,62.763000000000005,4.001163105651418,642689989225816064,1785169329000,739508566909517824,MP13P8154,20631000,1785189960000,166.47889988940705,63.06018935204812,253.0,63.06018935204812,1785169329000-642689989225816064-739508566909517824,250.245,3.968351547486629,0.0,,
1531014613364113408,1785116538000-642689989225816064-1531014613364113408,1785116538000,1785132803000,1,236.445,58.176,4.064304867986799,642689989225816064,1785116538000,1531014613364113408,MP09BM0929,16265000,1785132803000,153.58554983537783,58.17634463461282,196.63000000000466,58.17634463461282,1785116538000-642689989225816064-1531014613364113408,236.445,4.064280791188173,4.462777777777774,,
1326601999923281920,1785163856000-642689989225816064-1326601999923281920,1785163856000,1785179300000,1,218.605,58.455,3.739714310153109,642689989225816064,1785163856000,1326601999923281920,MP09DZ9027,15444000,1785179300000,154.32220833263565,58.45538194418017,,58.45538194418017,1785163856000-642689989225816064-1326601999923281920,218.605,3.7396898750699954,4.252777777777737,,
1326602059092328448,1785152930000-642689989225816064-1326602059092328448,1785152930000,1785169650000,1,209.255,70.688,2.9602619963784518,642689989225816064,1785152930000,1326602059092328448,MP09DT9045,16720000,1785169650000,186.61690107022332,70.68822010235732,204.9200000000419,70.68822010235732,1785152930000-642689989225816064-1326602059092328448,209.255,2.96025277899198,4.615555555554238,,
1326602160833560576,1785118770000-642689989225816064-1326602160833560576,1785118770000,1785135833000,1,200.404,65.053,3.080626566030775,642689989225816064,1785118770000,1326602160833560576,MP09DT3645,17063000,1785135833000,171.73931808129666,65.05277200049116,196.7600000000093,65.14498532367901,1785118770000-642689989225816064-1326602160833560576,200.40399999998138,3.0806373631314017,4.330555555556202,,
1326601811460620288,1785154713000-642689989225816064-1326601811460620288,1785154713000,1785171560000,1,200.199,64.916,3.0839700536077395,642689989225816064,1785154713000,1326601811460620288,MP09AE9054,16847000,1785171560000,171.37805080650938,64.91592833579901,197.88000000000466,64.91592833579901,1785154713000-642689989225816064-1326601811460620288,200.199,3.0839734581689227,4.616388888887741,,
