vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,distance,mileage,engine_hours,load_estimation,active_driver,driver_ids
1429476090367180800,1785169406000-642689989225816064-1429476090367180800,1785169406000,1785210693000,2,654.1,163.554,3.9992907541240204,642689989225816064,1785169406000,1429476090367180800,MP09AN1563,41287000,1785210693000,433.12631999998587,164.06299999999464,655.1999999999534,164.06299999999464,1785169406000-642689989225816064-1429476090367180800,631.94,3.851813023046151,11.050000000000182,,,
1425525382987120640,1785175837000-642689989225816064-1425525382987120640,1785175837000,1785201406000,2,406.6,106.67,3.811755882628668,642689989225816064,1785175837000,1425525382987120640,MP09AM6115,25569000,1785201406000,281.8256980086725,106.75215833661836,407.9000000000233,106.75215833661836,1785175837000-642689989225816064-1425525382987120640,394.221,3.6928621036111964,6.849999999999909,"{'confidence': 88, 'count': 49, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 15878.253526334078, 'std': 2666.3941198166895, 'timestamp': 1785408912479}",,
1530989903863611392,1785158167000-642689989225816064-1530989903863611392,1785158167000,1785173577000,2,190.77,56.510999999999996,3.375802941020333,642689989225816064,1785158167000,1530989903863611392,MP09BL8795,15410000,1785173577000,149.20444795452278,56.51683634641014,192.2600000000093,56.51683634641014,1785158167000-642689989225816064-1530989903863611392,251.216,4.444976333427709,4.249722222222317,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785393113386}",,
1533070673256120320,1785178132000-642689989225816064-1533070673256120320,1785178132000,1785190882000,2,186.48499999999999,49.913,3.7362009897221165,642689989225816064,1785178132000,1533070673256120320,MP09BQ7694,12750000,1785190882000,131.6917122214853,49.88322432632018,188.2699999999968,49.88322432632018,1785178132000-642689989225816064-1533070673256120320,194.999,3.9091097785575886,3.4255555555555475,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785407184519}",,
1326603043004743680,1785120766000-642689989225816064-1326603043004743680,1785120766000,1785135909000,3,168.96,59.872,2.8220203099946555,642689989225816064,1785120766000,1326603043004743680,MP09AE6372,15143000,1785135909000,177.81597613986895,67.35453641661702,194.71999999997206,67.49564885070698,1785120766000-642689989225816064-1326603043004743680,196.23500000001397,2.9134637463201494,3.82111111111044,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785364374914}",,
1557834733679804416,1785167112000-642689989225816064-1557834733679804416,1785167112000,1785180894000,2,120.075,53.572,2.241376091988352,642689989225816064,1785167112000,1557834733679804416,MP09BQ8967,13782000,1785180894000,141.4406964667343,53.576021388914505,,53.576021388914505,1785167112000-642689989225816064-1557834733679804416,190.306,3.5520741381400245,3.791111111110922,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785377244071}",,
1326601836949405696,1785138100000-642689989225816064-1326601836949405696,1785138100000,1785153090000,2,118.12,63.361999999999995,1.864208831791926,642689989225816064,1785138100000,1326601836949405696,MP09DY9036,14990000,1785153090000,167.29769588129875,63.3703393489768,,63.3703393489768,1785138100000-642689989225816064-1326601836949405696,194.549,3.0700324788956848,4.126944444444234,,,
1363547788364742656,1785159225000-642689989225816064-1363547788364742656,1785159225000,1785162983000,2,13.0,2.274,5.716798592788039,642689989225816064,1785159225000,1363547788364742656,AS01PC9237,3758000,1785162983000,6.017355851617808,2.279301458946139,13.0,2.279301458946139,1785159225000-642689989225816064-1363547788364742656,12.395,5.438069611788415,0.0,,,
1531014613364113408,1785154529000-642689989225816064-1531014613364113408,1785154529000,1785169863000,2,4.25,67.99,0.062509192528313,642689989225816064,1785154529000,1531014613364113408,MP09BM0929,15334000,1785169863000,179.48903421635865,67.98827053649948,,67.98827053649948,1785154529000-642689989225816064-1531014613364113408,236.638,3.480570959265113,4.222222222222172,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785375436290}",,
739497118649024512,1785156322000-642689989225816064-739497118649024512,1785156322000,1785195960000,4,0.0,135.516,0.0,642689989225816064,1785156322000,739497118649024512,MP13P8127,39638000,1785195960000,360.42838560204507,136.52590363713827,,136.52590363713827,1785156322000-642689989225816064-739497118649024512,480.441,3.5190464754360993,0.0,,,
