vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,engine_hours,load_estimation,active_driver,driver_ids
642777009507794944,1787633446000-642689989225816064-642777009507794944,1787633446000,1787680662000,1,399.632,172.645,2.3147615048220334,642689989225816064,1787633446000,642777009507794944,MP04PA6327,47216000,1787680662000,455.78279999989553,172.64499999996042,2.3147615048225645,393.64571361988783,172.64499999996042,1787633446000-642689989225816064-642777009507794944,399.632,0.0,"{'confidence': None, 'count': None, 'error_code': 'RANSAC_TOO_FEW_POCKETS', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787680673380}",,
1537194706461523968,1787651550000-642689989225816064-1537194706461523968,1787651550000,1787695844000,1,393.696,152.291,2.585156049930725,642689989225816064,1787651550000,1537194706461523968,MP09BN3822,44294000,1787695844000,402.0477786093327,152.29082523080783,2.585159016659901,390.61999999999534,152.29082523080783,1787651550000-642689989225816064-1537194706461523968,393.696,12.276944444444325,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787695858233}",,
1326602030344568832,1787634082000-642689989225816064-1326602030344568832,1787634082000,1787676646000,1,391.97,148.071,2.6471760169108065,642689989225816064,1787634082000,1326602030344568832,MP09DY9063,42564000,1787676646000,390.9064741503851,148.07063414787314,2.6471825575390784,386.04000000003725,148.07063414787314,1787634082000-642689989225816064-1326602030344568832,391.97,11.783333333332848,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787676895811}",,
1537213879656906752,1787647836000-642689989225816064-1537213879656906752,1787647836000,1787683012000,1,382.226,135.341,2.824170059331614,642689989225816064,1787647836000,1537213879656906752,MP09BN1073,35176000,1787683012000,357.3012492815631,135.3413823036224,2.8241620817978728,379.320000000007,135.3413823036224,1787647836000-642689989225816064-1537213879656906752,382.226,9.714722222222463,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787683024726}",,
1590315702751854592,1787642057000-642689989225816064-1590315702751854592,1787642057000,1787682468000,1,380.728,85.164,4.470527452914377,642689989225816064,1787642057000,1590315702751854592,MP09BV7337,40411000,1787682468000,224.83286083348293,85.16396243692535,4.470529424719723,,46.11206694827804,1787642057000-642689989225816064-1590315702751854592,380.728,4.063604166666677,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787682534664}",,
1439682401377714176,1787682394000-642689989225816064-1439682401377714176,1787682394000,1787708320000,2,373.79999999999995,96.857,3.859297727577769,642689989225816064,1787682394000,1439682401377714176,mp09an6583,25926000,1787708320000,255.788450160516,96.8895644547409,3.755440557997016,375.1000000000058,96.88653537096761,1787682394000-642689989225816064-1439682401377714176,363.863,6.807420555555738,"{'confidence': 80.4, 'count': 32, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 16361.902937318286, 'std': 3636.9501447693015, 'timestamp': 1787708709414}",,
1326601836949405696,1787642387000-642689989225816064-1326601836949405696,1787642387000,1787684090000,2,371.12,134.274,2.763900680697678,642689989225816064,1787642387000,1326601836949405696,MP09DY9036,41703000,1787684090000,354.48767885991776,134.27563593178704,2.8509192851223557,371.5999999999767,134.27648822394266,1787642387000-642689989225816064-1326601836949405696,382.809,11.526111111112186,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787685037940}",,
1530989903863611392,1787642564000-642689989225816064-1530989903863611392,1787642564000,1787664253000,1,360.824,76.973,4.687669702363166,642689989225816064,1787642564000,1530989903863611392,MP09BL8795,21689000,1787664253000,203.20824511735918,76.97282012021181,4.68768065710059,,76.97282012021181,1787642564000-642689989225816064-1530989903863611392,360.824,5.983055555555438,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787665421814}",,
718907611667234816,1787644678000-642689989225816064-718907611667234816,1787644678000,1787678690000,1,359.383,125.602,2.8612840559863693,642689989225816064,1787644678000,718907611667234816,MP09DK6372,34012000,1787678690000,331.5887550167171,125.60180114269586,2.8612885860745414,,125.60180114269586,1787644678000-642689989225816064-718907611667234816,359.383,0.0,"{'confidence': 51, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 22617.412660784837, 'std': 7007.739653101077, 'timestamp': 1787678779776}",,
1533593777682251776,1787621209000-642689989225816064-1533593777682251776,1787621209000,1787637901000,1,358.52,66.751,5.3710056778175606,642689989225816064,1787621209000,1533593777682251776,MP09BL8707,16692000,1787637901000,176.22321410770004,66.7512174650379,5.37098817992018,,66.7512174650379,1787621209000-642689989225816064-1533593777682251776,358.52,4.598888888888723,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787637911279}",,
