vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id
930508235230674944,1776624518000-649034868264558592-930508235230674944,1776624518000,1776670796000,1,625.45,219.415,2.850534375498485,649034868264558592,1776624518000,930508235230674944,MP07P7770,46278000,1776670796000,579.2559870750343,625.45,0.0,219.41514661933118,2.8505324706917743,,219.41514661933118,1776624518000-649034868264558592-930508235230674944
1474013221449891840,1776698346000-649034868264558592-1474013221449891840,1776698346000,1776744190000,2,618.817,200.039,3.0934817710546447,649034868264558592,1776698346000,1474013221449891840,MP09AS9990,45844000,1776744190000,528.1703618685572,618.844,12.699999999999818,200.06453101081712,3.093221956302391,616.2450000000099,200.06453101081712,1776698346000-649034868264558592-1474013221449891840
1192134718468915200,1776696515000-649034868264558592-1192134718468915200,1776696515000,1776744300000,1,615.668,172.367,3.571843798406888,649034868264558592,1776696515000,1192134718468915200,MP09ZT0099,47785000,1776744300000,455.0481745038103,615.668,13.200000000000728,172.3667327665948,3.5718493361110943,655.7049999999581,172.3667327665948,1776696515000-649034868264558592-1192134718468915200
1537489444636983296,1776685116000-649034868264558592-1537489444636983296,1776685116000,1776742756000,1,594.191,193.54,3.0701198718611145,649034868264558592,1776685116000,1537489444636983296,MP09BF9909,57640000,1776742756000,510.94575598545003,594.191,0.0,193.54005908539773,3.070118934591308,615.3199999999997,193.54005908539773,1776685116000-649034868264558592-1537489444636983296
1220369221305761792,1776707974000-649034868264558592-1220369221305761792,1776707974000,1776749175000,2,581.546,196.664,2.9570536549648136,649034868264558592,1776707974000,1220369221305761792,MP09ZY9990,41201000,1776749175000,519.5265370469456,581.597,11.416944444445107,196.79035494202483,2.9554141521384043,580.4799999999814,196.79035494202483,1776707974000-649034868264558592-1220369221305761792
1334832234422599680,1776623736000-649034868264558592-1334832234422599680,1776623736000,1776663616000,3,574.9590000000001,203.662,2.823103966375662,649034868264558592,1776623736000,1334832234422599680,MP09DR0666,39880000,1776663616000,537.7598119797009,575.028,11.038055555556639,203.6968984771594,2.822959035208276,567.7200000000303,203.6968984771594,1776623736000-649034868264558592-1334832234422599680
1406271868830220288,1776706296000-649034868264558592-1406271868830220288,1776706296000,1776745097000,2,570.611,193.074,2.9554005200078723,649034868264558592,1776706296000,1406271868830220288,MP09AT9990,38801000,1776745097000,508.9636443858185,570.657,10.72361111111104,192.78925923705245,2.960004111527416,569.0,192.78925923705245,1776706296000-649034868264558592-1406271868830220288
1140330319757443072,1776703951000-649034868264558592-1140330319757443072,1776703951000,1776749961000,2,567.5799999999999,236.204,2.4029228971566945,649034868264558592,1776703951000,1140330319757443072,MP09ZL9990,46010000,1776749961000,623.5693322531972,567.601,12.715277777778283,236.20050464136256,2.4030473637718206,570.0,236.20050464136256,1776703951000-649034868264558592-1140330319757443072
1220369364222476288,1776699274000-649034868264558592-1220369364222476288,1776699274000,1776740403000,2,565.1769999999999,215.615,2.621232289033694,649034868264558592,1776699274000,1220369364222476288,MP09ZX9990,41129000,1776740403000,569.271976805576,565.198,11.370277777778028,215.63332454756662,2.6211069239222473,566.3200000000652,215.63332454756662,1776699274000-649034868264558592-1220369364222476288
1186996301657538560,1776706584000-649034868264558592-1186996301657538560,1776706584000,1776749941000,2,559.288,211.557,2.6436752270073787,649034868264558592,1776706584000,1186996301657538560,MP09ZT0009,43357000,1776749941000,558.0961784381382,559.314,12.0,211.40006759020386,2.6457607434838786,546.0799999999581,211.40006759020386,1776706584000-649034868264558592-1186996301657538560
