account_id,start_time,vehicle_id,vehicle_plate,duration,end_time,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,engine_hours,active_driver,driver_ids,vehicle_device_type
662723863112650752,1784435496000,690988481815511040,AS01PC5611,585000,1784436081000,0.9931299877921679,19.0,0.3761856014364272,0.050506983593870666,,0.3761856014364272,1784435496000-662723863112650752-690988481815511040,,,,
662723863112650752,1784424719000,690988481815511040,AS01PC5611,1018000,1784425737000,1.7426436575315911,41.0,0.6600922945195421,0.062112526294285035,,0.6600922945195421,1784424719000-662723863112650752-690988481815511040,,,,
662723863112650752,1784424089000,690988481815511040,AS01PC5611,613000,1784424702000,1.3761832329591843,,0.5212815276360546,,,0.5212815276360546,1784424089000-662723863112650752-690988481815511040,,,,
662723863112650752,1784422760000,690988481815511040,AS01PC5611,1311000,1784424071000,7.934888102943026,13160.0,3.005639432932964,4.378436034543972,,2.5033898156633723,1784422760000-662723863112650752-690988481815511040,,,,
662723863112650752,1784422548000,690988481815511040,AS01PC5611,208000,1784422756000,1.1201026073638347,1597.0,0.42428129066811915,3.764012307696131,,0.42428129066811915,1784422548000-662723863112650752-690988481815511040,,,,
662723863112650752,1784502083000,717369178893320192,AS01PC5614,12608000,1784514691000,82.86537300601663,133743.0,31.388398865915384,4.260905456545326,,31.388398865915384,1784502083000-662723863112650752-717369178893320192,,1093578478252457984,['1093578478252457984'],
662723863112650752,1784475043000,717369178893320192,AS01PC5614,724000,1784475767000,4.751972889808744,6833.0,1.7999897309881607,3.7961327680735217,,1.7999897309881607,1784475043000-662723863112650752-717369178893320192,,1093578478252457984,['1093578478252457984'],
662723863112650752,1784462530000,717369178893320192,AS01PC5614,343000,1784462873000,0.4018362303999999,95.0,0.15221069333333329,0.6241348614841079,,0.15221069333333329,1784462530000-662723863112650752-717369178893320192,,1093578478252457984,['1093578478252457984'],
662723863112650752,1784460063000,717369178893320192,AS01PC5614,1148000,1784461211000,1.8570499512249437,100.0,0.7034280118276302,0.1421609579353861,,0.7034280118276302,1784460063000-662723863112650752-717369178893320192,,1093578478252457984,['1093578478252457984'],
662723863112650752,1784445105000,717369178893320192,AS01PC5614,202000,1784445307000,0.27996408,,0.106047,0.3111827774477354,,0.106047,1784445105000-662723863112650752-717369178893320192,,1093578478252457984,['1093578478252457984'],
662723863112650752,1784436547000,717369178893320192,AS01PC5614,661000,1784437208000,1.232051550566038,19.0,0.4666861933962265,0.04071258217803884,,0.4666861933962265,1784436547000-662723863112650752-717369178893320192,,1093578478252457984,['1093578478252457984'],
