vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,distance,mileage,load_estimation
1192134718468915200,1786104763000-649034868264558592-1192134718468915200,1786104763000,1786158340000,1,618.185,215.296,2.8713259884066584,649034868264558592,1786104763000,1192134718468915200,MP09ZT0099,53577000,1786158340000,568.3814400000056,14.850000000000364,215.2960000000021,661.8950000000186,215.2960000000021,1786104763000-649034868264558592-1192134718468915200,618.185,2.8713259884066304,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 32088.5185525136, 'std': 19149.74120301824, 'timestamp': 1786213117412}"
1406272050288394240,1786105048000-649034868264558592-1406272050288394240,1786105048000,1786162666000,10,617.46,263.267,2.345375607273225,649034868264558592,1786105048000,1406272050288394240,MP09AT9000,57618000,1786162666000,696.3984530102034,15.95583333333343,263.7872928068952,635.2399999999907,263.7872928068952,1786105048000-649034868264558592-1406272050288394240,643.752,2.4404208146267945,
1474016264899788800,1786110109000-649034868264558592-1474016264899788800,1786110109000,1786157544000,4,613.47,225.368,2.722081218274112,649034868264558592,1786110109000,1474016264899788800,MP09BK9990,47435000,1786157544000,598.2313679748147,13.14833333333354,226.60279089955102,619.8400000000256,226.602790899551,1786110109000-649034868264558592-1474016264899788800,619.617,2.7343749719069663,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786212903164}"
1537489465788858368,1786118255000-649034868264558592-1537489465788858368,1786118255000,1786156925000,2,585.35,168.498,3.473928473928474,649034868264558592,1786118255000,1537489465788858368,MP09BJ9990,38670000,1786156925000,444.89548334948535,0.0,168.5210164202596,589.2449999999953,168.5210164202596,1786118255000-649034868264558592-1537489465788858368,570.848,3.3873994598775314,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786212685281}"
1552709347677569024,1786132311000-649034868264558592-1552709347677569024,1786132311000,1786175222000,6,577.225,177.805,3.246393520992098,649034868264558592,1786132311000,1552709347677569024,MP09BN9990,42911000,1786175222000,468.3886649438613,11.899999999999864,177.4199488423717,585.2599999999948,177.4199488423717,1786132311000-649034868264558592-1552709347677569024,570.993,3.2183134068384684,
1537489451758911488,1786115039000-649034868264558592-1537489451758911488,1786115039000,1786159361000,2,576.05,175.859,3.275635594425079,649034868264558592,1786115039000,1537489451758911488,MP09BG9990,44322000,1786159361000,464.1608331048368,0.0,175.81849738819574,580.4199999999983,175.81849738819574,1786115039000-649034868264558592-1537489451758911488,558.882,3.178744036050001,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786213233970}"
1552709327888842752,1786117606000-649034868264558592-1552709327888842752,1786117606000,1786160838000,4,567.205,194.496,2.9162810546232314,649034868264558592,1786117606000,1552709327888842752,MP09BP9990,43232000,1786160838000,512.7304804657724,11.949999999999818,194.21609108551985,572.8150000000023,194.21609108551985,1786117606000-649034868264558592-1552709327888842752,559.119,2.878850031812252,
1334833282986016768,1786117193000-649034868264558592-1334833282986016768,1786117193000,1786157974000,3,559.875,157.252,3.5603680716302493,649034868264558592,1786117193000,1334833282986016768,MP09DU9990,40781000,1786157974000,415.1097611884778,11.300000000001091,157.23854590472644,561.7200000000303,157.23854590472644,1786117193000-649034868264558592-1334833282986016768,534.323,3.398168031417408,"{'confidence': 79.3, 'count': 23, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 19569.736006621122, 'std': 3877.384127380722, 'timestamp': 1786176837764}"
1186996414987632640,1786117322000-649034868264558592-1186996414987632640,1786117322000,1786161738000,3,558.64,209.444,2.667252344302057,649034868264558592,1786117322000,1186996414987632640,MP09ZS0009,44416000,1786161738000,553.0042743807985,12.29416666666657,209.47131605333277,562.1599999999162,209.47131605333277,1786117322000-649034868264558592-1186996414987632640,559.51,2.671057835229073,
1334833501215653888,1786114491000-649034868264558592-1334833501215653888,1786114491000,1786149131000,1,557.318,167.185,3.3335406884588927,649034868264558592,1786114491000,1334833501215653888,MP09DS9990,34640000,1786149131000,441.3695122467704,9.600000000000364,167.18542130559484,581.2849999999162,167.18542130559484,1786114491000-649034868264558592-1334833501215653888,557.318,3.3335322879695934,"{'confidence': 86.2, 'count': 42, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 23752.7060518544, 'std': 4252.664479116744, 'timestamp': 1786206753430}"
1552709318082560000,1786126750000-649034868264558592-1552709318082560000,1786126750000,1786168692000,1,550.706,183.0,3.0093224043715847,649034868264558592,1786126750000,1552709318082560000,MP09BN0999,41942000,1786168692000,483.12057513314954,11.650000000000091,183.00021785346573,561.3349999999991,183.00021785346573,1786126750000-649034868264558592-1552709318082560000,550.706,3.0093188219096456,"{'confidence': 83, 'count': 18, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 22345.9954827784, 'std': 3230.2737497398257, 'timestamp': 1786184713742}"
1494312366358134784,1786117975000-649034868264558592-1494312366358134784,1786117975000,1786152033000,2,544.6999999999999,177.02100000000002,3.0770360578688396,649034868264558592,1786117975000,1494312366358134784,MP09AX9990,34058000,1786152033000,467.2614752113883,9.437777777777228,176.99298303461677,545.7200000000012,176.99298303461677,1786117975000-649034868264558592-1494312366358134784,553.77,3.128768104279547,
1474013563159838720,1786125483000-649034868264558592-1474013563159838720,1786125483000,1786163877000,1,542.462,194.479,2.7893088713948546,649034868264558592,1786125483000,1474013563159838720,MP09AM9990,38394000,1786163877000,513.4243297387604,10.600000000000364,194.47891277983348,533.9750000000058,194.47891277983348,1786125483000-649034868264558592-1474013563159838720,542.462,2.78931012234788,"{'confidence': 91.8, 'count': 117, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 8}, 'load_class': 'HIGH', 'mean': 21293.371440685685, 'std': 3791.3183239405057, 'timestamp': 1786215135031}"
