vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,distance,mileage,load_estimation,engine_hours,active_driver,driver_ids
1326602160833560576,1788330917000-642689989225816064-1326602160833560576,1788330917000,1788361658000,3,387.24,132.27100000000002,2.927625859031836,642689989225816064,1788330917000,1326602160833560576,MP09DT3645,30741000,1788361658000,349.2482415416223,132.29100058394783,389.4000000000233,132.29100058394783,1788330917000-642689989225816064-1326602160833560576,391.151,2.9567468555942136,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788361661059}",8.498888888889269,,
1533593777682251776,1788334052000-642689989225816064-1533593777682251776,1788334052000,1788363719000,2,381.96000000000004,122.696,3.113059920453805,642689989225816064,1788334052000,1533593777682251776,MP09BL8707,29667000,1788363719000,323.85109830644177,122.67087057062189,383.0,122.67087057062189,1788334052000-642689989225816064-1533593777682251776,389.114,3.1720162919687294,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788363840177}",8.211388888888905,,
1326601836949405696,1788332951000-642689989225816064-1326601836949405696,1788332951000,1788362461000,3,376.88,127.30199999999999,2.9605190806114594,642689989225816064,1788332951000,1326601836949405696,MP09DY9036,29510000,1788362461000,336.54032681705513,127.47739652161178,380.0799999999581,127.50299390203507,1788332951000-642689989225816064-1326601836949405696,388.86999999999534,3.05050158389506,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788362615079}",8.126388888889778,,
1530989903863611392,1788310883000-642689989225816064-1530989903863611392,1788310883000,1788325209000,1,365.801,64.985,5.6290066938524275,642689989225816064,1788310883000,1530989903863611392,MP09BL8795,14326000,1788325209000,171.56106633300934,64.98525239886717,,55.14890292382322,1788310883000-642689989225816064-1530989903863611392,365.801,5.628984831124186,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788325458367}",3.941944444444289,,
1533070599880966144,1788309251000-642689989225816064-1533070599880966144,1788309251000,1788339020000,1,361.085,107.537,3.3577745334164053,642689989225816064,1788309251000,1533070599880966144,MP09BP2969,29769000,1788339020000,283.8963837696852,107.53650900366864,358.9600000000064,107.53650900366864,1788309251000-642689989225816064-1533070599880966144,361.085,3.357789864535043,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788339030041}",8.240833333333285,,
739928272518774784,1788366180000-642689989225816064-739928272518774784,1788366180000,1788399045000,2,352.375,85.393,4.126509198646259,642689989225816064,1788366180000,739928272518774784,MP13P7218,32865000,1788399045000,233.20393889953672,88.3348253407336,354.375,73.41468856826643,1788366180000-642689989225816064-739928272518774784,388.032,4.392740898091388,"{'confidence': 59.5, 'count': 4, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 21238.46692715563, 'std': 3437.1424856520907, 'timestamp': 1788399093212}",0.0,,
1515667522240643072,1788317402000-642689989225816064-1515667522240643072,1788317402000,1788348243000,1,335.368,73.894,4.538501096164776,642689989225816064,1788317402000,1515667522240643072,MP09BJ5830,30841000,1788348243000,195.07998419634848,73.89393340770775,,66.1719248464471,1788317402000-642689989225816064-1515667522240643072,335.368,4.538505186205426,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788348412456}",5.284388888888875,,
1515667522240643072,1788351484000-642689989225816064-1515667522240643072,1788351484000,1788381003000,1,332.367,69.571,4.777378505411738,642689989225816064,1788351484000,1515667522240643072,MP09BJ5830,29519000,1788381003000,183.66689724623967,69.57079441145441,,53.19111614099945,1788351484000-642689989225816064-1515667522240643072,332.367,4.7773926230354755,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788381050199}",5.075152777777777,,
1425525382987120640,1788378969000-642689989225816064-1425525382987120640,1788378969000,1788399370000,2,329.3,79.529,4.140627947038188,642689989225816064,1788378969000,1425525382987120640,MP09AM6115,20401000,1788399370000,209.83328065549912,79.48230327859815,330.19999999998254,79.48230327859814,1788378969000-642689989225816064-1425525382987120640,317.973,4.000550901066039,"{'confidence': 78.1, 'count': 37, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14736.942566715432, 'std': 3931.0847483297634, 'timestamp': 1788399493723}",5.5,,
1530989903863611392,1788326150000-642689989225816064-1530989903863611392,1788326150000,1788341671000,1,320.591,70.265,4.562598733366541,642689989225816064,1788326150000,1530989903863611392,MP09BL8795,15521000,1788341671000,185.49987603596068,70.26510455907601,193.37000000002445,70.26510455907601,1788326150000-642689989225816064-1530989903863611392,320.591,4.562591943920902,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788341675933}",4.248611111111131,,
