vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,driver_ids,duration,end_time_trips,carbon_emission,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,load_estimation,vehicle_device_type,active_driver,adblue_consumed
1041007225465733120,1786111973000-632578958264631296-1041007225465733120,1786111973000,1786130383000,1,176.431,49.71,3.5492053912693624,632578958264631296,1786111973000,1041007225465733120,RJ47GA5925,['1096406669249740811'],18410000,1786130383000,131.23499490577308,5.100000000000364,49.710225343095864,3.549189302246929,182.97000000000116,49.710225343095864,1786111973000-632578958264631296-1041007225465733120,176.431,"{'confidence': 63.2, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 49346.78077051444, 'std': 8117.475485695507, 'timestamp': 1786167300779}",,,
1545823503347875840,1786065255000-632578958264631296-1545823503347875840,1786065255000,1786078146000,1,172.913,56.424,3.064529278321282,632578958264631296,1786065255000,1545823503347875840,NL01AK8870,,12891000,1786078146000,148.9590435820393,3.5499999999999545,56.42388014471185,3.0645357879771007,176.90500000000247,56.423880144711845,1786065255000-632578958264631296-1545823503347875840,172.913,"{'confidence': 75.4, 'count': 15, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 59184.3329475425, 'std': 11288.335250761078, 'timestamp': 1786146448690}",,,
1505916014645215232,1786065263000-632578958264631296-1505916014645215232,1786065263000,1786078058000,1,172.907,57.997,2.9813093780712796,632578958264631296,1786065263000,1505916014645215232,RJ47GA8530,,12795000,1786078058000,153.11160106047086,3.5,57.99681858351168,2.981318703732431,182.72999999999593,57.99681858351168,1786065263000-632578958264631296-1505916014645215232,172.907,"{'confidence': 42.3, 'count': 12, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 64479.337180152455, 'std': 25789.483356434983, 'timestamp': 1786165644615}",,,
1131240847388442624,1786101582000-632578958264631296-1131240847388442624,1786101582000,1786118208000,1,172.413,64.868,2.6579052845779123,632578958264631296,1786101582000,1131240847388442624,RJ47GA6175,,16626000,1786118208000,171.2525275367481,4.550000000000182,64.8683816427076,2.657889647218945,181.0,64.8683816427076,1786101582000-632578958264631296-1131240847388442624,172.413,,,,
1120316268595904512,1786086228000-632578958264631296-1120316268595904512,1786086228000,1786102424000,1,172.214,63.298,2.7206862776075074,632578958264631296,1786086228000,1120316268595904512,RJ47GA6295,,16196000,1786102424000,167.10702261678477,0.0,63.29811462756999,2.7206813506731344,184.70000000001164,63.29811462756999,1786086228000-632578958264631296-1120316268595904512,172.214,,,,
1361380561528029184,1786105324000-632578958264631296-1361380561528029184,1786105324000,1786118971000,1,171.875,56.5,3.0420353982300883,632578958264631296,1786105324000,1361380561528029184,NL01AJ4177,,13647000,1786118971000,149.16000000000003,3.75,56.50000000000001,3.0420353982300883,171.875,56.5,1786105324000-632578958264631296-1361380561528029184,171.875,"{'confidence': 68.9, 'count': 9, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 40198.419920746244, 'std': 7489.411495845367, 'timestamp': 1786218796711}",,,
1385305434218299392,1786094479000-632578958264631296-1385305434218299392,1786094479000,1786113925000,1,171.647,79.967,2.1464729200795327,632578958264631296,1786094479000,1385305434218299392,NL01AJ5697,,19446000,1786113925000,211.11222904521276,5.317390555555737,79.96675342621695,2.1464795386294355,176.625,79.89319054138052,1786094479000-632578958264631296-1385305434218299392,171.647,"{'confidence': 78.1, 'count': 18, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 58443.0299046092, 'std': 10875.536679825951, 'timestamp': 1786190153362}",,,
1050035941135089664,1786093244000-632578958264631296-1050035941135089664,1786093244000,1786107437000,1,171.629,64.363,2.66657862436493,632578958264631296,1786093244000,1050035941135089664,RJ47GA5558,,14193000,1786107437000,169.91705073996053,3.899999999999636,64.36251921968201,2.666598543388214,182.70000000001164,64.35444401850032,1786093244000-632578958264631296-1050035941135089664,171.629,,,,
847126508215468032,1786075192000-632578958264631296-847126508215468032,1786075192000,1786090622000,1,171.591,70.273,2.4417770694292265,632578958264631296,1786075192000,847126508215468032,RJ47GA3488,,15430000,1786090622000,185.52050887950548,4.25,70.27292003011571,2.4417798481472532,175.625,70.27292003011571,1786075192000-632578958264631296-847126508215468032,171.591,"{'confidence': 66.7, 'count': 24, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 51398.69083996364, 'std': 16768.214988532476, 'timestamp': 1786137437020}",,,
1152269303286857728,1786094105000-632578958264631296-1152269303286857728,1786094105000,1786109145000,1,170.725,53.445,3.1944054635606696,632578958264631296,1786094105000,1152269303286857728,RJ47GA4891,,15040000,1786109145000,141.09416276760112,3.300000000000182,53.44475862409133,3.1944198906546677,170.72500000003492,52.4420857020461,1786094105000-632578958264631296-1152269303286857728,170.72500000003492,,,,
