trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1784939253000-1205841794575630336-1262125582469038080,1262125582469038080,1784939253000,1784946718000,63.25,12.873
1784939253000-1205841794575630336-1262125582469038080,1262125582469038080,1784946719000,1784947095000,0.125,0.188
1784939253000-1205841794575630336-1262125582469038080,1262125582469038080,1784947096000,1784947748000,3.125,0.529
1784939430000-1205841794575630336-1262401041488412672,1262401041488412672,1784939430000,1784940461000,7.625,1.238
1784939430000-1205841794575630336-1262401041488412672,1262401041488412672,1784940462000,1784941340000,5.625,1.012
1784939605000-1205841794575630336-1263153978288373760,1263153978288373760,1784939605000,1784942792000,20.875,4.577
1784939605000-1205841794575630336-1263153978288373760,1263153978288373760,1784942793000,1784944044000,4.375,1.026
1784944504000-1205841794575630336-1207325033735651328,1207325033735651328,1784944504000,1784945375000,8.0,1.28
1784944504000-1205841794575630336-1207325033735651328,1207325033735651328,1784945376000,1784948184000,23.0,3.541
1784945525000-1205841794575630336-1262216410893910016,1262216410893910016,1784945525000,1784946825000,5.25,1.378
1784945525000-1205841794575630336-1262216410893910016,1262216410893910016,1784946826000,1784950429000,21.375,4.004
1784945793000-1205841794575630336-1262215846705496064,1262215846705496064,1784945793000,1784947705000,15.25,2.344
1784945793000-1205841794575630336-1262215846705496064,1262215846705496064,1784947706000,1784952635000,26.5,5.202
1784946382000-1205841794575630336-1262207902261706752,1262207902261706752,1784946382000,1784949889000,32.25,3.991
1784946382000-1205841794575630336-1262207902261706752,1262207902261706752,1784949890000,1784953647000,24.375,4.1
1784949584000-1205841794575630336-1262059083335204864,1262059083335204864,1784949584000,1784951137000,7.8,0.828
1784949584000-1205841794575630336-1262059083335204864,1262059083335204864,1784951138000,1784953310000,7.5,0.797
1784949584000-1205841794575630336-1262059083335204864,1262059083335204864,1784953311000,1784955019000,15.4,1.732
1784955120000-1205841794575630336-1262075530765664256,1262075530765664256,1784955120000,1784958735000,28.1,5.326
1784955120000-1205841794575630336-1262075530765664256,1262075530765664256,1784958736000,1784966813000,62.9,11.377
1784956956000-1205841794575630336-1262213665130545152,1262213665130545152,1784956956000,1784964663000,64.0,11.361
1784956956000-1205841794575630336-1262213665130545152,1262213665130545152,1784964664000,1784966043000,8.375,1.547
1784956956000-1205841794575630336-1262213665130545152,1262213665130545152,1784966044000,1784971455000,31.75,4.897
1784957301000-1205841794575630336-1262218053974753280,1262218053974753280,1784957301000,1784959401000,10.875,2.039
1784957301000-1205841794575630336-1262218053974753280,1262218053974753280,1784959402000,1784967036000,43.125,7.419
1784957886000-1205841794575630336-1207299646611783680,1207299646611783680,1784957886000,1784963856000,40.0,7.734
1784957886000-1205841794575630336-1207299646611783680,1207299646611783680,1784963857000,1784973586000,68.0,13.356
1784959284000-1205841794575630336-1305231238159663104,1305231238159663104,1784959284000,1784960966000,14.125,2.482
1784959284000-1205841794575630336-1305231238159663104,1305231238159663104,1784960967000,1784965999000,43.875,7.662
1784962226000-1205841794575630336-1262146998283272192,1262146998283272192,1784962226000,1784965072000,22.625,4.095
1784962226000-1205841794575630336-1262146998283272192,1262146998283272192,1784965073000,1784965456000,1.125,0.4
1784962226000-1205841794575630336-1262146998283272192,1262146998283272192,1784965457000,1784966108000,0.75,0.299
1784962233000-1205841794575630336-1207342631755972608,1207342631755972608,1784962233000,1784966934000,41.0,5.916
1784962233000-1205841794575630336-1207342631755972608,1207342631755972608,1784966935000,1784967647000,3.0,0.666
1784964664000-1205841794575630336-1207347065403736064,1207347065403736064,1784964664000,1784965782000,6.0,1.431
1784964664000-1205841794575630336-1207347065403736064,1207347065403736064,1784965783000,1784966170000,1.0,0.206
1784964664000-1205841794575630336-1207347065403736064,1207347065403736064,1784966171000,1784967082000,8.0,1.587
1784964664000-1205841794575630336-1207347065403736064,1207347065403736064,1784967083000,1784967320000,0.0,0.067
1784965241000-1205841794575630336-1262123162754088960,1262123162754088960,1784965241000,1784972992000,38.125,6.87
1784965241000-1205841794575630336-1262123162754088960,1262123162754088960,1784972993000,1784984974000,70.0,12.636
1784975477000-1205841794575630336-1262221695368822784,1262221695368822784,1784975477000,1784979651000,22.5,3.955
1784975477000-1205841794575630336-1262221695368822784,1262221695368822784,1784979652000,1784980398000,3.875,0.645
1784975714000-1205841794575630336-1207347691315527680,1207347691315527680,1784975714000,1784977373000,0.0,1.968
1784975714000-1205841794575630336-1207347691315527680,1207347691315527680,1784977374000,1784978017000,0.0,0.844
1784979885000-1205841794575630336-1262125582469038080,1262125582469038080,1784979885000,1784981965000,7.25,1.885
1784979885000-1205841794575630336-1262125582469038080,1262125582469038080,1784981966000,1784983300000,5.0,1.38
1784979885000-1205841794575630336-1262125582469038080,1262125582469038080,1784983301000,1784990669000,54.5,9.59
