vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id
930508235230674944,1776332921000-649034868264558592-930508235230674944,1776332921000,1776350365000,1,188.84,65.274,2.8930355118423874,649034868264558592,1776332921000,930508235230674944,MP07P7770,17444000,1776350365000,172.32441572253703,183.838,0.0,65.27439989490038,2.8163874397313684,188.8399999999674,65.27439989490038,1776332921000-649034868264558592-930508235230674944
1151974728106246144,1776314401000-649034868264558592-1151974728106246144,1776314401000,1776327720000,1,123.33,41.83,2.9483624193162803,649034868264558592,1776314401000,1151974728106246144,MP09ZG9990,13319000,1776327720000,110.43199572650546,115.912,3.0499999999992724,41.8303014115551,2.771005612882836,123.3300000000745,41.8303014115551,1776314401000-649034868264558592-1151974728106246144
1146410298802962432,1776343825000-649034868264558592-1146410298802962432,1776343825000,1776352476000,1,89.165,25.984,3.431534790640394,649034868264558592,1776343825000,1146410298802962432,MP09ZD9990,8651000,1776352476000,68.5977599999914,84.114,2.350000000002183,25.98399999999674,3.2371459359609975,89.16500000003725,25.98399999999674,1776343825000-649034868264558592-1146410298802962432
