vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,engine_hours,load_estimation,active_driver,driver_ids
1425523015684194304,1786565752000-642689989225816064-1425523015684194304,1786565752000,1786587418000,2,327.5,90.432,3.621505661712668,642689989225816064,1786565752000,1425523015684194304,MP09AM6184,21666000,1786587418000,238.77301261788523,318.587,90.44432296132015,3.5224654192640528,329.6000000000058,90.44432296132015,1786565752000-642689989225816064-1425523015684194304,5.899999999999636,"{'confidence': 82.8, 'count': 29, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 19067.332483549333, 'std': 3540.0158088505646, 'timestamp': 1786640223950}",,
1531026470644744192,1786523530000-642689989225816064-1531026470644744192,1786523530000,1786538414000,1,311.163,70.928,4.387026280171442,642689989225816064,1786523530000,1531026470644744192,MP09BM0987,14884000,1786538414000,187.25043158125462,311.163,70.92819378077826,4.387014294509302,190.5500000000029,70.92819378077826,1786523530000-642689989225816064-1531026470644744192,4.096666666666351,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786581487403}",,
566306421637943296,1786526739000-642689989225816064-566306421637943296,1786526739000,1786556310000,1,309.142,66.623,4.640169310898639,642689989225816064,1786526739000,566306421637943296,MP09AF3618,29571000,1786556310000,175.88435442736466,309.142,66.62286152551691,4.640178955411529,,49.507474708333326,1786526739000-642689989225816064-566306421637943296,4.9254166666666634,,,
566304909352275968,1786531796000-642689989225816064-566304909352275968,1786531796000,1786557404000,1,295.944,73.202,4.042840359553018,642689989225816064,1786531796000,566304909352275968,MP09AF2781,25608000,1786557404000,193.25209874372393,295.944,73.20155255444088,4.042865071473763,,73.20155255444088,1786531796000-642689989225816064-566304909352275968,7.041666666664241,,,
566304909352275968,1786494274000-642689989225816064-566304909352275968,1786494274000,1786516667000,1,293.812,72.922,4.029127012424235,642689989225816064,1786494274000,566304909352275968,MP09AF2781,22393000,1786516667000,192.51467789177963,293.812,72.92222647415895,4.029114499186562,,72.92222647415895,1786494274000-642689989225816064-566304909352275968,6.141666666662786,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786663944448}",,
1532377823644221440,1786498279000-642689989225816064-1532377823644221440,1786498279000,1786520547000,1,293.15,58.544,5.007344902978956,642689989225816064,1786498279000,1532377823644221440,MP09BJ9733,22268000,1786520547000,154.5574319038774,293.15,58.54448178177174,5.0073036958928965,,58.54448178177174,1786498279000-642689989225816064-1532377823644221440,6.125,,,
739451124913799168,1786558491000-642689989225816064-739451124913799168,1786558491000,1786579446000,1,272.195,68.418,3.9784121137712294,642689989225816064,1786558491000,739451124913799168,MP13P2781,20955000,1786579446000,180.62372099168806,272.195,68.41807613321517,3.9784076867349465,,68.41807613321517,1786558491000-642689989225816064-739451124913799168,0.0,,,
1531026470644744192,1786544605000-642689989225816064-1531026470644744192,1786544605000,1786560109000,1,271.097,59.763,4.536201328581229,642689989225816064,1786544605000,1531026470644744192,MP09BM0987,15504000,1786560109000,157.77484412541256,271.097,59.76319853235324,4.536186259395732,189.88999999999942,59.76319853235324,1786544605000-642689989225816064-1531026470644744192,4.2577777777778465,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786606133714}",,
1531014613364113408,1786512042000-642689989225816064-1531014613364113408,1786512042000,1786526779000,1,262.723,61.305,4.285506891770655,642689989225816064,1786512042000,1531014613364113408,MP09BM0929,14737000,1786526779000,161.8448310161527,262.723,61.304860233391175,4.285516662134099,192.63999999999942,61.30486023339118,1786512042000-642689989225816064-1531014613364113408,4.064444444444689,,,
739902048702562304,1786562477000-642689989225816064-739902048702562304,1786562477000,1786580524000,2,248.875,61.083999999999996,4.074307510968502,642689989225816064,1786562477000,739902048702562304,MP13P9072,18047000,1786580524000,160.78001803599838,246.404,60.901521983332714,4.045941578724992,249.625,53.660773053475474,1786562477000-642689989225816064-739902048702562304,5.0,"{'confidence': 78.6, 'count': 21, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14759.550682926701, 'std': 2898.8697672986245, 'timestamp': 1786631915345}",,
1530989903863611392,1786497855000-642689989225816064-1530989903863611392,1786497855000,1786512954000,1,240.228,61.803,3.886995776904034,642689989225816064,1786497855000,1530989903863611392,MP09BL8795,15099000,1786512954000,163.16091047892155,240.228,61.80337518140967,3.886972180643301,,61.80337518140967,1786497855000-642689989225816064-1530989903863611392,4.157222222222117,,,
1531014613364113408,1786567979000-642689989225816064-1531014613364113408,1786567979000,1786581112000,1,235.946,48.603,4.854556303108861,642689989225816064,1786567979000,1531014613364113408,MP09BM0929,13133000,1786581112000,128.312564504905,235.946,48.60324413064583,4.854531919017086,191.3000000000029,48.60324413064583,1786567979000-642689989225816064-1531014613364113408,3.6072222222219352,,,
739922158402142208,1786564865000-642689989225816064-739922158402142208,1786564865000,1786590572000,1,222.899,54.939,4.057208904421267,642689989225816064,1786564865000,739922158402142208,MP13P8145,25707000,1786590572000,145.0389686141246,222.899,54.93900326292598,4.0572086634563505,,48.304907035604366,1786564865000-642689989225816064-739922158402142208,4.699999999999818,,,
