vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,odo_distance_km,raw_fuel_consumed,id,distance,mileage,engine_hours,active_driver,driver_ids,vehicle_device_type
1531014613364113408,1784186025000-642689989225816064-1531014613364113408,1784186025000,1784201029000,1,340.453,57.466,5.924424877318762,642689989225816064,1784186025000,1531014613364113408,MP09BM0929,15004000,1784201029000,151.71063692069984,57.466150348749935,,57.466150348749935,1784186025000-642689989225816064-1531014613364113408,340.453,5.92440937723969,4.1266666666665515,,,
589014414737289216,1784163159000-642689989225816064-589014414737289216,1784163159000,1784192179000,1,335.119,71.871,4.662784711496989,642689989225816064,1784163159000,589014414737289216,MP09BP1574,29020000,1784192179000,189.74025128694296,71.87130730566021,,57.00787275146116,1784163159000-642689989225816064-589014414737289216,335.119,4.6627647744708245,4.937527777777775,,,
1514683047356661760,1784171645000-642689989225816064-1514683047356661760,1784171645000,1784201128000,1,329.83,71.381,4.620697384458049,642689989225816064,1784171645000,1514683047356661760,MP09BJ5826,29483000,1784201128000,188.4446821324296,71.38056141379909,,59.255791831552706,1784171645000-642689989225816064-1514683047356661760,329.83,4.620725775578422,5.036111111111107,,,
1514683047356661760,1784203611000-642689989225816064-1514683047356661760,1784203611000,1784233231000,1,329.051,69.501,4.734478640595099,642689989225816064,1784203611000,1514683047356661760,MP09BJ5826,29620000,1784233231000,183.48306163711834,69.50115971102967,,54.77755639360538,1784203611000-642689989225816064-1514683047356661760,329.051,4.734467760942705,5.080229166668117,,,
1425525382987120640,1784233526000-642689989225816064-1425525382987120640,1784233526000,1784255253000,2,325.6,84.962,3.8323014994938913,642689989225816064,1784233526000,1425525382987120640,MP09AM6115,21727000,1784255253000,224.3467847812963,84.97984272018799,327.30000000001746,84.98081942977767,1784233526000-642689989225816064-1425525382987120640,315.702,3.7150221734289133,5.704444444444262,,,
1440684104986132480,1784230968000-642689989225816064-1440684104986132480,1784230968000,1784249643000,4,323.0,92.313,3.498965476151788,642689989225816064,1784230968000,1440684104986132480,MP09AN6571,18675000,1784249643000,243.87556374059912,92.37710747749966,328.5,92.37710747749966,1784230968000-642689989225816064-1440684104986132480,319.614,3.45988317590317,5.100000000000364,,,
1533593777682251776,1784168050000-642689989225816064-1533593777682251776,1784168050000,1784182664000,1,299.865,58.006,5.169551425714581,642689989225816064,1784168050000,1533593777682251776,MP09BL8707,14614000,1784182664000,153.1347253790192,58.00557779508303,194.59999999999127,58.00557779508303,1784168050000-642689989225816064-1533593777682251776,299.865,5.1695890533034,4.004166666666606,,,
566306901520842752,1784198773000-642689989225816064-566306901520842752,1784198773000,1784225464000,1,296.831,67.311,4.409843859101781,642689989225816064,1784198773000,566306901520842752,MP09AF2718,26691000,1784225464000,177.70165409564245,67.31123261198577,,57.1222097361111,1784198773000-642689989225816064-566306901520842752,296.831,4.409828619705663,4.434000000000006,,,
1531014613364113408,1784169500000-642689989225816064-1531014613364113408,1784169500000,1784183565000,1,296.285,53.702,5.517206063088898,642689989225816064,1784169500000,1531014613364113408,MP09BM0929,14065000,1784183565000,141.77425658494252,53.702369918538835,193.59999999999127,53.702369918538835,1784169500000-642689989225816064-1531014613364113408,296.285,5.517168058866582,3.851944444444598,,,
566304909352275968,1784194698000-642689989225816064-566304909352275968,1784194698000,1784218996000,1,293.404,90.358,3.247128090484517,642689989225816064,1784194698000,566304909352275968,MP09AF2781,24298000,1784218996000,238.54384180557722,90.35751583544591,,90.35751583544591,1784194698000-642689989225816064-566304909352275968,293.404,3.2471454896384166,6.672222222223354,,,
566304909352275968,1784161292000-642689989225816064-566304909352275968,1784161292000,1784185116000,1,290.833,82.506,3.5249921217850826,642689989225816064,1784161292000,566304909352275968,MP09AF2781,23824000,1784185116000,217.81549203654777,82.50586819566203,,82.50586819566203,1784161292000-642689989225816064-566304909352275968,290.833,3.524997753011844,6.5666666666656965,,,
1531014613364113408,1784223704000-642689989225816064-1531014613364113408,1784223704000,1784239102000,1,290.422,53.836,5.394568690095848,642689989225816064,1784223704000,1531014613364113408,MP09BM0929,15398000,1784239102000,142.1268876218385,53.83594228099943,,53.83594228099943,1784223704000-642689989225816064-1531014613364113408,290.422,5.394574473761928,4.2402777777774645,,,
1527036626096619520,1784195670000-642689989225816064-1527036626096619520,1784195670000,1784221324000,1,287.698,71.85,4.004147529575505,642689989225816064,1784195670000,1527036626096619520,MP09BJ9703,25654000,1784221324000,189.68503000200985,71.85039015227646,,71.81503953938821,1784195670000-642689989225816064-1527036626096619520,287.698,4.0041257867948366,4.772500000000036,,,
1515667522240643072,1784203881000-642689989225816064-1515667522240643072,1784203881000,1784230400000,1,286.685,62.667,4.574736304594125,642689989225816064,1784203881000,1515667522240643072,MP09BJ5830,26519000,1784230400000,165.439743909607,62.66656966272991,,46.82455310635583,1784203881000-642689989225816064-1515667522240643072,286.685,4.574767719741679,4.595041666666669,,,
1530989903863611392,1784195313000-642689989225816064-1530989903863611392,1784195313000,1784210675000,1,272.021,72.713,3.7410229257491787,642689989225816064,1784195313000,1530989903863611392,MP09BL8795,15362000,1784210675000,191.96271417957482,72.713149310445,195.63000000000466,72.713149310445,1784195313000-642689989225816064-1530989903863611392,272.021,3.7410152438676603,4.218333333333703,,,
1530989903863611392,1784175346000-642689989225816064-1530989903863611392,1784175346000,1784189579000,1,265.968,47.605,5.586976157966601,642689989225816064,1784175346000,1530989903863611392,MP09BL8795,14233000,1784189579000,125.67703379670802,47.60493704420758,192.36000000000058,67.19451563082441,1784175346000-642689989225816064-1530989903863611392,265.968,5.586983546538733,3.917380833333212,,,
566306901520842752,1784163993000-642689989225816064-566306901520842752,1784163993000,1784185653000,1,260.253,57.174,4.551946689054465,642689989225816064,1784163993000,566306901520842752,MP09AF2718,21660000,1784185653000,150.93981336230863,57.17417172814721,,48.81827968303272,1784163993000-642689989225816064-566306901520842752,260.253,4.551933016842915,3.7487222222222325,,,
1533593777682251776,1784243559000-642689989225816064-1533593777682251776,1784243559000,1784256645000,1,259.093,44.64,5.804054659498208,642689989225816064,1784243559000,1533593777682251776,MP09BL8707,13086000,1784256645000,117.85078212808362,44.64044777578925,184.63999999999942,44.64044777578925,1784243559000-642689989225816064-1533593777682251776,259.093,5.803996440656653,3.606111111111204,,,
588522082246086656,1784199740000-642689989225816064-588522082246086656,1784199740000,1784220894000,1,248.064,55.216,4.4926108374384235,642689989225816064,1784199740000,588522082246086656,MP09BP1475,21154000,1784220894000,145.7691577988515,55.21559007532253,,43.068199686941455,1784199740000-642689989225816064-588522082246086656,248.064,4.492644190917867,3.488770833333344,,,
739902048702562304,1784229370000-642689989225816064-739902048702562304,1784229370000,1784246390000,1,227.972,55.863,4.080912231709719,642689989225816064,1784229370000,739902048702562304,MP13P9072,17020000,1784246390000,147.47871252126282,55.863148682296526,231.125,55.863148682296526,1784229370000-642689989225816064-739902048702562304,227.972,4.080901370177262,4.700000000000728,,,
740159491168796672,1784228526000-642689989225816064-740159491168796672,1784228526000,1784246045000,2,224.5,52.147,4.305137400042189,642689989225816064,1784228526000,740159491168796672,MP13P9027,17519000,1784246045000,158.55013210527295,60.056868221694295,225.875,52.461586740376475,1784228526000-642689989225816064-740159491168796672,245.783,4.0925044425013155,0.0,,,
1531026470644744192,1784195033000-642689989225816064-1531026470644744192,1784195033000,1784209595000,1,214.587,70.641,3.0377118104217096,642689989225816064,1784195033000,1531026470644744192,MP09BM0987,14562000,1784209595000,186.49134099345912,70.64065946721936,193.26999999998952,70.64065946721936,1784195033000-642689989225816064-1531026470644744192,214.587,3.0377264541192255,4.004444444444289,,,
1326603043004743680,1784200517000-642689989225816064-1326603043004743680,1784200517000,1784218565000,1,209.55,70.298,2.980881390651228,642689989225816064,1784200517000,1326603043004743680,MP09AE6372,18048000,1784218565000,185.5864632649876,70.29790275188924,,70.29790275188924,1784200517000-642689989225816064-1326603043004743680,209.55,2.9808855143174013,4.976388888888323,,,
739922158402142208,1784238416000-642689989225816064-739922158402142208,1784238416000,1784253713000,1,203.389,47.658,4.2676780393638,642689989225816064,1784238416000,739922158402142208,MP13P8145,15297000,1784253713000,125.81715026723528,47.65801146486184,,47.65801146486184,1784238416000-642689989225816064-739922158402142208,203.389,4.26767701270873,4.199999999999818,,,
1326601969871093760,1784208171000-642689989225816064-1326601969871093760,1784208171000,1784223930000,1,200.506,59.054,3.3952992176651877,642689989225816064,1784208171000,1326601969871093760,MP09BN3893,15759000,1784223930000,155.9027269001787,59.05406321976465,,59.05406321976465,1784208171000-642689989225816064-1326601969871093760,200.506,3.3952955828599642,4.340555555555511,,,
1537213879656906752,1784209886000-642689989225816064-1537213879656906752,1784209886000,1784226568000,1,200.416,67.217,2.9816266718240922,642689989225816064,1784209886000,1537213879656906752,MP09BN1073,16682000,1784226568000,177.4525658055019,67.21688098693254,198.17999999999302,67.21688098693254,1784209886000-642689989225816064-1537213879656906752,200.416,2.9816319510416194,4.585000000000036,,,
