vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,load_estimation,id,driver_ids,engine_hours
1207339702810574848,1790133593000-1205841794575630336-1207339702810574848,1790133593000,1790154624000,1,151.469,31.545,4.8016801394832775,1205841794575630336,1790133593000,1207339702810574848,OD20C5896,21031000,1790154624000,83.27756558126143,151.469,31.54453241714448,4.80175131452183,156.0,31.544532417144477,"{'confidence': None, 'count': None, 'error_code': 'RANSAC_TOO_FEW_POCKETS', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1790154634592}",1790133593000-1205841794575630336-1207339702810574848,,0.0
1262222597332926464,1790125967000-1205841794575630336-1262222597332926464,1790125967000,1790144228000,1,150.709,34.144,4.413923383317713,1205841794575630336,1790125967000,1262222597332926464,OD21R1668,18261000,1790144228000,90.13947484407876,150.709,34.143740471241955,4.413956933832038,161.75,34.143740471241955,"{'confidence': 44.3, 'count': 15, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 7269.978457811854, 'std': 3135.357707718705, 'timestamp': 1790144233724}",1790125967000-1205841794575630336-1262222597332926464,,5.0
1396249660175155200,1790151333000-1205841794575630336-1396249660175155200,1790151333000,1790175198000,1,149.832,10.652,14.06609087495306,1205841794575630336,1790151333000,1396249660175155200,OD05BY4958SV,23865000,1790175198000,28.12108902125596,149.832,10.65192765956665,14.066186401992104,152.40000000000146,10.65192765956665,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1790179906589}",1790151333000-1205841794575630336-1396249660175155200,,6.622963333333334
1207324802503671808,1790153796000-1205841794575630336-1207324802503671808,1790153796000,1790168155000,1,143.0,22.127,6.462692637953632,1205841794575630336,1790153796000,1207324802503671808,OD30F1965,14359000,1790168155000,58.41474768123228,143.0,22.126798364103134,6.462751530831163,143.0,22.126798364103134,"{'confidence': None, 'count': None, 'error_code': 'RANSAC_NO_VALID_MODEL', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1790169411067}",1790153796000-1205841794575630336-1207324802503671808,,0.0
1262054822580846592,1790150897000-1205841794575630336-1262054822580846592,1790150897000,1790168348000,1,142.74,21.105,6.7633262260127935,1205841794575630336,1790150897000,1262054822580846592,OD17AB7650,17451000,1790168348000,55.716807164757874,142.74,21.10485119877192,6.763373911316937,149.60000000000582,21.10485119877192,"{'confidence': 64.7, 'count': 33, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5379.471456933599, 'std': 2181.5144228021227, 'timestamp': 1790170336236}",1790150897000-1205841794575630336-1262054822580846592,,0.0
1263152400886136832,1790147658000-1205841794575630336-1263152400886136832,1790147658000,1790168182000,1,142.551,37.498,3.8015627500133338,1205841794575630336,1790147658000,1263152400886136832,OD34U6420,20524000,1790168182000,98.99545267630437,142.551,37.49827752890317,3.801534614226576,153.5,37.49827752890317,"{'confidence': 64.3, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 11562.359871693043, 'std': 2613.62324636313, 'timestamp': 1790170266737}",1790147658000-1205841794575630336-1263152400886136832,,5.600000000000364
1262207033747177472,1790124389000-1205841794575630336-1262207033747177472,1790124389000,1790165439000,3,141.5,34.298,4.125604991544696,1205841794575630336,1790124389000,1262207033747177472,OD29M5973,41050000,1790165439000,91.08,132.691,34.5,3.8461159420289857,142.375,34.5,"{'confidence': 84.7, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14532.386932441266, 'std': 992.8968384108897, 'timestamp': 1790166169606}",1790124389000-1205841794575630336-1262207033747177472,,11.349999999999454
1207298620362063872,1790124860000-1205841794575630336-1207298620362063872,1790124860000,1790145557000,2,136.0,31.587,4.305568746636275,1205841794575630336,1790124860000,1207298620362063872,OD18M3203,20697000,1790145557000,83.4437241470247,131.821,31.607471267812382,4.170564575795107,136.0,31.607471267812382,"{'confidence': None, 'count': None, 'error_code': 'RANSAC_TOO_FEW_POCKETS', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 2}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1790145564533}",1790124860000-1205841794575630336-1207298620362063872,,0.0
1207353920964263936,1790129356000-1205841794575630336-1207353920964263936,1790129356000,1790147124000,1,135.633,42.466,3.1939198417557577,1205841794575630336,1790129356000,1207353920964263936,OD10Y3942,17768000,1790147124000,112.1108558090446,135.633,42.46623326100174,3.1939022980066527,140.09000000001106,42.46623326100174,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1790147134291}",1790129356000-1205841794575630336-1207353920964263936,,0.0
1262052610576220160,1790137696000-1205841794575630336-1262052610576220160,1790137696000,1790157000000,1,133.636,22.568,5.921481744062389,1205841794575630336,1790137696000,1262052610576220160,OD26G3613,19304000,1790157000000,59.57893159383553,133.636,22.567777118877093,5.921540225076866,138.79999999998836,22.567777118877093,"{'confidence': 42.4, 'count': 15, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 4474.301441160011, 'std': 1996.5334255232542, 'timestamp': 1790157041840}",1790137696000-1205841794575630336-1262052610576220160,,0.0
1424705322294968320,1790172387000-1205841794575630336-1424705322294968320,1790172387000,1790200759000,1,130.8,21.045,6.215253029223093,1205841794575630336,1790172387000,1424705322294968320,OD06P6619MB,28372000,1790200759000,55.558316272990176,130.8000000000029,21.044816770072035,6.215307143277883,130.8000000000029,21.044816770072035,"{'confidence': 68, 'count': 21, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 10582.690585234797, 'std': 3105.6732518970794, 'timestamp': 1790200767854}",1790172387000-1205841794575630336-1424705322294968320,,3.900000000000091
1262075530765664256,1790155023000-1205841794575630336-1262075530765664256,1790155023000,1790172571000,1,129.933,21.607,6.013467857638728,1205841794575630336,1790155023000,1262075530765664256,OD15Y8031,17548000,1790172571000,57.04312040259765,129.933,21.607242576741534,6.013400346597787,134.89999999999418,21.586854554496515,"{'confidence': 76.1, 'count': 21, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 7469.636230577948, 'std': 1634.1065108645723, 'timestamp': 1790176210380}",1790155023000-1205841794575630336-1262075530765664256,,0.0
