trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1786409836000-642689989225816064-589014414737289216,589014414737289216,1786409836000,1786416310000,0.0,14.685
1786409836000-642689989225816064-589014414737289216,589014414737289216,1786416311000,1786467453000,0.0,92.133
1786411209000-642689989225816064-1527036626096619520,1527036626096619520,1786411209000,1786412735000,0.0,2.549
1786411209000-642689989225816064-1527036626096619520,1527036626096619520,1786412736000,1786439369000,0.0,76.806
1786416215000-642689989225816064-1515667522240643072,1515667522240643072,1786416215000,1786422008000,0.0,11.326
1786416215000-642689989225816064-1515667522240643072,1515667522240643072,1786422009000,1786447371000,0.0,45.221
1786417334000-642689989225816064-739421717067202560,739421717067202560,1786417334000,1786419893000,0.0,5.013
1786417334000-642689989225816064-739421717067202560,739421717067202560,1786419894000,1786434790000,0.0,40.476
1786418417000-642689989225816064-566303952333733888,566303952333733888,1786418417000,1786425512000,0.0,17.191
1786418417000-642689989225816064-566303952333733888,566303952333733888,1786425513000,1786432040000,0.0,24.553
1786440613000-642689989225816064-1527036626096619520,1527036626096619520,1786440613000,1786462743000,0.0,62.647
1786440613000-642689989225816064-1527036626096619520,1527036626096619520,1786462744000,1786468630000,0.0,19.831
1786451148000-642689989225816064-1533070516129103872,1533070516129103872,1786451148000,1786467707000,0.0,34.149
1786451148000-642689989225816064-1533070516129103872,1533070516129103872,1786467708000,1786468488000,0.0,1.491
1786452131000-642689989225816064-739497118649024512,739497118649024512,1786452131000,1786487157000,0.0,105.246
1786452131000-642689989225816064-739497118649024512,739497118649024512,1786487158000,1786495903000,0.0,28.333
1786455343000-642689989225816064-739915798490906624,739915798490906624,1786455343000,1786475990000,0.0,48.674
1786455343000-642689989225816064-739915798490906624,739915798490906624,1786475991000,1786495836000,0.0,69.858
1786455343000-642689989225816064-739915798490906624,739915798490906624,1786495837000,1786502753000,0.0,24.156
1786456157000-642689989225816064-739421717067202560,739421717067202560,1786456157000,1786476001000,0.0,51.903
1786456157000-642689989225816064-739421717067202560,739421717067202560,1786476002000,1786495783000,0.0,66.669
1786456157000-642689989225816064-739421717067202560,739421717067202560,1786495784000,1786505937000,0.0,33.909
1786459600000-642689989225816064-739471116254314496,739471116254314496,1786459600000,1786489071000,0.0,80.845
1786459600000-642689989225816064-739471116254314496,739471116254314496,1786489072000,1786495019000,0.0,17.276
1786459600000-642689989225816064-739471116254314496,739471116254314496,1786495020000,1786503606000,0.0,23.594
1786464954000-642689989225816064-739928272518774784,739928272518774784,1786464954000,1786492121000,294.625,76.264
1786464954000-642689989225816064-739928272518774784,739928272518774784,1786492122000,1786497237000,49.125,12.862
1786465166000-642689989225816064-1430193762327330816,1430193762327330816,1786465166000,1786502191000,582.5,151.693
1786465166000-642689989225816064-1430193762327330816,1430193762327330816,1786502192000,1786502562000,6.7,1.975
1786465166000-642689989225816064-1430193762327330816,1430193762327330816,1786502563000,1786508043000,62.4,18.16
1786465195000-642689989225816064-1429476090367180800,1429476090367180800,1786465195000,1786484870000,263.2,72.875
1786465195000-642689989225816064-1429476090367180800,1429476090367180800,1786484871000,1786499584000,178.8,47.869
1786473306000-642689989225816064-739919483375714304,739919483375714304,1786473306000,1786488977000,0.0,67.174
1786473306000-642689989225816064-739919483375714304,739919483375714304,1786488978000,1786503906000,0.0,52.357
1786475691000-642689989225816064-740159491168796672,740159491168796672,1786475691000,1786483092000,107.75,25.679
1786475691000-642689989225816064-740159491168796672,740159491168796672,1786483093000,1786493200000,119.375,28.045
1786479556000-642689989225816064-739910017485897728,739910017485897728,1786479556000,1786481307000,0.0,3.719
1786479556000-642689989225816064-739910017485897728,739910017485897728,1786481308000,1786482180000,0.0,2.018
1786480306000-642689989225816064-1425525382987120640,1425525382987120640,1786480306000,1786487092000,106.6,31.333
1786480306000-642689989225816064-1425525382987120640,1425525382987120640,1786487093000,1786500768000,222.2,55.554
