vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,carbon_emission
1146410747421523968,1773507739000-649034868264558592-1146410747421523968,1773507739000,1773549693000,2,578.083,210.406,2.7474644259194125,649034868264558592,1773507739000,1146410747421523968,MP09ZM9990,41954000,1773549693000,578.117,11.610555555555948,210.42307413871916,2.7474030705343773,,210.42307413871916,1773507739000-649034868264558592-1146410747421523968,
1186996414987632640,1773503276000-649034868264558592-1186996414987632640,1773503276000,1773547741000,2,565.2270000000001,200.159,2.8238900074440827,649034868264558592,1773503276000,1186996414987632640,MP09ZS0009,44465000,1773547741000,565.245,12.308333333333394,200.27826627013468,2.8222982479666534,567.4399999999441,200.27826627013468,1773503276000-649034868264558592-1186996414987632640,
1334833501215653888,1773504577000-649034868264558592-1334833501215653888,1773504577000,1773538831000,1,559.702,165.283,3.386325272411561,649034868264558592,1773504577000,1334833501215653888,MP09DS9990,34254000,1773538831000,559.702,9.450000000000728,165.28286633528074,3.3863280109423406,575.2900000000373,165.28286633528074,1773504577000-649034868264558592-1334833501215653888,
1474013221449891840,1773500469000-649034868264558592-1474013221449891840,1773500469000,1773543113000,3,559.512,197.12900000000002,2.8383038517924803,649034868264558592,1773500469000,1474013221449891840,MP09AS9990,42644000,1773543113000,559.589,11.800000000000182,197.27200000000084,2.8366367249280064,556.304999999993,197.27200000000084,1773500469000-649034868264558592-1474013221449891840,
1474013287929610240,1773508328000-649034868264558592-1474013287929610240,1773508328000,1773549593000,2,558.1500000000001,177.934,3.136837254262817,649034868264558592,1773508328000,1474013287929610240,MP09AM9909,41265000,1773549593000,558.181,11.399999999999636,177.9518622529321,3.1366965927371346,550.9950000000099,177.9518622529321,1773508328000-649034868264558592-1474013287929610240,
1494312585351135232,1773507464000-649034868264558592-1494312585351135232,1773507464000,1773545355000,3,550.594,184.81799999999998,2.9791145884058916,649034868264558592,1773507464000,1494312585351135232,MP09AZ0009,37891000,1773545355000,550.631,10.499166666666497,184.6960127105394,2.9812825513616463,548.4149999999936,184.6960127105394,1773507464000-649034868264558592-1494312585351135232,
1334832578175172608,1773428030000-649034868264558592-1334832578175172608,1773428030000,1773473072000,3,534.5360000000001,186.813,2.861342626048509,649034868264558592,1773428030000,1334832578175172608,MP09AH0009,45042000,1773473072000,534.657,12.46333333333314,187.37681758548112,2.8533785923442214,528.359999999986,187.37681758548112,1773428030000-649034868264558592-1334832578175172608,
1289228257593393152,1773503210000-649034868264558592-1289228257593393152,1773503210000,1773548192000,3,531.336,195.678,2.715358905957747,649034868264558592,1773503210000,1289228257593393152,MP09DL9990,44982000,1773548192000,531.461,0.0,195.6294171817991,2.7166722042938534,545.3499999999767,195.6294171817991,1773503210000-649034868264558592-1289228257593393152,
1268893877926887424,1773428559000-649034868264558592-1268893877926887424,1773428559000,1773468356000,3,521.9939999999999,205.207,2.5437436344764066,649034868264558592,1773428559000,1268893877926887424,MP09DH0009,39797000,1773468356000,522.056,11.008055555555984,204.9652066321443,2.54704692849136,515.4400000000605,204.9652066321443,1773428559000-649034868264558592-1268893877926887424,
1474013287929610240,1773431129000-649034868264558592-1474013287929610240,1773431129000,1773471915000,3,521.878,197.22000000000003,2.6461717878511304,649034868264558592,1773431129000,1474013287929610240,MP09AM9909,40786000,1773471915000,521.96,11.299999999999727,196.0836495103379,2.6619251595094435,514.0900000000111,196.0836495103379,1773431129000-649034868264558592-1474013287929610240,
