vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,engine_hours,load_estimation,active_driver,driver_ids
1557834733679804416,1787275261000-642689989225816064-1557834733679804416,1787275261000,1787284952000,1,131.097,37.006,3.542587688482949,642689989225816064,1787275261000,1557834733679804416,MP09BQ8967,9691000,1787284952000,97.69476691564036,131.097,37.00559352865165,3.5426266004488727,37.00559352865165,1787275261000-642689989225816064-1557834733679804416,127.61000000000058,2.6622222222222263,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787416015250}",,
739467157439512576,1787273797000-642689989225816064-739467157439512576,1787273797000,1787286062000,1,127.703,28.449,4.488839678020317,642689989225816064,1787273797000,739467157439512576,MP13P6336,12265000,1787286062000,75.10502533412252,127.703,28.448873232622162,4.488859680163491,28.448873232622162,1787273797000-642689989225816064-739467157439512576,,0.0,"{'confidence': 69.5, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14199.333783378443, 'std': 2743.374280704228, 'timestamp': 1787363807345}",,
1533070516129103872,1787311470000-642689989225816064-1533070516129103872,1787311470000,1787320819000,1,127.447,40.425,3.152677798392084,642689989225816064,1787311470000,1533070516129103872,MP09BQ7692,9349000,1787320819000,106.72154666565778,127.447,40.42482828244613,3.152691190412352,40.42482828244613,1787311470000-642689989225816064-1533070516129103872,124.56999999999243,2.567777777777792,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787408846540}",,
739467157439512576,1787316643000-642689989225816064-739467157439512576,1787316643000,1787330961000,1,127.211,30.2,4.21228476821192,642689989225816064,1787316643000,739467157439512576,MP13P6336,14318000,1787330961000,79.72857251090693,127.211,30.20021686019202,4.212254520850191,30.20021686019202,1787316643000-642689989225816064-739467157439512576,,0.0,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 21820.649134667296, 'std': 45.74236128180849, 'timestamp': 1787373587033}",,
1533070516129103872,1787338189000-642689989225816064-1533070516129103872,1787338189000,1787345995000,1,125.911,33.312,3.779749039385207,642689989225816064,1787338189000,1533070516129103872,MP09BQ7692,7806000,1787345995000,87.94390277806016,125.911,33.31208438562885,3.779739464586587,33.31208438562885,1787338189000-642689989225816064-1533070516129103872,124.69499999999243,2.138888888888914,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787424655839}",,
1534933431186620416,1787323257000-642689989225816064-1534933431186620416,1787323257000,1787331596000,1,122.872,39.14,3.139294839039346,642689989225816064,1787323257000,1534933431186620416,MP09BL8455,8339000,1787331596000,103.32987288839597,122.872,39.14010336681665,3.1392865483378367,39.14010336681665,1787323257000-642689989225816064-1534933431186620416,121.17999999999302,2.2869444444440887,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787351320904}",,
1326603043004743680,1787325409000-642689989225816064-1326603043004743680,1787325409000,1787334941000,1,122.093,31.72,3.849085750315259,642689989225816064,1787325409000,1326603043004743680,MP09AE6372,9532000,1787334941000,83.74186081161434,122.093,31.720401822581188,3.849036991488682,31.720401822581188,1787325409000-642689989225816064-1326603043004743680,120.9199999999837,2.5983333333333576,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787438706314}",,
739451124913799168,1787338274000-642689989225816064-739451124913799168,1787338274000,1787346761000,1,119.916,27.137,4.418911449312747,642689989225816064,1787338274000,739451124913799168,MP13P2781,8487000,1787346761000,71.64201617013997,119.916,27.13712733717423,4.418890714188865,27.137127337174228,1787338274000-642689989225816064-739451124913799168,,0.0,"{'confidence': 54.4, 'count': 12, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 19963.912384791845, 'std': 6301.430294936215, 'timestamp': 1787424782628}",,
566305663035146240,1787278661000-642689989225816064-566305663035146240,1787278661000,1787286904000,1,119.43,30.455,3.9215235593498607,642689989225816064,1787278661000,566305663035146240,MP09AF2754,8243000,1787286904000,80.3999558462503,119.43,30.454528729640263,3.9215842431921537,30.454528729640263,1787278661000-642689989225816064-566305663035146240,,2.2527777777795563,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787321546243}",,
1537194706461523968,1787296472000-642689989225816064-1537194706461523968,1787296472000,1787303950000,1,117.841,29.496,3.995151885001356,642689989225816064,1787296472000,1537194706461523968,MP09BN3822,7478000,1787303950000,77.87042934810192,117.841,29.49637475306891,3.995101126376196,29.49637475306891,1787296472000-642689989225816064-1537194706461523968,115.19999999999709,2.048055555555493,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787343182467}",,
