trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1789435819000-649034868264558592-1334833185816576000,1334833185816576000,1789435819000,1789457269000,372.59,108.144
1789435819000-649034868264558592-1334833185816576000,1334833185816576000,1789457270000,1789461592000,41.875,12.257
1789476960000-649034868264558592-1334832669606805504,1334832669606805504,1789476960000,1789489677000,50.68,23.731
1789476960000-649034868264558592-1334832669606805504,1334832669606805504,1789489678000,1789490934000,10.4,4.241
1789477270000-649034868264558592-1494312472553717760,1494312472553717760,1789477270000,1789481770000,2.9,5.068
1789477270000-649034868264558592-1494312472553717760,1494312472553717760,1789481771000,1789506811000,309.34,117.327
1789477270000-649034868264558592-1494312472553717760,1494312472553717760,1789506812000,1789531553000,0.0,98.517
1789477709000-649034868264558592-1329844556446826496,1329844556446826496,1789477709000,1789485091000,49.545,24.835
1789477709000-649034868264558592-1329844556446826496,1329844556446826496,1789485092000,1789487670000,33.65,6.081
1789477755000-649034868264558592-1537489444636983296,1537489444636983296,1789477755000,1789519120000,519.685,141.589
1789477755000-649034868264558592-1537489444636983296,1537489444636983296,1789519121000,1789521590000,14.785,5.768
1789481037000-649034868264558592-1474013563159838720,1474013563159838720,1789481037000,1789483855000,2.3,2.557
1789481037000-649034868264558592-1474013563159838720,1474013563159838720,1789483856000,1789485880000,12.245,5.825
1789481037000-649034868264558592-1474013563159838720,1474013563159838720,1789485881000,1789486284000,5.38,2.46
1789481037000-649034868264558592-1474013563159838720,1474013563159838720,1789486285000,1789490265000,60.785,18.571
1789483585000-649034868264558592-1192134718468915200,1192134718468915200,1789483585000,1789497222000,119.565,41.44
1789483585000-649034868264558592-1192134718468915200,1192134718468915200,1789497223000,1789515129000,299.39,85.033
1789483585000-649034868264558592-1192134718468915200,1192134718468915200,1789515130000,1789533631000,232.155,68.953
1789484916000-649034868264558592-1192134642870779904,1192134642870779904,1789484916000,1789500799000,177.405,60.715
1789484916000-649034868264558592-1192134642870779904,1192134642870779904,1789500800000,1789516278000,155.52,53.132
1789485090000-649034868264558592-1268894231850647552,1268894231850647552,1789485090000,1789500194000,154.72,51.04
1789485090000-649034868264558592-1268894231850647552,1268894231850647552,1789500195000,1789504658000,92.96,23.117
1789485934000-649034868264558592-1537489451758911488,1537489451758911488,1789485934000,1789513296000,0.0,116.753
1789485934000-649034868264558592-1537489451758911488,1537489451758911488,1789513297000,1789524658000,0.0,41.559
1789487127000-649034868264558592-1334833384924381184,1334833384924381184,1789487127000,1789489503000,19.465,5.532
1789487127000-649034868264558592-1334833384924381184,1334833384924381184,1789489504000,1789516044000,382.335,117.848
1789487127000-649034868264558592-1334833384924381184,1334833384924381184,1789516045000,1789527331000,133.525,30.548
1789494927000-649034868264558592-1192134793974775808,1192134793974775808,1789494927000,1789513273000,317.435,103.12
1789494927000-649034868264558592-1192134793974775808,1192134793974775808,1789513274000,1789520539000,100.21,35.425
1789500812000-649034868264558592-1561408897250492416,1561408897250492416,1789500812000,1789520186000,378.43,113.17
1789500812000-649034868264558592-1561408897250492416,1561408897250492416,1789520187000,1789535308000,0.0,65.175
1789504746000-649034868264558592-1268894231850647552,1268894231850647552,1789504746000,1789516001000,194.865,55.131
1789504746000-649034868264558592-1268894231850647552,1268894231850647552,1789516002000,1789524778000,111.25,32.301
