vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,carbon_emission,driver_ids,vehicle_device_type,active_driver,adblue_consumed
932334786138079232,1773196644000-632578958264631296-932334786138079232,1773196644000,1773209585000,1,172.71,59.61,2.8973326623049824,632578958264631296,1773196644000,932334786138079232,RJ47GA4717,12941000,1773209585000,3.600000000000364,59.6097567549625,2.897344485231806,178.5,59.609756754962504,1773196644000-632578958264631296-932334786138079232,172.71,,,,,
1464253789857906688,1773196286000-632578958264631296-1464253789857906688,1773196286000,1773210274000,1,172.196,50.638,3.4005292468106956,632578958264631296,1773196286000,1464253789857906688,NL01AK1965,13988000,1773210274000,3.849999999999909,50.638016043051934,3.400528169460681,175.875,50.638016043051934,1773196286000-632578958264631296-1464253789857906688,172.196,,,,,
1135566388677574656,1773213917000-632578958264631296-1135566388677574656,1773213917000,1773226917000,1,170.587,43.314,3.9383802003971,632578958264631296,1773213917000,1135566388677574656,RJ47GA6238,13000000,1773226917000,3.550000000000182,43.31394725809937,3.938384996026922,179.30000000001746,43.31394725809937,1773213917000-632578958264631296-1135566388677574656,170.587,,,,,
1175796809117728768,1773228516000-632578958264631296-1175796809117728768,1773228516000,1773243495000,1,169.348,61.645,2.747148998296699,632578958264631296,1773228516000,1175796809117728768,RJ47GA6335,14979000,1773243495000,4.099999999999454,61.645019552109325,2.747148126976389,179.90000000002328,61.645019552109325,1773228516000-632578958264631296-1175796809117728768,169.348,,,,,
1071457116943810560,1773186596000-632578958264631296-1071457116943810560,1773186596000,1773202565000,1,168.615,72.337,2.3309647898032817,632578958264631296,1773186596000,1071457116943810560,RJ47GA5618,15969000,1773202565000,0.0,72.33732446820729,2.3309543342884815,179.79999999998836,72.33732446820729,1773186596000-632578958264631296-1071457116943810560,168.615,,,,,
1071020878159937536,1773234498000-632578958264631296-1071020878159937536,1773234498000,1773249316000,1,168.254,47.553,3.538241541017391,632578958264631296,1773234498000,1071020878159937536,RJ47GA3351,14818000,1773249316000,4.050000000001091,47.55263830222449,3.5382684538058355,170.25,47.55263830222449,1773234498000-632578958264631296-1071020878159937536,168.254,,,,,
947094374120947712,1773201540000-632578958264631296-947094374120947712,1773201540000,1773215307000,1,167.336,52.63,3.1794793843815317,632578958264631296,1773201540000,947094374120947712,RJ47GA3346,13767000,1773215307000,3.8000000000010914,52.629651426513576,3.179500442514808,161.875,52.629651426513576,1773201540000-632578958264631296-947094374120947712,167.336,,,,,
1050036836505747456,1773221278000-632578958264631296-1050036836505747456,1773221278000,1773234853000,1,166.437,54.56,3.0505315249266864,632578958264631296,1773221278000,1050036836505747456,RJ47GA6288,13575000,1773234853000,3.6500000000005457,54.55955015451141,3.050556676670797,174.29999999998836,54.55955015451141,1773221278000-632578958264631296-1050036836505747456,166.437,,,,,
794950170587430912,1773213246000-632578958264631296-794950170587430912,1773213246000,1773227818000,1,166.39,27.248,6.106503229594832,632578958264631296,1773213246000,794950170587430912,RJ47GA2696,14572000,1773227818000,4.0,27.24752522293845,6.106609632933703,185.10999999998603,27.24752522293845,1773213246000-632578958264631296-794950170587430912,166.39,,['900758004192772105'],,900758004192772105,
1471164933021368320,1773204445000-632578958264631296-1471164933021368320,1773204445000,1773217893000,1,165.349,44.145,3.7455884018575145,632578958264631296,1773204445000,1471164933021368320,NL01AK2622,13448000,1773217893000,3.7000000000000455,44.14546021040706,3.745549354608831,173.625,44.14546021040706,1773204445000-632578958264631296-1471164933021368320,165.349,,,,,
