vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation,driver_ids,active_driver,adblue_consumed
1398705978894974976,1789097424000-632578958264631296-1398705978894974976,1789097424000,1789110304000,1,81.78,51.083,1.600923986453419,632578958264631296,1789097424000,1398705978894974976,NL01AH7651,12880000,1789110304000,134.85896305362408,81.78,3.5,51.08294055061518,1.6009258495792515,86.77999999999884,51.08294055061518,1789097424000-632578958264631296-1398705978894974976,"{'confidence': 42.4, 'count': 5, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 38578.050739371385, 'std': 9931.12911726657, 'timestamp': 1789110313548}",,,
1464253789857906688,1789128655000-632578958264631296-1464253789857906688,1789128655000,1789137248000,1,81.625,32.5,2.5115384615384615,632578958264631296,1789128655000,1464253789857906688,NL01AK1965,8593000,1789137248000,85.8,81.625,2.400000000000091,32.5,2.5115384615384615,81.625,32.5,1789128655000-632578958264631296-1464253789857906688,"{'confidence': 59.6, 'count': 9, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 67045.25131119115, 'std': 16256.86180114405, 'timestamp': 1789137256908}",,,
873201356771426304,1789084843000-632578958264631296-873201356771426304,1789084843000,1789093035000,1,81.492,18.235,4.46898820948725,632578958264631296,1789084843000,873201356771426304,RJ47GA1975,8192000,1789093035000,48.14123235173189,81.492,2.2000000000007276,18.235315284746925,4.468910941625706,94.375,18.235315284746925,1789084843000-632578958264631296-873201356771426304,"{'confidence': 66.1, 'count': 7, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 29742.46746463488, 'std': 5342.769879340237, 'timestamp': 1789093041172}",['900758004175994889'],900758004175994889,
944591832124227584,1789087005000-632578958264631296-944591832124227584,1789087005000,1789095145000,1,81.428,33.677,2.417911334144965,632578958264631296,1789087005000,944591832124227584,RJ47GA3458,8140000,1789095145000,88.90724947194825,81.428,2.1999999999989086,33.67698843634403,2.4179121643823507,79.5,33.67698843634403,1789087005000-632578958264631296-944591832124227584,"{'confidence': 53.5, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 45745.97158183513, 'std': 7376.659299237047, 'timestamp': 1789095163015}",,,
1050037591694376960,1789100175000-632578958264631296-1050037591694376960,1789100175000,1789110099000,1,81.427,37.338,2.1808077561733357,632578958264631296,1789100175000,1050037591694376960,RJ47GA3487,9924000,1789110099000,98.57140661078043,81.427,2.7000000000007276,37.33765401923501,2.1808279641257524,83.125,37.33765401923501,1789100175000-632578958264631296-1050037591694376960,"{'confidence': 65.5, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 66888.07438350332, 'std': 17257.89694169913, 'timestamp': 1789110103677}",,,
1506655599683698688,1789154682000-632578958264631296-1506655599683698688,1789154682000,1789161246000,1,81.359,27.256,2.9849941297329026,632578958264631296,1789154682000,1506655599683698688,RJ47GA8529,6564000,1789161246000,71.95590426289806,81.359,1.75,27.25602434200684,2.984991463872812,85.55500000000029,27.25602434200684,1789154682000-632578958264631296-1506655599683698688,,,,
1105914583932993536,1789107784000-632578958264631296-1105914583932993536,1789107784000,1789115441000,1,81.294,34.138,2.381334583162458,632578958264631296,1789107784000,1105914583932993536,RJ47GA3805,7657000,1789115441000,90.12462092308787,81.294,2.100000000000364,34.13811398601813,2.381326631966118,80.0,34.13811398601813,1789107784000-632578958264631296-1105914583932993536,"{'confidence': 41.3, 'count': 8, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 42283.28029081849, 'std': 14043.604573031113, 'timestamp': 1789115453160}",,,
1477629723302428672,1789132183000-632578958264631296-1477629723302428672,1789132183000,1789139988000,1,81.25,22.5,3.611111111111111,632578958264631296,1789132183000,1477629723302428672,NL01AK3043,7805000,1789139988000,59.400000000000006,81.25,2.099999999999909,22.5,3.611111111111111,81.25,22.5,1789132183000-632578958264631296-1477629723302428672,"{'confidence': 67.5, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 28268.11604503377, 'std': 3179.2083052062767, 'timestamp': 1789140270373}",,,
938817698895233024,1789110549000-632578958264631296-938817698895233024,1789110549000,1789117541000,1,81.088,34.222,2.369469931622932,632578958264631296,1789110549000,938817698895233024,RJ47GA2715,6992000,1789117541000,90.34643984106059,81.088,1.9500000000007276,34.22213630343204,2.369460494255232,82.25,34.22213630343204,1789110549000-632578958264631296-938817698895233024,,,,
1441118393376702464,1789128689000-632578958264631296-1441118393376702464,1789128689000,1789135756000,1,81.018,32.322,2.5065899387414143,632578958264631296,1789128689000,1441118393376702464,NL01AG9419,7067000,1789135756000,85.32954768996656,81.018,1.8999999999996362,32.321798367411574,2.506605575563714,86.10000000000582,32.321798367411574,1789128689000-632578958264631296-1441118393376702464,,,,
