vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,load_estimation,engine_hours,active_driver,driver_ids
1534933431186620416,1788077282000-642689989225816064-1534933431186620416,1788077282000,1788113120000,1,393.847,115.288,3.416201165776143,642689989225816064,1788077282000,1534933431186620416,MP09BL8455,35838000,1788113120000,304.35917895068275,115.28756778434952,3.4162139731901378,392.0,115.28756778434952,1788077282000-642689989225816064-1534933431186620416,393.847,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788113124401}",9.926666666666733,,
1533610372471193600,1788081643000-642689989225816064-1533610372471193600,1788081643000,1788116820000,1,393.797,131.674,2.9906967206889745,642689989225816064,1788081643000,1533610372471193600,MP09BL8769,35177000,1788116820000,347.6187397800526,131.67376506820173,2.990702056677949,391.45999999999185,131.67376506820173,1788081643000-642689989225816064-1533610372471193600,393.797,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788116886867}",9.730833333333067,,
566305663035146240,1788080340000-642689989225816064-566305663035146240,1788080340000,1788115929000,1,391.25,105.209,3.718788316588885,642689989225816064,1788080340000,566305663035146240,MP09AF2754,35589000,1788115929000,277.7525219585259,105.20928862065375,3.718778114836462,,105.22128936950467,1788080340000-642689989225816064-566305663035146240,391.25,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788115968712}",9.788979166665227,,
1326601969871093760,1788082022000-642689989225816064-1326601969871093760,1788082022000,1788118867000,2,390.96000000000004,132.415,2.952535588868331,642689989225816064,1788082022000,1326601969871093760,MP09BN3893,36845000,1788118867000,349.60522410483486,132.42622125183138,2.9728402447680327,391.31999999999243,132.42622125183138,1788082022000-642689989225816064-1326601969871093760,393.682,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788118872798}",10.180277777777974,,
1326601811460620288,1788076575000-642689989225816064-1326601811460620288,1788076575000,1788111118000,2,389.48,149.40200000000002,2.6069262794340102,642689989225816064,1788076575000,1326601811460620288,MP09AE9054,34543000,1788111118000,394.3292413538992,149.36713687647696,2.6350843179480212,390.80000000004657,149.36713687647696,1788076575000-642689989225816064-1326601811460620288,393.595,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788111126937}",9.541111111111604,,
739928272518774784,1788103105000-642689989225816064-739928272518774784,1788103105000,1788134885000,1,389.392,88.086,4.420588969870354,642689989225816064,1788103105000,739928272518774784,MP13P7218,31780000,1788134885000,232.54679496888573,88.08590718518398,4.420593627779491,355.125,88.08590718518398,1788103105000-642689989225816064-739928272518774784,389.392,"{'confidence': 83.8, 'count': 13, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 24013.633182562022, 'std': 2812.1333210668245, 'timestamp': 1788134899534}",0.0,,
1326603043004743680,1788080616000-642689989225816064-1326603043004743680,1788080616000,1788112620000,1,388.052,120.665,3.21594497161563,642689989225816064,1788080616000,1326603043004743680,MP09AE6372,32004000,1788112620000,318.5551296896252,120.66482185213074,3.2159497195921785,385.8399999999674,120.66482185213074,1788080616000-642689989225816064-1326603043004743680,388.052,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788112631281}",8.832777777777665,,
1326601999923281920,1788080241000-642689989225816064-1326601999923281920,1788080241000,1788115776000,2,387.84000000000003,151.098,2.56681094389072,642689989225816064,1788080241000,1326601999923281920,MP09DZ9027,35535000,1788115776000,398.96408225146104,151.12275842858372,2.6061329484408553,388.5199999999022,151.1137330921734,1788080241000-642689989225816064-1326601999923281920,393.846,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788115841664}",9.78555555555613,,
1537213879656906752,1788068890000-642689989225816064-1537213879656906752,1788068890000,1788116663000,3,386.99,208.73,1.8540219422220094,642689989225816064,1788068890000,1537213879656906752,MP09BN1073,47773000,1788116663000,550.7793969687577,208.62855945786276,2.7933951205645267,,208.62855945786276,1788068890000-642689989225816064-1537213879656906752,582.782,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788116685159}",13.234166666666624,,
1326602160833560576,1788072497000-642689989225816064-1326602160833560576,1788072497000,1788105878000,2,385.4,142.014,2.7138169476248817,642689989225816064,1788072497000,1326602160833560576,MP09DT3645,33381000,1788105878000,375.35661224855653,142.18053494263503,2.7352900321897775,387.0799999999581,142.18053494263503,1788072497000-642689989225816064-1326602160833560576,388.905,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788105890523}",9.224444444444089,,
1533070673256120320,1788087423000-642689989225816064-1533070673256120320,1788087423000,1788117810000,2,383.735,122.50200000000001,3.132479469722943,642689989225816064,1788087423000,1533070673256120320,MP09BQ7694,30387000,1788117810000,323.447703651726,122.51806956504772,3.168014329461238,384.6999999999971,122.51806956504772,1788087423000-642689989225816064-1533070673256120320,388.139,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788117856778}",8.358611111111031,,
1326602059092328448,1788072991000-642689989225816064-1326602059092328448,1788072991000,1788106953000,2,382.24,149.107,2.5635282045779206,642689989225816064,1788072991000,1326602059092328448,MP09DT9045,33962000,1788106953000,393.67502208638086,149.11932654787154,2.6091788972443797,382.4399999999441,149.11932654787154,1788072991000-642689989225816064-1326602059092328448,389.079,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788106956346}",9.385833333333721,,
1533070725588451328,1788081272000-642689989225816064-1533070725588451328,1788081272000,1788113084000,2,380.565,125.74199999999999,3.0265543732404447,642689989225816064,1788081272000,1533070725588451328,MP09BQ7645,31812000,1788113084000,331.9764289563999,125.74864733196965,3.0868324092207953,381.2299999999959,125.74864733196966,1788081272000-642689989225816064-1533070725588451328,388.165,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788113095925}",8.781388888888841,,
